beta	population	links	attackRate	error
1	227777	428	789.292	10.9195
1	293962	642	805.917	10.7145
1	320204	856	795.5	9.90384
1	402023	1070	775.375	11.335
1	465950	1284	794.333	11.3766
1	507084	1499	800.25	15.6232
1	557901	1713	790.708	10.6373
1	603725	1927	799.792	12.3308
1	650583	2141	793.5	11.2092
1	688611	2355	806.667	14.1434
1	766163	2569	793.167	10.1473
1	846916	2783	800.25	10.764
1	890901	2998	791.917	11.5576
1	940105	3212	794.125	16.1795
1	994632	3426	798.292	10.5585
1	1.05384e+06	3640	808.5	17.7438
1	1.1196e+06	3854	804.708	10.7285
1	1.16856e+06	4068	822.583	19.5488
1	1.24958e+06	4282	812.375	14.6582
1	1.32232e+06	4497	826.667	11.5971
1	1.35854e+06	4711	810.958	16.1033
1	1.42464e+06	4925	820.208	14.0002
1	1.4743e+06	5139	818.958	17.5861
1	1.50976e+06	5353	833.292	13.0767
1	1.53881e+06	5567	826.292	16.4492
1	1.56119e+06	5781	831.708	20.1768
1	1.59147e+06	5996	846	13.5639
1	1.62367e+06	6210	844.875	15.4922
1	1.70295e+06	6424	842.542	17.1365
1	1.73222e+06	6638	842.458	15.9816
1	1.74288e+06	6852	848.708	18.5434
1	1.75661e+06	7066	851.125	19.4608
1	1.77198e+06	7281	847.125	21.9735
1.25	227777	428	827.083	13.6253
1.25	293962	642	821.833	14.7414
1.25	320204	856	825.25	14.2555
1.25	402023	1070	825.375	15.3611
1.25	465950	1284	826.708	13.7906
1.25	507084	1499	810.458	12.3065
1.25	557901	1713	815.583	11.2438
1.25	603725	1927	833.583	12.2162
1.25	650583	2141	826.375	11.7065
1.25	688611	2355	832.458	14.9623
1.25	766163	2569	831.875	14.5799
1.25	846916	2783	830.417	13.6309
1.25	890901	2998	832.5	15.1766
1.25	940105	3212	815.042	14.2663
1.25	994632	3426	835.333	10.7908
1.25	1.05384e+06	3640	840.125	17.9076
1.25	1.1196e+06	3854	864.875	15.8856
1.25	1.16856e+06	4068	860.958	16.9452
1.25	1.24958e+06	4282	872.208	15.4628
1.25	1.32232e+06	4497	877.917	20.2362
1.25	1.35854e+06	4711	871.208	15.8977
1.25	1.42464e+06	4925	870.708	15.3718
1.25	1.4743e+06	5139	902.375	21.369
1.25	1.50976e+06	5353	887.708	23.6688
1.25	1.53881e+06	5567	892.958	22.787
1.25	1.56119e+06	5781	893.5	24.3518
1.25	1.59147e+06	5996	897.458	19.7105
1.25	1.62367e+06	6210	892.792	17.9641
1.25	1.70295e+06	6424	891.083	20.932
1.25	1.73222e+06	6638	941	28.3825
1.25	1.74288e+06	6852	935.875	19.1279
1.25	1.75661e+06	7066	925.375	28.6186
1.25	1.77198e+06	7281	939.875	23.8013
1.5	227777	428	839.792	13.2251
1.5	293962	642	850.167	10.6362
1.5	320204	856	845.958	14.6
1.5	402023	1070	847.583	10.996
1.5	465950	1284	848.333	15.4644
1.5	507084	1499	840.75	15.8895
1.5	557901	1713	845.292	15.4495
1.5	603725	1927	833.375	12.3115
1.5	650583	2141	841.667	16.0084
1.5	688611	2355	866.917	13.1697
1.5	766163	2569	872.458	16.7687
1.5	846916	2783	860.042	13.0682
1.5	890901	2998	879.042	22.36
1.5	940105	3212	900.625	15.6688
1.5	994632	3426	888.75	14.0048
1.5	1.05384e+06	3640	892.833	19.4623
1.5	1.1196e+06	3854	897.25	23.5059
1.5	1.16856e+06	4068	897.875	17.3064
1.5	1.24958e+06	4282	960.833	28.0995
1.5	1.32232e+06	4497	931.292	22.4956
1.5	1.35854e+06	4711	955.458	25.3455
1.5	1.42464e+06	4925	957.083	23.9129
1.5	1.4743e+06	5139	1012.96	35.833
1.5	1.50976e+06	5353	1000.42	37.4203
1.5	1.53881e+06	5567	993.333	30.032
1.5	1.56119e+06	5781	1028.67	47.4625
1.5	1.59147e+06	5996	1007.58	37.7323
1.5	1.62367e+06	6210	1027.5	52.3473
1.5	1.70295e+06	6424	1056.5	41.6687
1.5	1.73222e+06	6638	1039.83	43.2371
1.5	1.74288e+06	6852	1070.25	45.0346
1.5	1.75661e+06	7066	1092.25	63.906
1.5	1.77198e+06	7281	1115.54	49.7761
1.75	227777	428	878.917	17.9993
1.75	293962	642	855.667	16.7781
1.75	320204	856	874.417	14.8493
1.75	402023	1070	879.458	15.0129
1.75	465950	1284	869.75	11.2904
1.75	507084	1499	884.917	15.3466
1.75	557901	1713	883.917	20.0875
1.75	603725	1927	896.542	17.6455
1.75	650583	2141	887.375	16.6662
1.75	688611	2355	898.875	20.4876
1.75	766163	2569	908.583	17.3126
1.75	846916	2783	904.417	18.9221
1.75	890901	2998	934.375	22.3168
1.75	940105	3212	937.083	22.7024
1.75	994632	3426	942.25	20.8939
1.75	1.05384e+06	3640	953.375	24.4766
1.75	1.1196e+06	3854	1004.08	26.8093
1.75	1.16856e+06	4068	990	41.0554
1.75	1.24958e+06	4282	1039.62	49.9417
1.75	1.32232e+06	4497	1065.96	38.4698
1.75	1.35854e+06	4711	1112.67	57.2852
1.75	1.42464e+06	4925	1189.33	68.5172
1.75	1.4743e+06	5139	1222.54	54.6223
1.75	1.50976e+06	5353	1200.46	83.8585
1.75	1.53881e+06	5567	1307.25	128.463
1.75	1.56119e+06	5781	1376.71	148.195
1.75	1.59147e+06	5996	1377.92	119.383
1.75	1.62367e+06	6210	1424.96	130.85
1.75	1.70295e+06	6424	1691.25	193.919
1.75	1.73222e+06	6638	1652.67	186.771
1.75	1.74288e+06	6852	1627.17	158.347
1.75	1.75661e+06	7066	1945.75	371.774
1.75	1.77198e+06	7281	1862.33	273.368
2	227777	428	901.917	18.8041
2	293962	642	914.458	16.3356
2	320204	856	903.333	14.2107
2	402023	1070	896.458	14.8521
2	465950	1284	916.917	21.3853
2	507084	1499	904.833	20.0638
2	557901	1713	913.792	19.7905
2	603725	1927	912.458	17.8327
2	650583	2141	916.417	20.0438
2	688611	2355	925.583	13.0257
2	766163	2569	964.75	17.5456
2	846916	2783	993.958	28.2558
2	890901	2998	982.083	21.5896
2	940105	3212	1005.21	27.5109
2	994632	3426	1032.75	42.1968
2	1.05384e+06	3640	1065.88	42.9485
2	1.1196e+06	3854	1146.62	60.2098
2	1.16856e+06	4068	1189.04	69.0992
2	1.24958e+06	4282	1288.25	109.329
2	1.32232e+06	4497	1672.67	174.401
2	1.35854e+06	4711	1638.29	158.991
2	1.42464e+06	4925	2164.5	316.702
2	1.4743e+06	5139	2334.54	388.911
2	1.50976e+06	5353	3103.96	517.579
2	1.53881e+06	5567	3041.29	614.613
2	1.56119e+06	5781	4864.21	916.162
