beta	population	links	attackRate	error
1	311489	3228	3909.75	37.6031
1	464692	4843	3874	40.7705
1	648186	6457	3820.71	32.5
1	854108	8072	3770.67	39.2207
1	1.08123e+06	9686	3782.38	34.4443
1	1.25862e+06	11300	3762.96	31.0575
1	1.46489e+06	12915	3775.46	33.8149
1	1.66283e+06	14529	3804	37.4926
1	1.85503e+06	16144	3768.33	29.6103
1	2.00387e+06	17758	3777.38	30.6747
1	2.18957e+06	19372	3773.08	37.3583
1	2.35983e+06	20987	3774.96	34.53
1	2.506e+06	22601	3776.38	29.9933
1	2.65109e+06	24216	3788.38	39.181
1	2.83137e+06	25830	3736.54	44.2846
1	3.00554e+06	27445	3785.96	35.1641
1	3.17104e+06	29059	3785.75	41.0084
1	3.35167e+06	30673	3785.83	40.5211
1	3.56092e+06	32288	3761.5	23.5372
1	3.78967e+06	33902	3747.08	39.4932
1	3.98623e+06	35517	3783.29	25.2061
1	4.19123e+06	37131	3761.5	33.6171
1	4.38526e+06	38745	3759.42	33.9227
1	4.61479e+06	40360	3776.83	44.5407
1	4.83266e+06	41974	3800.5	37.3249
1	5.08978e+06	43589	3784.67	34.6452
1	5.31637e+06	45203	3783.33	29.8409
1	5.56707e+06	46817	3813.46	34.7915
1	5.83522e+06	48432	3782.5	42.4074
1	6.11206e+06	50046	3759.58	37.1238
1	6.38326e+06	51661	3780.54	35.0917
1	6.76343e+06	53275	3822.83	36.6551
1	7.1025e+06	54890	3823.58	43.7516
1.25	311489	3228	4358.58	43.4211
1.25	464692	4843	4289.58	36.5119
1.25	648186	6457	4225.62	39.5768
1.25	854108	8072	4163.71	42.7121
1.25	1.08123e+06	9686	4105.25	38.3828
1.25	1.25862e+06	11300	4158.75	38.2375
1.25	1.46489e+06	12915	4107.17	45.8267
1.25	1.66283e+06	14529	4110.04	49.4368
1.25	1.85503e+06	16144	4120.88	36.3436
1.25	2.00387e+06	17758	4103.08	47.1229
1.25	2.18957e+06	19372	4115.75	28.1487
1.25	2.35983e+06	20987	4094.46	39.8897
1.25	2.506e+06	22601	4136.79	50.9213
1.25	2.65109e+06	24216	4112.58	36.201
1.25	2.83137e+06	25830	4091.62	38.4731
1.25	3.00554e+06	27445	4133.58	41.7626
1.25	3.17104e+06	29059	4122.54	53.0536
1.25	3.35167e+06	30673	4128.62	39.586
1.25	3.56092e+06	32288	4143.62	39.6762
1.25	3.78967e+06	33902	4106.96	39.8933
1.25	3.98623e+06	35517	4144.38	50.0654
1.25	4.19123e+06	37131	4162.21	42.9325
1.25	4.38526e+06	38745	4156.33	39.6818
1.25	4.61479e+06	40360	4198.83	40.5049
1.25	4.83266e+06	41974	4153.04	52.0203
1.25	5.08978e+06	43589	4225.5	36.2671
1.25	5.31637e+06	45203	4221.79	60.8182
1.25	5.56707e+06	46817	4185.04	31.8542
1.25	5.83522e+06	48432	4154.33	48.2418
1.25	6.11206e+06	50046	4247.83	48.6187
1.25	6.38326e+06	51661	4208.29	57.2612
1.25	6.76343e+06	53275	4299.54	50.4068
1.25	7.1025e+06	54890	4243.54	72.5375
1.5	311489	3228	5076.88	104.897
1.5	464692	4843	4870.12	69.0741
1.5	648186	6457	4726.21	58.9829
1.5	854108	8072	4671.79	65.5837
1.5	1.08123e+06	9686	4666.33	51.7446
1.5	1.25862e+06	11300	4570.42	50.4127
1.5	1.46489e+06	12915	4622.38	40.9484
1.5	1.66283e+06	14529	4609.04	44.007
1.5	1.85503e+06	16144	4544.04	46.0741
1.5	2.00387e+06	17758	4611.88	54.8353
1.5	2.18957e+06	19372	4572.25	57.9465
1.5	2.35983e+06	20987	4556.25	57.2684
1.5	2.506e+06	22601	4601.88	57.8836
1.5	2.65109e+06	24216	4544.08	55.2233
1.5	2.83137e+06	25830	4637.29	74.8061
1.5	3.00554e+06	27445	4659.46	53.1358
1.5	3.17104e+06	29059	4637.79	91.1263
1.5	3.35167e+06	30673	4656.58	92.5468
1.5	3.56092e+06	32288	4760.25	100.935
1.5	3.78967e+06	33902	4628	86.0299
1.5	3.98623e+06	35517	4812.08	97.1464
1.5	4.19123e+06	37131	4791.58	136.192
1.5	4.38526e+06	38745	4662.21	66.8468
1.5	4.61479e+06	40360	4800.42	85.8565
