beta	population	links	attackRate	error
1	320647	3383	2642.88	21.5891
1	549654	5075	2607.79	22.118
1	747440	6766	2589.88	19.5667
1	961081	8458	2608.58	22.7315
1	1.21668e+06	10150	2591.33	23.0011
1	1.40578e+06	11841	2612.54	20.6671
1	1.57934e+06	13533	2609.58	23.1375
1	1.83623e+06	15225	2595.75	22.1316
1	2.05858e+06	16916	2606.54	25.8878
1	2.33126e+06	18608	2594	21.8218
1	2.63366e+06	20300	2602.5	18.4921
1	2.88785e+06	21991	2609.33	17.8083
1	3.06082e+06	23683	2595.38	21.0338
1	3.30626e+06	25375	2618	21.6589
1	3.50389e+06	27066	2611.46	21.6328
1	3.79999e+06	28758	2645.42	25.1382
1	4.02734e+06	30450	2619.88	24.0019
1	4.23921e+06	32141	2603.46	22.4707
1	4.45972e+06	33833	2613.83	23.6824
1	4.66174e+06	35525	2602.96	24.3323
1	4.82206e+06	37216	2597.79	25.0756
1	5.05282e+06	38908	2607.12	24.5716
1	5.35506e+06	40600	2623.46	20.6634
1	5.53195e+06	42291	2626.92	22.2137
1	5.68707e+06	43983	2620.58	22.2797
1	5.84476e+06	45675	2612.83	16.9981
1	5.98567e+06	47366	2602.5	22.5261
1	6.13119e+06	49058	2628.75	22.5367
1	6.21772e+06	50750	2605.08	18.6622
1	6.26408e+06	52441	2598.5	24.7363
1	6.30383e+06	54133	2635.08	22.7462
1	6.35252e+06	55825	2618.5	19.9516
1	6.43541e+06	57517	2626.5	23.0336
1.25	320647	3383	2617.88	24.4355
1.25	549654	5075	2593.58	23.179
1.25	747440	6766	2600.88	20.1978
1.25	961081	8458	2606.83	17.6371
1.25	1.21668e+06	10150	2619.25	17.2906
1.25	1.40578e+06	11841	2602.08	22.1129
1.25	1.57934e+06	13533	2629.71	24.2517
1.25	1.83623e+06	15225	2617.62	20.1704
1.25	2.05858e+06	16916	2626.83	26.6977
1.25	2.33126e+06	18608	2630.04	22.9401
1.25	2.63366e+06	20300	2633.75	21.6088
1.25	2.88785e+06	21991	2626.79	19.8073
1.25	3.06082e+06	23683	2602.88	21.8528
1.25	3.30626e+06	25375	2655.58	33.2194
1.25	3.50389e+06	27066	2624.12	20.4845
1.25	3.79999e+06	28758	2635.75	36.6624
1.25	4.02734e+06	30450	2709.21	58.3354
1.25	4.23921e+06	32141	2658.12	39.5892
1.25	4.45972e+06	33833	2672.96	53.342
1.25	4.66174e+06	35525	2676.42	71.6549
1.25	4.82206e+06	37216	2691.12	58.9795
1.25	5.05282e+06	38908	2625.96	21.4397
1.25	5.35506e+06	40600	2743.62	101.059
1.25	5.53195e+06	42291	2638.62	63.44
1.25	5.68707e+06	43983	2798.17	147.633
1.25	5.84476e+06	45675	2673.54	81.549
1.25	5.98567e+06	47366	2722.04	120.775
1.25	6.13119e+06	49058	2788.75	143.874
1.25	6.21772e+06	50750	2780.71	127.904
1.25	6.26408e+06	52441	2823.54	148.617
1.25	6.30383e+06	54133	2717.62	101.035
1.25	6.35252e+06	55825	2701.38	111.471
1.25	6.43541e+06	57517	2818.96	173.652
1.5	320647	3383	2617.42	20.4643
1.5	549654	5075	2594.25	19.6844
1.5	747440	6766	2611.21	20.6161
1.5	961081	8458	2604	16.5695
1.5	1.21668e+06	10150	2617.54	25.0225
1.5	1.40578e+06	11841	2620.88	21.9583
1.5	1.57934e+06	13533	2634.67	29.1016
1.5	1.83623e+06	15225	2647.88	36.3463
1.5	2.05858e+06	16916	2636.79	23.5005
1.5	2.33126e+06	18608	2676.62	44.2051
1.5	2.63366e+06	20300	2660.54	50.4142
1.5	2.88785e+06	21991	2715.5	112.796
1.5	3.06082e+06	23683	2836.75	157.237
1.5	3.30626e+06	25375	2921.42	225.214
1.5	3.50389e+06	27066	3015.21	272.586
1.5	3.79999e+06	28758	3428.96	319.554
1.5	4.02734e+06	30450	3364.33	351.076
1.5	4.23921e+06	32141	3193.25	351.613
1.5	4.45972e+06	33833	3306.33	375.617
1.5	4.66174e+06	35525	3226.75	385.405
1.5	4.82206e+06	37216	3559.67	428.488
1.5	5.05282e+06	38908	3319.08	402.162
1.5	5.35506e+06	40600	3553.33	487.559
1.5	5.53195e+06	42291	3742.12	505.212
1.5	5.68707e+06	43983	3704.42	498.958
1.5	5.84476e+06	45675	3623.42	526.165
1.5	5.98567e+06	47366	3685.88	524.388
1.5	6.13119e+06	49058	3695.96	517.79
1.5	6.21772e+06	50750	3720.67	531.529
1.5	6.26408e+06	52441	4057.46	534.497
1.5	6.30383e+06	54133	4153.88	569.808
