beta	population	links	attackRate	error
1	222177	900	1856.38	15.8191
1	310149	1351	1824.79	23.0698
1	379042	1801	1848.04	21.857
1	414054	2251	1818.08	22.2669
1	467456	2702	1840.17	21.6771
1	498911	3152	1833	16.191
1	572728	3602	1828.29	24.5699
1	641643	4053	1836.83	21.3728
1	697607	4503	1842.08	20.0427
1	775786	4954	1833	18.3151
1	840964	5404	1823.62	22.2431
1	899757	5854	1834.38	23.2832
1	938853	6305	1829.12	18.1799
1	976286	6755	1834.17	18.9746
1	1.03053e+06	7205	1818.04	16.5235
1	1.08826e+06	7656	1839.83	19.7861
1	1.14687e+06	8106	1854.12	15.9917
1	1.19607e+06	8556	1836.21	22.594
1	1.26112e+06	9007	1845.71	25.0912
1	1.29805e+06	9457	1839.79	22.5718
1	1.33142e+06	9908	1848.21	25.5945
1	1.40341e+06	10358	1865.46	20.6209
1	1.43229e+06	10808	1868.88	25.3116
1	1.47713e+06	11259	1865.42	22.1453
1	1.51409e+06	11709	1859.46	16.0059
1	1.5496e+06	12159	1874.5	22.7073
1	1.58975e+06	12610	1857.04	24.7241
1	1.62116e+06	13060	1861.17	24.972
1	1.67586e+06	13510	1874.04	20.1713
1	1.7311e+06	13961	1885.67	23.5193
1	1.7585e+06	14411	1881.38	20.7144
1	1.78067e+06	14862	1885.04	18.2078
1	1.8199e+06	15312	1890.33	23.1344
1.25	222177	900	1961	17.9687
1.25	310149	1351	1926.29	21.4641
1.25	379042	1801	1879.83	24.2613
1.25	414054	2251	1887.04	21.1896
1.25	467456	2702	1889.29	24.1133
1.25	498911	3152	1887	21.34
1.25	572728	3602	1895.29	22.47
1.25	641643	4053	1868.08	17.062
1.25	697607	4503	1883.29	17.2262
1.25	775786	4954	1878.17	15.8428
1.25	840964	5404	1881.46	19.2174
1.25	899757	5854	1883.54	18.5593
1.25	938853	6305	1896.12	22.2079
1.25	976286	6755	1902.96	18.6903
1.25	1.03053e+06	7205	1914.12	23.5913
1.25	1.08826e+06	7656	1911.62	22.5452
1.25	1.14687e+06	8106	1908.96	23.6167
1.25	1.19607e+06	8556	1897.17	24.7511
1.25	1.26112e+06	9007	1916.62	20.1075
1.25	1.29805e+06	9457	1958.33	19.8511
1.25	1.33142e+06	9908	1913.17	21.9051
1.25	1.40341e+06	10358	1960.42	22.836
1.25	1.43229e+06	10808	1934.12	25.9153
1.25	1.47713e+06	11259	1956.88	25.85
1.25	1.51409e+06	11709	1960.46	22.3138
1.25	1.5496e+06	12159	1926.79	19.0439
1.25	1.58975e+06	12610	1969.92	29.0403
1.25	1.62116e+06	13060	1947.62	19.7784
1.25	1.67586e+06	13510	1985.96	24.9321
1.25	1.7311e+06	13961	1982.08	31.6117
1.25	1.7585e+06	14411	1972.96	33.29
1.25	1.78067e+06	14862	2012.42	24.3415
1.25	1.8199e+06	15312	1960.33	25.332
1.5	222177	900	2064.88	27.1906
1.5	310149	1351	2014.75	22.1941
1.5	379042	1801	1958.79	27.0304
1.5	414054	2251	1954.62	19.9857
1.5	467456	2702	1948.5	21.2904
1.5	498911	3152	1956.62	25.3318
