beta	population	links	attackRate	error
5	222177	900	409937	688.221
5	310149	1351	357429	831.789
5	379042	1801	278834	903.892
5	414054	2251	250194	1145.43
5	467456	2702	200737	1418.66
5	498911	3152	164443	1263.83
5	572728	3602	67721.8	2824.09
5	641643	4053	53542.3	3287.3
5	697607	4503	62885.4	1714.32
5	775786	4954	79452.2	1359.41
5	840964	5404	102688	1255.06
5	899757	5854	124720	1130.25
5	938853	6305	137333	1338.16
5	976286	6755	148937	1398.81
5	1.03053e+06	7205	162985	1156.86
5	1.08826e+06	7656	178919	1045.85
5	1.14687e+06	8106	187842	1300.19
5	1.19607e+06	8556	196953	1223.76
5	1.26112e+06	9007	214096	1044.44
5	1.29805e+06	9457	219427	860.712
5	1.33142e+06	9908	226614	1145.12
5	1.40341e+06	10358	241082	1179.42
5	1.43229e+06	10808	248054	1023.55
5	1.47713e+06	11259	256115	875.814
5	1.51409e+06	11709	260330	843.274
5	1.5496e+06	12159	262565	1047.15
5	1.58975e+06	12610	270580	996.242
5	1.62116e+06	13060	273897	763.453
5	1.67586e+06	13510	281322	790.549
5	1.7311e+06	13961	286940	1108.65
5	1.7585e+06	14411	290345	911.872
5	1.78067e+06	14862	293183	740.251
5	1.8199e+06	15312	296411	649.098
