beta	population	links	attackRate	error
1	300638	1870	2347.75	20.7471
1	477854	2805	2342.12	16.9393
1	619173	3740	2360.58	25.7717
1	814518	4675	2354.12	21.9526
1	1.01534e+06	5610	2347.88	23.0394
1	1.17552e+06	6545	2353.54	19.7154
1	1.42186e+06	7480	2354.54	22.5856
1	1.58981e+06	8415	2371.92	18.6353
1	1.75669e+06	9350	2389.67	23.7932
1	1.91265e+06	10285	2365.96	26.7247
1	2.0417e+06	11220	2353.17	23.7847
1	2.15583e+06	12155	2375.25	20.7991
1	2.34098e+06	13090	2398.17	19.5227
1	2.52223e+06	14025	2387.38	25.6102
1	2.70005e+06	14960	2387	24.1218
1	2.85691e+06	15895	2390.58	20.7631
1	3.0033e+06	16830	2379.75	17.4967
1	3.11534e+06	17765	2386.88	18.3729
1	3.22229e+06	18700	2389.58	20.945
1	3.33611e+06	19635	2385.71	18.2792
1	3.44043e+06	20570	2401.04	27.1871
1	3.53627e+06	21505	2390.04	21.6918
1	3.65053e+06	22440	2391.42	23.1186
1	3.77772e+06	23375	2392.04	20.6622
1	3.95373e+06	24310	2402.33	21.8166
1	4.19736e+06	25245	2398.67	22.4378
1	4.34087e+06	26180	2391.71	21.2146
1	4.52722e+06	27115	2416.67	18.9944
1	4.75704e+06	28050	2423.38	25.1351
1	4.90547e+06	28985	2402.17	23.4399
1	5.08715e+06	29920	2409.12	27.9728
1	5.33476e+06	30855	2427.83	27.9759
1	5.5742e+06	31790	2397.12	24.9485
1.25	300638	1870	2374.83	25.4998
1.25	477854	2805	2382.88	22.7824
1.25	619173	3740	2386.33	23.84
1.25	814518	4675	2386.38	24.4419
1.25	1.01534e+06	5610	2403.58	16.9445
1.25	1.17552e+06	6545	2392.08	19.4567
1.25	1.42186e+06	7480	2416.33	21.8517
1.25	1.58981e+06	8415	2433.21	18.161
1.25	1.75669e+06	9350	2420.58	24.6647
1.25	1.91265e+06	10285	2428.08	22.6306
1.25	2.0417e+06	11220	2431.08	21.1151
1.25	2.15583e+06	12155	2454.46	22.6573
1.25	2.34098e+06	13090	2437	26.4426
1.25	2.52223e+06	14025	2471.88	31.4044
1.25	2.70005e+06	14960	2465.75	34.6549
1.25	2.85691e+06	15895	2456.88	28.6649
1.25	3.0033e+06	16830	2467.96	27.642
1.25	3.11534e+06	17765	2476.67	30.7529
1.25	3.22229e+06	18700	2473.58	31.4787
1.25	3.33611e+06	19635	2486.58	29.9862
1.25	3.44043e+06	20570	2470.25	28.5934
1.25	3.53627e+06	21505	2473.42	24.7695
1.25	3.65053e+06	22440	2477.54	39.1606
1.25	3.77772e+06	23375	2532.62	42.1089
1.25	3.95373e+06	24310	2472.67	31.6959
1.25	4.19736e+06	25245	2526.5	38.262
1.25	4.34087e+06	26180	2495.33	26.6397
1.25	4.52722e+06	27115	2517.42	36.5492
1.25	4.75704e+06	28050	2525.58	34.61
1.25	4.90547e+06	28985	2553.04	46.2977
1.25	5.08715e+06	29920	2550	43.5571
1.25	5.33476e+06	30855	2533	40.9308
1.25	5.5742e+06	31790	2535.75	34.3179
1.5	300638	1870	2421.58	20.2792
1.5	477854	2805	2429.46	18.213
1.5	619173	3740	2440.92	20.3162
1.5	814518	4675	2440.5	24.7799
1.5	1.01534e+06	5610	2454.04	21.4602
1.5	1.17552e+06	6545	2438.33	22.4678
1.5	1.42186e+06	7480	2460.17	32.7178
1.5	1.58981e+06	8415	2493.58	30.6409
1.5	1.75669e+06	9350	2482.38	27.0954
1.5	1.91265e+06	10285	2491.54	31.9026
1.5	2.0417e+06	11220	2497.67	39.6199
1.5	2.15583e+06	12155	2484.79	35.249
1.5	2.34098e+06	13090	2570.04	45.5282
1.5	2.52223e+06	14025	2580.46	47.8509
1.5	2.70005e+06	14960	2622.17	54.8617
1.5	2.85691e+06	15895	2615.67	33.1264
1.5	3.0033e+06	16830	2666.21	53.1757
1.5	3.11534e+06	17765	2681.83	67.132
1.5	3.22229e+06	18700	2602.08	63.2405
1.5	3.33611e+06	19635	2693.21	77.2232
1.5	3.44043e+06	20570	2679.21	91.0676
1.5	3.53627e+06	21505	2705.17	61.7226
1.5	3.65053e+06	22440	2627.08	54.5475
1.5	3.77772e+06	23375	2704.67	77.4015
1.5	3.95373e+06	24310	2911.62	144.575
1.5	4.19736e+06	25245	2995.29	207.584
1.5	4.34087e+06	26180	3093.21	185.9
1.5	4.52722e+06	27115	2922.38	106.877
1.5	4.75704e+06	28050	3209.5	241.729
1.5	4.90547e+06	28985	3355.42	261.271
1.5	5.08715e+06	29920	3128.96	281.33
1.5	5.33476e+06	30855	3292.71	323.797
1.5	5.5742e+06	31790	3821.83	394.511
1.75	300638	1870	2455.96	23.5993
1.75	477854	2805	2447.75	24.6902
1.75	619173	3740	2441.75	23.664
1.75	814518	4675	2451.38	21.8077
1.75	1.01534e+06	5610	2466.62	28.8665
1.75	1.17552e+06	6545	2503.12	26.1758
1.75	1.42186e+06	7480	2529.42	31.3349
1.75	1.58981e+06	8415	2547.96	26.8103
1.75	1.75669e+06	9350	2593.96	51.3786
1.75	1.91265e+06	10285	2635.46	45.4096
1.75	2.0417e+06	11220	2638.79	44.327
1.75	2.15583e+06	12155	2682.62	60.235
1.75	2.34098e+06	13090	2801.58	81.5708
1.75	2.52223e+06	14025	2831.71	114.661
1.75	2.70005e+06	14960	3005.5	176.731
1.75	2.85691e+06	15895	3241.96	201.183
1.75	3.0033e+06	16830	3495.46	345.366
1.75	3.11534e+06	17765	3707.08	390.847
1.75	3.22229e+06	18700	4304.83	556.499
1.75	3.33611e+06	19635	4857.12	679.065
1.75	3.44043e+06	20570	5054.58	867.145
1.75	3.53627e+06	21505	5894.71	871.715
1.75	3.65053e+06	22440	6339.83	932.33
1.75	3.77772e+06	23375	7196.21	1417.83
1.75	3.95373e+06	24310	10434.6	1631.59
1.75	4.19736e+06	25245	11801.8	1542.23
1.75	4.34087e+06	26180	14125.7	1550.18
1.75	4.52722e+06	27115	17540.7	1061.89
1.75	4.75704e+06	28050	18705.9	1940.21
1.75	4.90547e+06	28985	19210.6	1540.03
1.75	5.08715e+06	29920	23320.3	679.571
1.75	5.33476e+06	30855	25636.8	804.347
1.75	5.5742e+06	31790	26524.7	823.461
2	300638	1870	2475.08	24.3435
2	477854	2805	2494.04	16.9583
2	619173	3740	2487.54	21.6238
2	814518	4675	2506.71	28.8898
2	1.01534e+06	5610	2527.54	22.9102
2	1.17552e+06	6545	2553.67	38.8556
2	1.42186e+06	7480	2636.62	36.86
2	1.58981e+06	8415	2701.75	62.7671
2	1.75669e+06	9350	2758.21	60.8059
2	1.91265e+06	10285	2908.58	136.556
2	2.0417e+06	11220	3109.92	221.43
2	2.15583e+06	12155	3317.92	300.275
2	2.34098e+06	13090	4159.79	484.069
2	2.52223e+06	14025	6572.17	1243.18
2	2.70005e+06	14960	12489.3	1325
2	2.85691e+06	15895	14794.5	2450.8
2	3.0033e+06	16830	18932.6	1271.88
2	3.11534e+06	17765	22381.3	910.616
2	3.22229e+06	18700	25288.3	1114.76
2	3.33611e+06	19635	27326.5	831.944
2	3.44043e+06	20570	29111.4	742.938
2	3.53627e+06	21505	30887.5	513.916
2	3.65053e+06	22440	31152.2	1546.74
2	3.77772e+06	23375	33606	485.553
2	3.95373e+06	24310	35401.1	1023.26
2	4.19736e+06	25245	38352.8	458.897
2	4.34087e+06	26180	39816	474.851
2	4.52722e+06	27115	41268.9	299.213
2	4.75704e+06	28050	43155.7	377.977
2	4.90547e+06	28985	44081.4	369.156
2	5.08715e+06	29920	45173.5	387.683
2	5.33476e+06	30855	46272	326.359
2	5.5742e+06	31790	47583.5	293.179
2.25	300638	1870	2521.79	21.2403
2.25	477854	2805	2530.25	25.8462
2.25	619173	3740	2525.83	30.2452
2.25	814518	4675	2569.54	27.0275
2.25	1.01534e+06	5610	2593.79	30.3169
2.25	1.17552e+06	6545	2625.79	30.5162
2.25	1.42186e+06	7480	2836.29	107.436
2.25	1.58981e+06	8415	3026.38	160.019
2.25	1.75669e+06	9350	4038.12	551.384
2.25	1.91265e+06	10285	6310.5	746.879
2.25	2.0417e+06	11220	9506	1398.24
2.25	2.15583e+06	12155	15519.6	1697.13
2.25	2.34098e+06	13090	23380.9	762.899
2.25	2.52223e+06	14025	29508.2	671.347
2.25	2.70005e+06	14960	34975.7	723.369
2.25	2.85691e+06	15895	37900.5	463.313
2.25	3.0033e+06	16830	40754.6	452.299
2.25	3.11534e+06	17765	42242.8	394.315
2.25	3.22229e+06	18700	44210.5	395.306
2.25	3.33611e+06	19635	45350.2	374.191
2.25	3.44043e+06	20570	46665.7	388.05
2.25	3.53627e+06	21505	48050.8	326.465
2.25	3.65053e+06	22440	49011.5	309.779
2.25	3.77772e+06	23375	50617.1	354.34
2.25	3.95373e+06	24310	51813.7	413.992
2.25	4.19736e+06	25245	54156.5	376.23
2.25	4.34087e+06	26180	54956.5	306.528
2.25	4.52722e+06	27115	56304.7	269.621
2.25	4.75704e+06	28050	57637.3	357.364
2.25	4.90547e+06	28985	58231.2	338.954
2.25	5.08715e+06	29920	59528.7	258.565
2.25	5.33476e+06	30855	60599.9	256.99
2.25	5.5742e+06	31790	61717	232.147
2.5	300638	1870	2544.04	16.9024
2.5	477854	2805	2573.62	22.1811
2.5	619173	3740	2593.42	26.5325
2.5	814518	4675	2604.58	24.5734
2.5	1.01534e+06	5610	2660.75	27.6566
2.5	1.17552e+06	6545	2779.38	47.2216
2.5	1.42186e+06	7480	3249.58	171.356
2.5	1.58981e+06	8415	5643.71	939.991
2.5	1.75669e+06	9350	14809	1353.85
2.5	1.91265e+06	10285	25980.2	695.726
2.5	2.0417e+06	11220	31167.1	614.57
2.5	2.15583e+06	12155	34709	596.635
2.5	2.34098e+06	13090	41035.7	485.162
2.5	2.52223e+06	14025	45502.6	423.605
2.5	2.70005e+06	14960	49332.4	308.024
2.5	2.85691e+06	15895	52156.9	263.951
2.5	3.0033e+06	16830	54306.4	253.711
2.5	3.11534e+06	17765	55580.4	219.863
2.5	3.22229e+06	18700	57047.7	246.355
2.5	3.33611e+06	19635	58394.9	299.636
