beta	population	links	attackRate	error
3	217160	1388	2700.33	25.7554
3	235252	1736	2669.62	24.5785
3	296205	2083	2666.25	24.9972
3	372825	2430	2681.33	29.6441
3	404271	2777	2674.5	21.3351
3	475923	3125	2654.67	22.4607
3	497195	3472	2660.88	26.3023
3	544253	3819	2676.21	29.8792
3	652520	4166	2696.54	33.2916
3	706406	4513	2681.38	25.9975
3	797704	4861	2699.54	34.4167
3	850743	5208	2740.54	30.5973
3	939763	5555	2752.42	26.1145
3	1.03367e+06	5902	2801.08	43.0109
3	1.12899e+06	6250	2849.67	47.0448
3	1.18768e+06	6597	3095	86.6156
3	1.24305e+06	6944	3077.92	131.466
3	1.29918e+06	7291	3238.62	166.408
3	1.35029e+06	7638	3488.38	288.445
3	1.44514e+06	7986	4635.71	565.395
3	1.54647e+06	8333	11304.6	1954.72
3	1.59436e+06	8680	17121.6	2001.56
3	1.64182e+06	9027	22347.8	2119.27
3	1.6817e+06	9375	26667.5	917.234
3	1.72424e+06	9722	30681.1	690.087
3	1.76236e+06	10069	33367.7	902.761
3	1.83207e+06	10416	38058	636.994
3	1.89527e+06	10763	42149.9	488.823
3	1.98492e+06	11111	46385.8	445.256
3	2.07355e+06	11458	50526.5	338.681
3	2.13683e+06	11805	52967.1	383.787
3	2.21917e+06	12152	56140.6	358.824
3	2.32754e+06	12500	59340.1	309.354
