beta	population	links	attackRate	error
4	212593	1332	2821.54	28.8048
4	234060	1666	2848.08	28.768
4	291511	1999	2814.17	28.8778
4	362583	2332	2832.92	29.9725
4	398068	2665	2843.38	26.1988
4	430673	2999	2842.88	24.3519
4	486586	3332	2891.92	26.7888
4	514271	3665	2876.25	36.6161
4	591934	3998	2931.58	45.185
4	673875	4331	3303.46	149.259
4	747773	4665	7099.42	1315.78
4	813921	4998	26688.7	628.543
4	881831	5331	38936.6	422.019
4	955301	5664	50179.9	394.509
4	1.06796e+06	5998	61738.5	328.092
4	1.14515e+06	6331	67208.3	276.678
4	1.20252e+06	6664	70695.1	227.046
4	1.25136e+06	6997	73252.3	141.525
4	1.30877e+06	7331	75896.8	206.45
4	1.35286e+06	7664	77614.2	126.98
4	1.4491e+06	7997	80955.7	140.087
4	1.54609e+06	8330	83719.7	120.471
4	1.59133e+06	8663	84817.5	143.029
4	1.6372e+06	8997	85754.9	147.8
4	1.67695e+06	9330	86562.1	110.93
4	1.71385e+06	9663	87393.6	97.8129
4	1.75739e+06	9996	88061	122.776
4	1.79964e+06	10330	88719.9	81.4676
4	1.87335e+06	10663	89817.8	106.827
4	1.9595e+06	10996	90939.8	113.34
4	2.04742e+06	11329	91903.5	83.9987
4	2.11104e+06	11662	92613.6	81.2599
4	2.16984e+06	11996	93248.7	94.1844
4.25	212593	1332	2881.88	35.6484
4.25	234060	1666	2852.08	34.7791
4.25	291511	1999	2853.75	20.1377
4.25	362583	2332	2871.17	32.5052
4.25	398068	2665	2903.12	23.8252
4.25	430673	2999	2915.58	32.8452
4.25	486586	3332	2914.25	27.3542
4.25	514271	3665	2934.92	32.8623
4.25	591934	3998	3022	48.797
4.25	673875	4331	4117.38	409.783
4.25	747773	4665	16990.8	1999.45
4.25	813921	4998	35419.1	531.431
4.25	881831	5331	47208.2	471.289
4.25	955301	5664	56858.6	300.961
4.25	1.06796e+06	5998	67505	216.817
4.25	1.14515e+06	6331	72690.2	201.41
4.25	1.20252e+06	6664	75774.8	164.027
4.25	1.25136e+06	6997	77912.2	154.694
4.25	1.30877e+06	7331	80251.3	147.584
4.25	1.35286e+06	7664	81879.3	119.926
4.25	1.4491e+06	7997	84664	170.106
4.25	1.54609e+06	8330	87183.5	159.428
4.25	1.59133e+06	8663	88211.4	113.864
4.25	1.6372e+06	8997	89134.4	119.103
4.25	1.67695e+06	9330	89791	97.562
4.25	1.71385e+06	9663	90454.8	119.985
4.25	1.75739e+06	9996	91165.5	114.324
4.25	1.79964e+06	10330	91680.7	116.171
4.25	1.87335e+06	10663	92713.5	92.7752
4.25	1.9595e+06	10996	93722.7	127.701
4.25	2.04742e+06	11329	94550.9	127.896
4.25	2.11104e+06	11662	95172.1	84.4316
4.25	2.16984e+06	11996	95712.7	96.9443
4.5	212593	1332	2972.92	28.8258
4.5	234060	1666	2988.75	32.5958
4.5	291511	1999	2924.33	35.094
4.5	362583	2332	2936.38	29.193
4.5	398068	2665	2959.5	23.5398
4.5	430673	2999	2962.62	29.7276
4.5	486586	3332	2973.58	33.799
4.5	514271	3665	2988.71	37.422
4.5	591934	3998	3193.96	63.5822
4.5	673875	4331	6246.67	925.581
4.5	747773	4665	28789.7	565.689
4.5	813921	4998	43790.1	425.148
4.5	881831	5331	54266.7	361.863
4.5	955301	5664	63125.7	263.776
4.5	1.06796e+06	5998	72324.7	251.66
4.5	1.14515e+06	6331	77061	208.427
4.5	1.20252e+06	6664	79900.4	134.564
