beta	population	links	attackRate	error
5	212593	1332	3066.42	43.3115
5	234060	1666	3083.75	30.5056
5	291511	1999	3049.67	29.8598
5	362583	2332	3024.33	26.7133
5	398068	2665	3082.21	36.7204
5	430673	2999	3080.33	28.4263
5	486586	3332	3160.42	37.0686
5	514271	3665	3147.92	37.2559
5	591934	3998	3549.96	153.802
5	673875	4331	23279.5	948.37
5	747773	4665	44331.2	303.165
5	813921	4998	56798.8	282.35
5	881831	5331	65654.1	227.494
5	955301	5664	72777	261.173
5	1.06796e+06	5998	80511.2	175.404
5	1.14515e+06	6331	84193.5	141.792
5	1.20252e+06	6664	86480.5	133.91
5	1.25136e+06	6997	88231.9	131.009
5	1.30877e+06	7331	89940.1	102.35
5	1.35286e+06	7664	91212.6	120.966
5	1.4491e+06	7997	93355.5	117.015
5	1.54609e+06	8330	95084	88.0593
5	1.59133e+06	8663	95816	81.3849
5	1.6372e+06	8997	96546	98.4689
5	1.67695e+06	9330	97019.5	95.1374
5	1.71385e+06	9663	97465.2	68.0167
5	1.75739e+06	9996	97934.6	92.0232
5	1.79964e+06	10330	98388.1	94.7106
5	1.87335e+06	10663	99084.8	79.8636
5	1.9595e+06	10996	99860.4	82.8395
5	2.04742e+06	11329	100573	87.1512
5	2.11104e+06	11662	100943	62.578
5	2.16984e+06	11996	101391	76.5206
