beta	population	links	attackRate	error
2	269782	4484	6546.21	290.185
2	734960	8969	5959.96	48.9802
2	953161	13454	5837.08	43.448
2	1.23304e+06	17939	5859.04	39.1825
2	1.53375e+06	22424	6103.42	200.797
2	1.90756e+06	26909	9030.17	1019.15
2	2.31598e+06	31394	13974.4	748.906
2	2.73012e+06	35879	16383.8	1386.98
2	3.05648e+06	40363	19320.5	1265.57
2	3.40537e+06	44848	22214.2	1875.87
2	3.83326e+06	49333	25123.9	1447.23
2	4.32166e+06	53818	27986.2	1404.7
2	4.7289e+06	58303	31303.5	1354.96
2	5.18172e+06	62788	32286	1888.61
2	5.69102e+06	67273	34254.8	1442.72
2	6.18477e+06	71758	35951.6	2192.11
2	6.6684e+06	76242	38722.4	788.202
2	7.10803e+06	80727	37958.5	1512.6
2	7.59064e+06	85212	39490.6	1594.46
2	8.01661e+06	89697	40522.2	1082.28
2	8.55237e+06	94182	40363.8	1784.07
2	8.94087e+06	98667	42627.5	1165.25
2	9.40015e+06	103152	43470.7	1134.52
2	9.86221e+06	107637	43530.5	1268.13
2	1.02122e+07	112121	44225	1565.78
2	1.05595e+07	116606	45071.2	655.84
2	1.09688e+07	121091	45567.1	1144.18
2	1.12466e+07	125576	44743.9	1297.6
2	1.15443e+07	130061	45111.7	1321.36
2	1.18168e+07	134546	46188.2	650.55
2	1.20824e+07	139031	45760.4	1491.42
2	1.22442e+07	143516	47541	1398.67
2	1.23495e+07	148001	45853.1	1867.67
2.25	269782	4484	9055.42	1006.71
2.25	734960	8969	6359.12	144.368
2.25	953161	13454	6127.46	65.963
2.25	1.23304e+06	17939	6196.42	82.8647
2.25	1.53375e+06	22424	8970	911.113
2.25	1.90756e+06	26909	14553.9	919.925
2.25	2.31598e+06	31394	19705.6	1473.18
2.25	2.73012e+06	35879	24647.2	1399.69
2.25	3.05648e+06	40363	28381.9	1711.3
2.25	3.40537e+06	44848	34145.6	904.212
2.25	3.83326e+06	49333	37967.3	1064.18
2.25	4.32166e+06	53818	39255.7	1954.09
2.25	4.7289e+06	58303	42684.6	1312.95
2.25	5.18172e+06	62788	46121.4	1112.49
2.25	5.69102e+06	67273	47671.4	1086.99
2.25	6.18477e+06	71758	49884.9	2067.55
2.25	6.6684e+06	76242	52923.5	1138.18
2.25	7.10803e+06	80727	53659.5	2253.6
2.25	7.59064e+06	85212	55657	1356.9
2.25	8.01661e+06	89697	59258.7	1592.21
2.25	8.55237e+06	94182	60062.7	1237.5
2.25	8.94087e+06	98667	61146.3	1082.94
2.25	9.40015e+06	103152	62867.8	1207.6
2.25	9.86221e+06	107637	63276.4	1269.18
2.25	1.02122e+07	112121	64573	1263.87
2.25	1.05595e+07	116606	63545	1792.88
2.25	1.09688e+07	121091	65316.8	1658.74
2.25	1.12466e+07	125576	66539	1469.04
2.25	1.15443e+07	130061	67624.8	1376.13
2.25	1.18168e+07	134546	66930.7	1519.4
2.25	1.20824e+07	139031	67218.1	1605.18
2.25	1.22442e+07	143516	68494	1840.57
2.25	1.23495e+07	148001	67354.5	1499.96
2.5	269782	4484	14338.8	1517.85
2.5	734960	8969	7207.58	386.65
2.5	953161	13454	6539.17	85.393
2.5	1.23304e+06	17939	7385.33	599.953
2.5	1.53375e+06	22424	13829.5	1073.69
2.5	1.90756e+06	26909	20976.5	1676.38
2.5	2.31598e+06	31394	29758.4	1534.45
2.5	2.73012e+06	35879	37248	1448.42
2.5	3.05648e+06	40363	40038.5	1897.63
2.5	3.40537e+06	44848	44505.6	1804.14
2.5	3.83326e+06	49333	51788	1063.39
2.5	4.32166e+06	53818	56659.6	1555
2.5	4.7289e+06	58303	59452.3	1474.95
2.5	5.18172e+06	62788	64581	1537.16
2.5	5.69102e+06	67273	67493.4	1522.45
2.5	6.18477e+06	71758	72642.5	1632.19
2.5	6.6684e+06	76242	74234	1642.13
2.5	7.10803e+06	80727	76303.5	1933.86
2.5	7.59064e+06	85212	79129.1	1716.85
2.5	8.01661e+06	89697	81409.5	1711.44
2.5	8.55237e+06	94182	83431.9	1665.13
2.5	8.94087e+06	98667	82920.7	1669.04
2.5	9.40015e+06	103152	83844.5	1919.03
2.5	9.86221e+06	107637	84759.6	2045.24
2.5	1.02122e+07	112121	86267.3	1659.99
2.5	1.05595e+07	116606	87304.9	1729.89
2.5	1.09688e+07	121091	90377.4	1093.63
2.5	1.12466e+07	125576	89215.6	1946.69
2.5	1.15443e+07	130061	91133.2	1544.23
2.5	1.18168e+07	134546	91381	1619.49
2.5	1.20824e+07	139031	90662.8	1552.31
2.5	1.22442e+07	143516	93059.5	1083.72
2.5	1.23495e+07	148001	91231.6	1750.54
2.75	269782	4484	21010.2	1948
2.75	734960	8969	12554.4	1096.76
2.75	953161	13454	7674.71	334.406
2.75	1.23304e+06	17939	12202.1	896.032
2.75	1.53375e+06	22424	18156.8	1200.95
2.75	1.90756e+06	26909	30137.3	1196.03
2.75	2.31598e+06	31394	39476.8	1952.72
2.75	2.73012e+06	35879	48390.8	919.88
2.75	3.05648e+06	40363	55508.7	1844.83
2.75	3.40537e+06	44848	61623.1	1624.9
2.75	3.83326e+06	49333	68255	1663.49
2.75	4.32166e+06	53818	75510.8	1484.4
2.75	4.7289e+06	58303	79561.5	1581.94
