population	links	EPT	error
446555	2474	1	0
585388	3711	1	0
775706	4948	1	0
931453	6185	36.75	22.8635
1.06359e+06	7423	108.792	3.17003
1.20235e+06	8660	93.25	2.55021
1.32897e+06	9897	90.4583	1.76565
1.46987e+06	11134	84.7917	1.91321
1.56204e+06	12371	82.4167	2.01572
1.68668e+06	13608	81.4167	1.34989
1.78044e+06	14846	77.1667	1.53674
1.90347e+06	16083	77.0833	1.33954
2.00974e+06	17320	75.5833	1.34473
2.11475e+06	18557	75.5417	1.40081
2.21375e+06	19794	73.7083	1.26231
2.32206e+06	21032	73.1667	1.27431
2.41804e+06	22269	70.625	1.19626
2.5123e+06	23506	70.125	1.3101
2.67202e+06	24743	71.0833	1.21418
2.79075e+06	25980	69.7917	1.13761
2.86265e+06	27217	69.75	1.26104
2.9544e+06	28455	68.75	0.981774
3.13932e+06	29692	68.5833	0.986488
3.23567e+06	30929	67.1667	1.29059
3.30808e+06	32166	68.3333	0.97763
3.39825e+06	33403	66.9167	0.905567
3.49589e+06	34640	66.875	0.996287
3.61602e+06	35878	66.6667	1.39427
3.73221e+06	37115	66.625	1.0407
3.8102e+06	38352	67.1667	0.831446
3.93657e+06	39589	66	1.46882
4.05069e+06	40826	65.875	0.853305
4.12481e+06	42064	66.25	1.27203
