population	links	time	infected	error
281901	1237	0	0	0
281901	1237	1	1613.62	14.8684
281901	1237	2	1266.33	13.3783
281901	1237	3	1134.62	13.3507
281901	1237	4	994.5	13.1428
281901	1237	5	888.708	11.0802
281901	1237	6	801.792	12.4135
281901	1237	7	730.042	12.6052
281901	1237	8	670.208	12.832
281901	1237	9	620.292	12.3627
281901	1237	10	585.833	13.8586
281901	1237	11	555.917	14.9376
281901	1237	12	535.708	16.1834
281901	1237	13	519.292	15.0465
281901	1237	14	519.958	18.0138
281901	1237	15	513.75	20.8395
281901	1237	16	522.208	23.1288
281901	1237	17	530.333	25.5802
281901	1237	18	538.625	25.4906
281901	1237	19	554.208	27.3121
281901	1237	20	573.125	30.7609
281901	1237	21	605.917	36.7916
281901	1237	22	629.917	41.2718
281901	1237	23	660.958	44.2069
281901	1237	24	697.542	48.8939
281901	1237	25	737.167	53.9049
281901	1237	26	789.917	59.5931
281901	1237	27	842.208	66.3764
281901	1237	28	902.583	73.32
281901	1237	29	955.25	79.4261
281901	1237	30	1023.71	85.9417
281901	1237	31	1095.58	95.5969
281901	1237	32	1178.29	106.039
281901	1237	33	1272.62	113.509
281901	1237	34	1369.17	123.931
281901	1237	35	1480.75	137.231
281901	1237	36	1587.83	150.111
281901	1237	37	1713.92	160.358
281901	1237	38	1841.25	173.537
281901	1237	39	1983.21	186.042
281901	1237	40	2138.75	203.328
281901	1237	41	2311.08	220.178
281901	1237	42	2492.42	238.355
281901	1237	43	2680.71	256.61
281901	1237	44	2886.88	278.601
281901	1237	45	3115.71	298.986
281901	1237	46	3361.71	317.73
281901	1237	47	3631.58	340.208
281901	1237	48	3902.5	364.025
281901	1237	49	4198.17	387.865
281901	1237	50	4511.12	410.143
281901	1237	51	4820.88	427.005
281901	1237	52	5132.79	443.641
281901	1237	53	5479.12	462.311
281901	1237	54	5836.42	489.919
281901	1237	55	6212.33	501.692
281901	1237	56	6564.25	509.371
281901	1237	57	6935.88	521.924
281901	1237	58	7309.25	528.676
281901	1237	59	7663.12	532.277
281901	1237	60	8025.92	525.716
281901	1237	61	8378	526.957
281901	1237	62	8733.33	512.263
281901	1237	63	9056.33	506.641
281901	1237	64	9375.12	478.438
281901	1237	65	9656.46	471.246
281901	1237	66	9933.83	450.09
281901	1237	67	10164	425.462
281901	1237	68	10395	398.606
281901	1237	69	10558	364.943
281901	1237	70	10713.8	330.458
281901	1237	71	10845	306.44
281901	1237	72	10919.2	281.726
281901	1237	73	10954.3	263.135
281901	1237	74	10986.8	250.626
281901	1237	75	10991.3	248.147
281901	1237	76	10948.6	260.685
281901	1237	77	10867.7	275.479
281901	1237	78	10780.1	280.197
281901	1237	79	10670.6	300.32
281901	1237	80	10542.7	326.794
281901	1237	81	10387.9	343.568
281901	1237	82	10236	354.819
281901	1237	83	10073.2	375.831
281901	1237	84	9903.96	387.958
281901	1237	85	9724.54	402.335
281901	1237	86	9533.79	408.258
281901	1237	87	9328.21	411.552
281901	1237	88	9148.67	410.573
281901	1237	89	8932.21	413.063
281901	1237	90	8749.38	404.921
281901	1237	91	8574.92	413.331
281901	1237	92	8396.42	403.701
281901	1237	93	8216.83	404.84
281901	1237	94	8028.33	397.777
281901	1237	95	7862.67	387.54
281901	1237	96	7717.12	370.048
281901	1237	97	7562.5	366.183
281901	1237	98	7434.5	349.974
281901	1237	99	7297.33	343.367
281901	1237	100	7167.83	330.613
281901	1237	101	7041.92	318.353
281901	1237	102	6924.83	305.557
281901	1237	103	6813.08	302.138
281901	1237	104	6709.42	293.157
281901	1237	105	6612.92	280.979
281901	1237	106	6532.58	265.842
281901	1237	107	6444.25	253.376
281901	1237	108	6384.46	232.451
281901	1237	109	6309.92	220.688
281901	1237	110	6257.04	208.252
281901	1237	111	6192.62	202.949
281901	1237	112	6157.83	186.929
281901	1237	113	6111.71	182.115
281901	1237	114	6059.67	176.684
281901	1237	115	6005.54	167.421
281901	1237	116	5975.58	153.837
281901	1237	117	5924.96	147.796
281901	1237	118	5891.75	145.661
281901	1237	119	5866.25	137.515
281901	1237	120	5822.38	137.315
281901	1237	121	5785.17	129.582
281901	1237	122	5748.79	133.973
281901	1237	123	5716.08	126.348
281901	1237	124	5675	128.97
281901	1237	125	5641.96	130.069
281901	1237	126	5595.42	129.869
281901	1237	127	5569.33	132.134
281901	1237	128	5532.42	127.625
281901	1237	129	5480.25	125.194
281901	1237	130	5432.08	127.429
281901	1237	131	5404.92	141.323
281901	1237	132	5345.58	138.109
281901	1237	133	5313.46	144.247
281901	1237	134	5281.54	141.72
281901	1237	135	5234.21	155.522
281901	1237	136	5188.08	150.968
281901	1237	137	5145.5	159.072
281901	1237	138	5085.88	155.988
281901	1237	139	5041.25	162.721
281901	1237	140	4996.38	164.17
281901	1237	141	4934.96	167.307
281901	1237	142	4885.92	170.347
281901	1237	143	4845.5	172.934
281901	1237	144	4791.71	173.339
281901	1237	145	4718.25	169.84
281901	1237	146	4665.12	172.972
281901	1237	147	4606.58	171.027
281901	1237	148	4540.75	165.715
281901	1237	149	4471.29	165.678
281901	1237	150	4423.12	165.61
281901	1237	151	4372.71	168.963
281901	1237	152	4312.79	172.906
281901	1237	153	4255.96	171.545
281901	1237	154	4194	174.879
281901	1237	155	4156.67	173.865
281901	1237	156	4093.08	178.787
281901	1237	157	4032.38	173.898
281901	1237	158	3979.12	175.75
281901	1237	159	3932.75	174.385
281901	1237	160	3862.67	166.951
281901	1237	161	3826.33	166.192
281901	1237	162	3770.42	164.893
281901	1237	163	3714.17	164.268
281901	1237	164	3655.83	162.019
281901	1237	165	3587.42	162.625
281901	1237	166	3529.75	166.721
281901	1237	167	3479.75	159.464
281901	1237	168	3425.92	157.629
281901	1237	169	3369.33	156.017
281901	1237	170	3316.17	151.688
281901	1237	171	3267.54	147.4
281901	1237	172	3221.04	151.328
281901	1237	173	3174.29	146.594
281901	1237	174	3125.38	145.927
281901	1237	175	3074.42	142.787
281901	1237	176	3027.96	144.251
281901	1237	177	2968.21	144.629
281901	1237	178	2915	142.826
281901	1237	179	2861.38	140.709
281901	1237	180	2804.5	130.143
281901	1237	181	2749.62	127.467
281901	1237	182	2703.67	125.614
281901	1237	183	2656.88	125.977
281901	1237	184	2602.75	123.874
281901	1237	185	2554.88	124.68
281901	1237	186	2510.96	120.108
281901	1237	187	2459.46	119.076
281901	1237	188	2412.25	116.746
281901	1237	189	2376.71	114.899
281901	1237	190	2330.29	109.621
281901	1237	191	2282.58	106.245
281901	1237	192	2240.67	106.454
281901	1237	193	2191.29	104.041
281901	1237	194	2147.62	105.497
281901	1237	195	2101.04	102.809
281901	1237	196	2063.29	102.569
281901	1237	197	2011.12	101.134
281901	1237	198	1974.79	104.173
281901	1237	199	1930.29	95.9588
281901	1237	200	1878.04	95.1972
281901	1237	201	1841.54	92.5343
281901	1237	202	1797.25	91.8326
281901	1237	203	1762	90.9339
281901	1237	204	1716.46	87.8573
281901	1237	205	1676.75	82.7309
281901	1237	206	1638.71	85.7206
281901	1237	207	1600.25	83.1803
281901	1237	208	1563.79	78.7147
281901	1237	209	1531.79	79.7139
281901	1237	210	1502.17	77.55
281901	1237	211	1461.04	76.886
281901	1237	212	1428.29	74.2312
281901	1237	213	1391.12	76.3152
281901	1237	214	1360.38	76.1304
281901	1237	215	1325.79	72.8605
281901	1237	216	1285.12	71.6744
281901	1237	217	1259.38	70.2147
281901	1237	218	1228.04	70.6095
281901	1237	219	1200.04	69.3755
281901	1237	220	1160	66.7717
281901	1237	221	1131.58	64.2734
281901	1237	222	1104.67	63.8264
281901	1237	223	1075.08	62.3015
281901	1237	224	1043.75	60.0948
281901	1237	225	1023.12	59.3102
281901	1237	226	1000.42	59.4948
281901	1237	227	973.75	59.9399
281901	1237	228	950.125	60.5122
281901	1237	229	925.25	57.7129
281901	1237	230	896.875	56.8728
281901	1237	231	880.583	56.4564
281901	1237	232	862.583	55.3304
281901	1237	233	843.542	54.1053
281901	1237	234	816.875	53.0284
281901	1237	235	795.25	50.687
281901	1237	236	777.417	50.5376
281901	1237	237	759.875	52.4344
281901	1237	238	746.375	51.2328
281901	1237	239	727.333	49.505
281901	1237	240	710.083	48.9952
281901	1237	241	688.125	47.103
281901	1237	242	668.458	46.548
281901	1237	243	654.708	45.1075
281901	1237	244	632.958	42.8323
281901	1237	245	616	40.0994
281901	1237	246	598.917	39.4627
281901	1237	247	584.25	38.747
281901	1237	248	570.833	34.9121
281901	1237	249	553	35.6809
281901	1237	250	540.125	35.3201
281901	1237	251	529.417	34.9424
281901	1237	252	519.625	34.642
281901	1237	253	500.042	33.7843
281901	1237	254	492.167	33.5628
281901	1237	255	477.375	34.0094
281901	1237	256	466.667	33.6911
281901	1237	257	447.875	31.6138
281901	1237	258	435.75	30.19
281901	1237	259	425.417	29.0624
281901	1237	260	413.833	29.1553
281901	1237	261	404.542	27.2499
281901	1237	262	392.417	26.8692
281901	1237	263	385.958	26.6768
281901	1237	264	371.75	26.4522
281901	1237	265	361.958	25.4916
281901	1237	266	352.708	23.957
281901	1237	267	343.792	23.2423
281901	1237	268	335.5	22.6371
281901	1237	269	327.292	22.7409
281901	1237	270	318.333	23.8892
281901	1237	271	311.5	23.9711
281901	1237	272	302.25	23.3964
281901	1237	273	294.042	22.7855
281901	1237	274	283.625	22.5998
281901	1237	275	273.542	21.824
281901	1237	276	268.208	21.326
281901	1237	277	261.708	20.9545
281901	1237	278	252.458	20.2593
281901	1237	279	244.542	20.0129
281901	1237	280	237.708	20.8686
281901	1237	281	233.875	21.4429
281901	1237	282	225.958	21.4349
281901	1237	283	218	20.1591
281901	1237	284	211.5	20.5275
281901	1237	285	208.042	19.7501
281901	1237	286	205.042	20.256
281901	1237	287	199.375	19.7397
281901	1237	288	194.667	19.089
281901	1237	289	188.458	18.3098
281901	1237	290	183.583	18.2328
281901	1237	291	178.167	17.0067
281901	1237	292	173.042	16.303
281901	1237	293	166.25	16.2357
281901	1237	294	161.333	15.3651
281901	1237	295	156.417	15.1476
281901	1237	296	154.042	15.0382
281901	1237	297	152.958	14.7182
281901	1237	298	148.708	14.9867
281901	1237	299	144.542	14.1377
446555	2474	0	0	0
446555	2474	1	1600.04	12.6096
446555	2474	2	1256.46	12.2527
446555	2474	3	1130.42	13.5587
446555	2474	4	986.292	13.0223
446555	2474	5	877	16.333
446555	2474	6	789.5	15.8223
446555	2474	7	716.958	18.3718
446555	2474	8	655.958	16.3098
446555	2474	9	603.917	16.53
446555	2474	10	565.542	16.7454
446555	2474	11	534.042	17.0761
446555	2474	12	507.167	17.6824
446555	2474	13	485.75	19.6313
446555	2474	14	466.458	19.1993
446555	2474	15	459.417	21.4827
446555	2474	16	448.542	22.4053
446555	2474	17	439.875	21.442
446555	2474	18	436.333	21.8787
446555	2474	19	432.667	21.8596
446555	2474	20	439.583	22.7759
446555	2474	21	438.042	23.3428
446555	2474	22	444.083	23.7997
446555	2474	23	443.917	26.2816
446555	2474	24	456.333	27.2901
446555	2474	25	462.375	27.2588
446555	2474	26	477	30.0712
446555	2474	27	484.333	28.9147
446555	2474	28	494.958	28.4397
446555	2474	29	507.958	30.8439
446555	2474	30	519.417	30.1175
446555	2474	31	533.75	32.7077
446555	2474	32	550.417	32.5617
446555	2474	33	568.708	34.5699
446555	2474	34	586.167	36.6608
446555	2474	35	602.708	38.2186
446555	2474	36	616.167	40.4515
446555	2474	37	639.375	41.9402
446555	2474	38	660.208	43.6143
446555	2474	39	679.042	46.7871
446555	2474	40	701.333	49.6545
446555	2474	41	720.958	50.3084
446555	2474	42	746.958	52.2288
446555	2474	43	772.917	58.4412
446555	2474	44	802.708	60.1186
446555	2474	45	832.458	64.0539
446555	2474	46	860.958	64.316
446555	2474	47	891.917	68.3661
446555	2474	48	921.75	71.225
446555	2474	49	952.417	74.0349
446555	2474	50	989.417	76.8077
446555	2474	51	1018	79.9396
446555	2474	52	1049.5	83.317
446555	2474	53	1086.62	85.46
446555	2474	54	1119.58	90.2417
446555	2474	55	1149.04	89.5234
446555	2474	56	1192.42	93.2199
446555	2474	57	1228.83	92.4375
446555	2474	58	1263.54	97.3538
446555	2474	59	1301.54	96.8952
446555	2474	60	1334.38	98.3394
446555	2474	61	1357.5	100.984
446555	2474	62	1395.08	102.882
446555	2474	63	1446.79	105.682
446555	2474	64	1483.96	109.186
446555	2474	65	1511.58	110.957
446555	2474	66	1568.21	117.815
446555	2474	67	1604.5	118.796
446555	2474	68	1647.62	120.713
446555	2474	69	1692.62	120.819
446555	2474	70	1727.33	119.058
446555	2474	71	1768.46	123.826
446555	2474	72	1793.29	125.638
446555	2474	73	1828.38	124.539
446555	2474	74	1868.96	127.133
446555	2474	75	1898.33	129.472
446555	2474	76	1930.67	130.311
446555	2474	77	1961.96	131.14
446555	2474	78	1997.96	136.4
446555	2474	79	2018.96	134.735
446555	2474	80	2041.29	132.348
446555	2474	81	2074.58	132.079
446555	2474	82	2104.12	132.549
446555	2474	83	2122.92	135.989
446555	2474	84	2145.96	133.188
446555	2474	85	2170.67	131.289
446555	2474	86	2182.67	131.827
446555	2474	87	2204.96	131.669
446555	2474	88	2219.21	132.049
446555	2474	89	2236.04	138.519
446555	2474	90	2254.83	133.497
446555	2474	91	2255.08	138.768
446555	2474	92	2262.62	131.678
446555	2474	93	2269.96	132.932
446555	2474	94	2268.12	137.749
446555	2474	95	2278.38	139.8
446555	2474	96	2282.29	138.524
446555	2474	97	2277.96	144.278
446555	2474	98	2282.21	148.523
446555	2474	99	2286.71	148.538
446555	2474	100	2293.12	145.823
446555	2474	101	2293.88	149.814
446555	2474	102	2287.25	150.244
446555	2474	103	2279.04	149.207
