population	links	time	infected	error
0	0	0	0	0
0	0	1	714.083	5.05932
0	0	2	568.75	4.6358
0	0	3	612.333	4.59301
0	0	4	611.833	6.05293
0	0	5	646.333	7.23295
0	0	6	674.917	8.0821
0	0	7	705.917	7.90669
0	0	8	746.333	10.4572
0	0	9	813.333	11.2551
0	0	10	879	15.3169
0	0	11	984.917	18.8606
0	0	12	1093.33	23.3055
0	0	13	1231.17	31.9055
0	0	14	1419.92	37.7797
0	0	15	1647.58	51.4987
0	0	16	1942.17	68.1428
0	0	17	2304.17	89.7991
0	0	18	2786.75	118.816
0	0	19	3385.83	153.704
0	0	20	4177.75	201.174
0	0	21	5136.33	256.022
0	0	22	6349.58	334.236
0	0	23	7822.5	410.585
0	0	24	9659.83	510.955
0	0	25	11788	614.043
0	0	26	14289.7	696.453
0	0	27	17110.6	793.994
0	0	28	20243.5	872.887
0	0	29	23654.7	949.89
188361	2000	0	2.83333	1.24975
188361	2000	1	2.25	1.08231
188361	2000	2	2.58333	0.816667
188361	2000	3	2.91667	1.03653
188361	2000	4	5.16667	1.15284
188361	2000	5	4.83333	2.04478
188361	2000	6	7	1.2063
188361	2000	7	9.08333	2.35717
188361	2000	8	11.5	2.44256
188361	2000	9	13.75	2.98543
188361	2000	10	19	4.9089
188361	2000	11	27.5	8.98995
188361	2000	12	32.6667	7.5114
188361	2000	13	45.5	10.2599
188361	2000	14	67.5833	16.6197
188361	2000	15	81.25	23.1284
188361	2000	16	107.417	29.7517
188361	2000	17	150.25	38.5737
188361	2000	18	194.167	49.1979
188361	2000	19	251.833	68.6512
188361	2000	20	328.167	73.6046
188361	2000	21	406.25	95.1049
188361	2000	22	528.583	113.954
188361	2000	23	668.167	138.432
188361	2000	24	827.167	152.153
188361	2000	25	984.417	158.23
188361	2000	26	1126.75	161.171
188361	2000	27	1283.33	159.373
188361	2000	28	1431.58	154.43
188361	2000	29	1552.5	159.698
365657	4000	0	1.75	0.728787
365657	4000	1	3.08333	0.978762
365657	4000	2	3.58333	0.948561
365657	4000	3	3.08333	0.70166
365657	4000	4	4	0.965037
365657	4000	5	4.16667	1.31776
365657	4000	6	5.08333	0.917367
365657	4000	7	5.91667	0.816667
365657	4000	8	7.75	1.40936
365657	4000	9	11.5833	2.41812
365657	4000	10	13.25	2.82516
365657	4000	11	15.0833	3.65457
365657	4000	12	22.4167	4.0762
365657	4000	13	31.5	7.40277
365657	4000	14	39.6667	9.4256
365657	4000	15	50	10.0897
365657	4000	16	66.4167	14.0272
365657	4000	17	82.0833	19.0067
365657	4000	18	121.25	25.7686
365657	4000	19	150.417	36.7883
365657	4000	20	198.167	43.6145
365657	4000	21	254.5	61.2787
365657	4000	22	324.917	69.3621
365657	4000	23	409.417	72.2093
365657	4000	24	494.083	90.7816
365657	4000	25	596.667	87.9864
365657	4000	26	696.5	87.1242
365657	4000	27	798.833	87.5575
365657	4000	28	900.417	82.3145
365657	4000	29	980.833	94.9385
606459	6000	0	2.08333	0.658878
606459	6000	1	1.91667	0.70166
606459	6000	2	2.5	0.660716
606459	6000	3	2	0.90271
606459	6000	4	3	0.835747
606459	6000	5	3.75	1.13482
606459	6000	6	4.25	0.874045
606459	6000	7	4.41667	1.73066
606459	6000	8	9	1.98948
606459	6000	9	9	2.2243
606459	6000	10	10.5	2.53609
606459	6000	11	14.4167	3.33827
606459	6000	12	18.5833	4.49065
606459	6000	13	26.1667	6.79749
606459	6000	14	35.25	7.23426
606459	6000	15	42.1667	9.43948
606459	6000	16	55.8333	11.7522
606459	6000	17	67.5	14.1162
606459	6000	18	92.6667	19.6494
606459	6000	19	114.167	25.0513
606459	6000	20	156.583	28.7923
606459	6000	21	196.833	37.5876
606459	6000	22	249.583	47.2945
606459	6000	23	309	55.0204
606459	6000	24	389.833	60.3504
606459	6000	25	457.417	72.1521
606459	6000	26	550.333	77.0159
606459	6000	27	640.667	82.6187
606459	6000	28	728.75	82.1349
606459	6000	29	799.75	83.2838
1.12458e+06	10000	0	1.91667	0.851558
1.12458e+06	10000	1	2.83333	0.89732
1.12458e+06	10000	2	2.25	0.767682
1.12458e+06	10000	3	2.91667	0.978762
1.12458e+06	10000	4	3.66667	1.5322
1.12458e+06	10000	5	3.83333	1.10119
1.12458e+06	10000	6	3.75	0.9688
1.12458e+06	10000	7	4.08333	0.978762
1.12458e+06	10000	8	6.58333	1.16851
1.12458e+06	10000	9	6.91667	1.93697
1.12458e+06	10000	10	8.58333	1.43662
1.12458e+06	10000	11	9	2.14436
1.12458e+06	10000	12	13.0833	2.53562
1.12458e+06	10000	13	16.0833	3.46657
1.12458e+06	10000	14	20.6667	3.33718
1.12458e+06	10000	15	29	7.389
1.12458e+06	10000	16	35.5	6.31666
1.12458e+06	10000	17	47.8333	8.76151
1.12458e+06	10000	18	57.3333	9.65138
1.12458e+06	10000	19	74.6667	14.5704
1.12458e+06	10000	20	95.9167	19.5888
1.12458e+06	10000	21	122	22.9234
1.12458e+06	10000	22	149.25	25.1618
1.12458e+06	10000	23	191.75	26.6667
1.12458e+06	10000	24	235.167	33.4628
1.12458e+06	10000	25	284.083	44.7609
1.12458e+06	10000	26	337.75	42.1563
1.12458e+06	10000	27	400.167	48.5422
1.12458e+06	10000	28	443.333	45.9416
1.12458e+06	10000	29	504.5	51.7126
2.19783e+06	20000	0	2.25	0.9688
2.19783e+06	20000	1	2.33333	0.653333
2.19783e+06	20000	2	1.66667	0.847275
2.19783e+06	20000	3	2.66667	0.880954
2.19783e+06	20000	4	3.25	0.998388
2.19783e+06	20000	5	3.08333	0.816667
2.19783e+06	20000	6	3.75	1.38855
2.19783e+06	20000	7	4.75	0.8047
2.19783e+06	20000	8	4.83333	0.630667
2.19783e+06	20000	9	5.08333	1.6967
2.19783e+06	20000	10	7.58333	1.45674
2.19783e+06	20000	11	6	1.13161
2.19783e+06	20000	12	8.91667	2.17747
2.19783e+06	20000	13	11.0833	2.2433
2.19783e+06	20000	14	12.9167	2.2172
2.19783e+06	20000	15	16.5833	3.35566
2.19783e+06	20000	16	22.8333	3.20823
2.19783e+06	20000	17	27.4167	4.0762
2.19783e+06	20000	18	35.4167	6.10085
2.19783e+06	20000	19	38.6667	7.04764
2.19783e+06	20000	20	56.4167	7.95226
2.19783e+06	20000	21	69.9167	10.7799
2.19783e+06	20000	22	88.1667	13.5166
2.19783e+06	20000	23	114.583	20.3496
2.19783e+06	20000	24	130.333	19.6064
2.19783e+06	20000	25	166.583	19.5472
2.19783e+06	20000	26	190.167	20.4912
2.19783e+06	20000	27	225.917	22.8897
2.19783e+06	20000	28	263.25	28.1138
2.19783e+06	20000	29	293.417	28.0696
5.45286e+06	45000	0	1.83333	0.829923
5.45286e+06	45000	1	2	0.965037
5.45286e+06	45000	2	2.58333	0.741979
5.45286e+06	45000	3	1.58333	0.563656
5.45286e+06	45000	4	1.75	0.9688
5.45286e+06	45000	5	2.91667	0.978762
5.45286e+06	45000	6	3.5	0.660716
5.45286e+06	45000	7	3.41667	0.70166
5.45286e+06	45000	8	5.58333	1.30945
5.45286e+06	45000	9	3.08333	1.09124
5.45286e+06	45000	10	4.75	1.48967
5.45286e+06	45000	11	4.75	0.643986
5.45286e+06	45000	12	4.33333	1.41365
5.45286e+06	45000	13	6.41667	1.79667
5.45286e+06	45000	14	7.41667	2.137
5.45286e+06	45000	15	9.41667	1.09124
5.45286e+06	45000	16	10.5833	2.48928
5.45286e+06	45000	17	13.5	1.71447
5.45286e+06	45000	18	16.25	2.92636
5.45286e+06	45000	19	21.8333	4.1144
5.45286e+06	45000	20	24.6667	3.85512
5.45286e+06	45000	21	31.4167	5.50927
5.45286e+06	45000	22	42	6.61596
5.45286e+06	45000	23	47.9167	9.71187
5.45286e+06	45000	24	60.5833	9.44757
5.45286e+06	45000	25	75.5	9.4292
5.45286e+06	45000	26	84.3333	9.01204
5.45286e+06	45000	27	98.1667	13.4085
5.45286e+06	45000	28	113.333	12.4204
5.45286e+06	45000	29	130.25	12.3847
