population	links	index	origin_mean	origing_error	destination_mean	destination_error
886453	8000	0	0.147163	0.0211387	0.0484201	0.00191019
886453	8000	1	0.154968	0.0125544	0.0535287	0.00341985
886453	8000	2	0.109628	0.00320737	0.0845617	0.00292795
886453	8000	3	0.13737	0.0153102	0.0311111	0.00554297
886453	8000	4	0.130311	0.000873594	0.0812407	0.00167261
886453	8000	5	0.203975	0.00432576	0.0587994	0.00197716
886453	8000	6	0.128828	0.00158669	0.086114	0.00193248
886453	8000	7	0.160106	0.00140794	0.066506	0.00233304
886453	8000	8	0.11905	0.00190324	0.120576	0.00472359
886453	8000	9	0.132256	0.00223217	0.091663	0.00452957
886453	8000	10	0.0795495	0.00350833	0.0302129	0.00245821
886453	8000	11	0.120566	0.00164478	0.05019	0.00270044
886453	8000	12	0.117855	0.00251806	0.101317	0.00386203
886453	8000	13	0.0960145	0.024048	0.0574311	0.00263723
886453	8000	14	0.0926867	0.00224344	0.0768864	0.00382269
886453	8000	15	0.123904	0.0148828	0.0471955	0.00289644
886453	8000	16	0.163555	0.00156197	0.121556	0.00453356
886453	8000	17	0.0922897	0.00149933	0.120533	0.0055707
886453	8000	18	0.140813	0.00169604	0.0874566	0.00223874
886453	8000	19	0.108776	0.00368472	0.107735	0.00556882
886453	8000	20	0.133931	0.000936495	0.0599385	0.000890024
886453	8000	21	0.11583	0.00322851	0.0486995	0.00116121
886453	8000	22	0.0208333	0.0408333	0.0596413	0.00216461
886453	8000	23	0.114486	0.00239975	0.0475535	0.00134826
886453	8000	24	0.0261814	0.00534204	0.00656393	0.00235302
886453	8000	25	0.272534	0.00318603	0.0456265	0.00277449
886453	8000	26	0.185565	0.00152138	0.170059	0.00305436
886453	8000	27	0.139706	0.0175224	0.0491087	0.00294659
886453	8000	28	0.214775	0.00129168	0.0818312	0.000895177
886453	8000	29	0.212144	0.00121446	0.127896	0.00191158
886453	8000	30	0.119324	0.0013149	0.066457	0.00190408
886453	8000	31	0.209445	0.00141514	0.0643099	0.00188794
886453	8000	32	0.203816	0.00159177	0.546797	0.00358634
886453	8000	33	0.210217	0.00118098	0.122636	0.00269775
886453	8000	34	0.108188	0.00321765	0.0601483	0.00183558
886453	8000	35	0.251634	0.00578127	0.046396	0.00279427
886453	8000	36	0.115581	0.00177119	0.0494768	0.00136107
886453	8000	37	0.131933	0.00186333	0.0594387	0.00145473
886453	8000	38	0.118083	0.000915997	0.0716442	0.0015424
886453	8000	39	0.171315	0.00163544	0.10046	0.00293946
886453	8000	40	0.147805	0.00195201	0.133055	0.00392065
886453	8000	41	0.146702	0.00213965	0.0731079	0.00255536
886453	8000	42	0.163425	0.00281967	0.0504993	0.00161769
886453	8000	43	0.143975	0.00178232	0.0667942	0.00163539
886453	8000	44	0.155825	0.00155822	0.0903302	0.00194403
886453	8000	45	0.0871847	0.00186858	0.0656571	0.00233081
886453	8000	46	0.161824	0.00139553	0.0757376	0.00184726
886453	8000	47	0.160458	0.00172365	0.133016	0.00314312
886453	8000	48	0.1226	0.00143016	0.15441	0.0027459
886453	8000	49	0.197704	0.00255352	0.0541309	0.0021211
