population	links	index	origin_mean	origing_error	destination_mean	destination_error
291568	2000	0	0.000488985	0.000116017	0.000396648	0.000128556
291568	2000	1	0.000520292	3.60449e-05	0.000449753	6.00299e-05
291568	2000	2	0.000481188	8.70447e-05	0.000517616	5.55925e-05
291568	2000	3	0.000473742	4.46619e-05	0.000441343	5.49915e-05
291568	2000	4	0.000514758	6.35849e-05	0.00051046	6.0777e-05
291568	2000	5	0.000516207	7.32892e-05	0.000521622	7.22468e-05
291568	2000	6	0.000507723	4.91158e-05	0.000421933	5.11926e-05
291568	2000	7	0.000469731	5.06692e-05	0.000443703	6.54567e-05
291568	2000	8	0.000526938	5.95726e-05	0.000517094	5.42003e-05
291568	2000	9	0.000484517	2.90042e-05	0.000513538	5.52661e-05
291568	2000	10	0.000541758	3.88879e-05	0.000644152	4.91845e-05
291568	2000	11	0.000605719	8.7507e-05	0.000741505	0.000100751
291568	2000	12	0.000527984	6.43826e-05	0.000485296	0.000106191
291568	2000	13	0.00047448	9.57913e-05	0.000432194	0.000132626
291568	2000	14	0.000473304	4.23679e-05	0.000467394	8.58349e-05
291568	2000	15	0.00051694	4.82288e-05	0.000434004	5.93938e-05
291568	2000	16	0.000522755	4.58574e-05	0.000552367	4.82631e-05
291568	2000	17	0.000520412	5.58831e-05	0.000453114	7.80102e-05
291568	2000	18	0.00047181	4.56642e-05	0.000490377	6.76029e-05
291568	2000	19	0.000546929	5.5473e-05	0.000447865	3.70435e-05
291568	2000	20	0.000505189	4.34216e-05	0.000453179	8.43093e-05
291568	2000	21	0.000462339	4.22289e-05	0.000418148	5.71998e-05
291568	2000	22	0.000469993	4.87844e-05	0.000479656	5.00917e-05
291568	2000	23	0.000481585	5.90281e-05	0.000501824	5.68316e-05
291568	2000	24	0.000495942	8.0317e-05	0.000548847	0.000120175
291568	2000	25	0.000513662	4.96275e-05	0.000547129	8.5049e-05
291568	2000	26	0.000496567	3.7954e-05	0.000453159	5.6644e-05
291568	2000	27	0.000486746	4.0948e-05	0.000440842	7.07637e-05
291568	2000	28	0.000555878	9.40131e-05	0.000513131	5.72871e-05
291568	2000	29	0.000505819	4.90782e-05	0.000443735	4.58771e-05
291568	2000	30	0.000557351	7.15415e-05	0.000425129	4.96805e-05
291568	2000	31	0.000483945	4.50043e-05	0.00053024	5.76156e-05
291568	2000	32	0.000462097	4.73935e-05	0.000507162	6.56054e-05
291568	2000	33	0.000558011	5.21918e-05	0.000422094	6.56758e-05
291568	2000	34	0.000504851	4.05294e-05	0.000421555	7.05091e-05
291568	2000	35	0.000528757	7.51735e-05	0.000558785	5.90489e-05
291568	2000	36	0.000513261	3.14242e-05	0.00041659	5.77509e-05
291568	2000	37	0.000482401	7.71611e-05	0.000506676	4.06513e-05
291568	2000	38	0.000527127	4.04861e-05	0.000496325	5.24783e-05
291568	2000	39	0.000540217	6.55895e-05	0.000497839	4.19967e-05
291568	2000	40	0.000482641	5.14921e-05	0.000446095	4.98888e-05
291568	2000	41	0.000536699	5.59863e-05	0.000553127	3.15483e-05
291568	2000	42	0.000514954	4.71507e-05	0.000499603	5.49097e-05
291568	2000	43	0.000497834	3.86436e-05	0.000540005	6.03788e-05
291568	2000	44	0.000499033	6.01266e-05	0.000496071	5.35174e-05
291568	2000	45	0.000505537	6.78571e-05	0.000525738	7.81643e-05
291568	2000	46	0.000538202	8.72936e-05	0.000463907	7.50215e-05
291568	2000	47	0.000577666	8.60476e-05	0.000691839	7.67621e-05
291568	2000	48	0.0005104	4.48794e-05	0.000445118	5.43858e-05
291568	2000	49	0.000537582	5.7911e-05	0.000512645	5.56305e-05
291568	2000	50	0.000487219	8.02933e-05	0.000407432	5.54153e-05
291568	2000	51	0.000492497	7.20429e-05	0.000523794	9.91516e-05
291568	2000	52	0.000552708	0.000183671	0.000592238	0.000126618
291568	2000	53	0.000532623	8.92127e-05	0.000458034	8.87197e-05
291568	2000	54	0.00052598	8.45148e-05	0.000488808	0.000126083
