population	links	tests	detected	time	error	time_error
27899	1462	600000	69.4635	30	113.298	0
37664	2106	600000	57.6562	30	82.6614	0
51068	3277	600000	51.2708	30	65.5526	0
62065	4389	600000	56.1406	30	56.0658	0
72017	5173	600000	60.5156	30	52.409	0
83450	6193	600000	58.8906	30	48.7734	0
96134	7123	600000	54.4531	30	42.062	0
106434	7707	600000	53.8958	30	40.2581	0
127199	8692	600000	50.8438	30	37.7219	0
137942	9736	600000	49.2812	30	33.9956	0
152749	10895	600000	48.9271	30	34.4551	0
162467	11646	600000	47.8646	30	30.3116	0
175528	12313	600000	46.3281	30	29.6556	0
186109	13476	600000	45.2083	30	28.1127	0
203526	14376	600000	42.9375	30	26.3741	0
221134	15036	600000	42.6615	30	26.3156	0
232319	16080	600000	43.474	30	26.1014	0
248476	17200	600000	41.8021	30	22.7355	0
258795	18279	600000	40.974	30	23.6747	0
270779	18880	600000	40.7396	30	22.1807	0
281622	19867	600000	39.8542	30	22.4964	0
299222	20615	600000	39.4896	30	21.6193	0
320395	21148	600000	38.8438	30	20.1006	0
332878	22252	600000	39.0885	30	19.3842	0
342974	23249	600000	38.0052	30	18.701	0
354366	24153	600000	42.2812	30	20.3251	0
364147	24913	600000	43.6823	30	20.5087	0
380339	25808	600000	43.4896	30	21.5024	0
393415	26731	600000	42.474	30	20.3118	0
404877	28021	600000	41.7396	30	19.7409	0
419037	28812	600000	41.1146	30	19.8704	0
431544	29749	600000	41.2917	30	20.1267	0
441107	30831	600000	41.5573	30	19.7876	0
452048	31609	600000	41.6562	30	20.1444	0
463904	32559	600000	41.224	30	18.7567	0
474184	33625	600000	41.0156	30	20.0066	0
485049	34702	600000	40.2865	30	18.8046	0
494641	35849	600000	41.0417	30	17.9657	0
506385	36939	600000	41.599	30	18.9714	0
516068	37865	600000	42.1042	30	17.6377	0
528304	38944	600000	42.2969	30	18.6512	0
539028	40005	600000	42.3698	30	18.8617	0
550702	40966	600000	42.3385	30	18.9792	0
561739	42619	600000	42.3438	30	17.5349	0
572045	43847	600000	42.8229	30	19.2425	0
581944	44802	600000	42.375	30	18.701	0
593402	45825	600000	41.8958	30	19.2175	0
603765	47081	600000	41.9115	30	19.5926	0
614127	48180	600000	41.6562	30	18.6143	0
626272	49141	600000	42.125	30	18.387	0
638725	50329	600000	42.026	30	16.116	0
649818	51159	600000	40.8229	30	17.8363	0
660966	52415	600000	40.0312	30	17.3655	0
670591	53360	600000	41.3594	30	17.5012	0
682147	54146	600000	42.625	30	19.6342	0
695484	55386	600000	41.8594	30	17.6769	0
708480	56644	600000	42.401	30	16.3669	0
719927	57785	600000	42.0469	30	16.7394	0
730327	59172	600000	40.4635	30	15.5992	0
740580	60346	600000	41.7083	30	17.4149	0
750408	61981	600000	40.474	30	16.7175	0
760573	63009	600000	41.401	30	16.642	0
771985	64248	600000	40.7708	30	16.6887	0
783252	65298	600000	40.1042	30	16.1501	0
798303	66533	600000	40.5104	30	15.2163	0
810816	67767	600000	40.1927	30	16.0905	0
823675	69088	600000	40.1719	30	17.3802	0
834740	70373	600000	40.0156	30	17.5233	0
845940	71349	600000	40.2708	30	16.967	0
857228	72264	600000	39.8281	30	16.3456	0
870092	73117	600000	40.0104	30	16.6059	0
880595	74107	600000	40.099	30	17.41	0
890533	75630	600000	40.7292	30	17.2882	0
900755	76451	600000	40.6875	30	17.1927	0
912392	77287	600000	39.6875	30	16.7303	0
923797	78481	600000	40.1042	30	16.3728	0
933143	80008	600000	39.9896	30	15.9244	0
944803	81584	600000	39.2656	30	16.0454	0
954315	82689	600000	39.5312	30	15.2595	0
964568	83856	600000	39.7031	30	16.726	0
974153	85291	600000	39.8333	30	15.8858	0
983803	87021	600000	40.8802	30	16.8666	0
993807	88682	600000	40.1979	30	15.5663	0
1003413	89961	600000	41.7292	30	16.3802	0
1013974	91676	600000	40.5417	30	16.7854	0
1023699	92898	600000	40.3073	30	17.0604	0
1033478	94359	600000	40.875	30	17.3305	0
1043532	96162	600000	40.3385	30	16.1049	0
1053829	97460	600000	40.7812	30	15.466	0
1063413	99082	600000	40.4062	30	14.5428	0
1072946	101207	600000	41.3594	30	15.9245	0
1082592	102965	600000	41.151	30	16.83	0
1092061	104569	600000	41.776	30	16.4116	0
1102961	105706	600000	41.4427	30	16.0815	0
1114868	107520	600000	41.3542	30	15.4382	0
