population	links	tests	detected	time	error	time_error
22388	2299	600000	130.984	30	214.993	0
31494	4721	600000	108.531	30	156.227	0
40828	6907	600000	94.2448	30	119.844	0
50574	8020	600000	86.4271	30	103.271	0
68510	9378	600000	77.3385	30	80.5799	0
78365	10350	600000	74.1146	30	72.7739	0
87924	12009	600000	73.7448	30	68.9289	0
98242	13663	600000	70.9531	30	58.4023	0
109256	14928	600000	68.4479	30	53.524	0
118902	15923	600000	68.4896	30	51.0792	0
134163	16796	600000	66.8125	30	47.989	0
145506	17997	600000	65.9896	30	45.5603	0
155967	19431	600000	65.849	30	44.7733	0
165503	20497	600000	64.7656	30	40.6041	0
175615	21855	600000	64.6771	30	38.5074	0
185316	23032	600000	63.2135	30	38.1063	0
194939	24044	600000	62.25	30	36.2158	0
204478	25251	600000	62.4427	30	38.729	0
215277	26650	600000	61.8802	30	37.9653	0
224684	28071	600000	61.3646	30	36.2055	0
239251	29524	600000	60.5	30	34.703	0
249894	30839	600000	60.7031	30	31.8626	0
259386	32295	600000	59.8073	30	32.9571	0
268978	33255	600000	59.5729	30	33.7131	0
278685	34643	600000	59.7865	30	31.3945	0
289646	35853	600000	58.5573	30	29.6552	0
299437	36908	600000	59.4427	30	29.8308	0
313361	38193	600000	58.5104	30	30.5678	0
324614	39418	600000	57.5156	30	28.3255	0
342520	40855	600000	56.3698	30	27.7066	0
353169	41918	600000	56.3125	30	28.1083	0
365810	43141	600000	56.5365	30	26.9655	0
379957	44393	600000	55.4792	30	25.3863	0
392361	45628	600000	55.8073	30	29.1923	0
402690	46930	600000	53.9531	30	23.11	0
413614	48005	600000	54.4323	30	25.2271	0
424444	49168	600000	53.4948	30	25.5568	0
434077	50463	600000	54.5208	30	23.6421	0
444447	51567	600000	53.4844	30	25.054	0
454015	52621	600000	52.7812	30	24.7885	0
475573	54139	600000	52.1771	30	23.4723	0
485902	55197	600000	51.4688	30	24.059	0
498828	56504	600000	51.4688	30	23.2753	0
509910	57451	600000	52.0521	30	22.8606	0
519701	58336	600000	51.1771	30	24.3723	0
532613	59555	600000	50.6094	30	23.4602	0
542710	60871	600000	50.9375	30	20.2947	0
554522	61749	600000	50.0052	30	21.8233	0
564990	62993	600000	51.0781	30	22.4563	0
574590	63945	600000	49.9792	30	23.4689	0
585199	64994	600000	50.1823	30	20.2974	0
599299	66053	600000	49.3594	30	21.8266	0
610164	67328	600000	48.4635	30	20.001	0
624370	68766	600000	48.8802	30	21.3671	0
633891	69934	600000	48.2031	30	21.8325	0
643543	70828	600000	48.5885	30	21.2292	0
654112	71955	600000	48.599	30	21.1969	0
667216	73151	600000	48.125	30	21.5298	0
677266	74044	600000	47.7708	30	20.09	0
687921	74994	600000	47.5	30	22.0672	0
710731	76110	600000	47.1042	30	19.9871	0
732914	77326	600000	46.3906	30	20.4394	0
744465	78483	600000	46.9948	30	21.0267	0
756151	79436	600000	46.3438	30	21.7353	0
765732	80448	600000	47.2656	30	19.9147	0
777818	81547	600000	46.2135	30	20.4573	0
787712	82481	600000	45.5365	30	20.9088	0
797377	83293	600000	46.1198	30	19.2935	0
810243	84148	600000	46.1094	30	18.2459	0
820261	85129	600000	46.2708	30	19.0418	0
831668	86422	600000	45.5781	30	18.9601	0
854242	87619	600000	45.5104	30	19.6591	0
864145	88421	600000	44.8594	30	20.0068	0
877208	89337	600000	45.0521	30	18.1606	0
888451	90538	600000	44.2708	30	17.4644	0
898327	91644	600000	45.1198	30	19.4237	0
908382	92675	600000	44.5781	30	19.0696	0
923702	93813	600000	44.2552	30	17.2352	0
933356	94692	600000	43.276	30	17.9226	0
944370	95715	600000	44.0104	30	19.0397	0
956178	96510	600000	43.8854	30	18.3742	0
965817	97382	600000	43.4531	30	17.4688	0
975402	98330	600000	44.2344	30	19.0326	0
988678	99164	600000	43.4896	30	18.9744	0
999896	99990	600000	43.4271	30	16.5316	0
1009899	100609	600000	42.8073	30	17.6433	0
1024492	101542	600000	42.5729	30	18.1592	0
1034217	102215	600000	42.6094	30	17.462	0
1046403	103052	600000	43.349	30	18.6584	0
1060229	104052	600000	42.4948	30	17.4071	0
1075428	104820	600000	41.4427	30	16.9843	0
1085291	105563	600000	41.7708	30	16.5781	0
1098259	106420	600000	41.724	30	18.0749	0
1108816	107187	600000	41.1927	30	16.6575	0
1118467	107993	600000	42.3438	30	16.8209	0
