population	links	tests	detected	time	error	time_error
5865	438	30000	12316.2	9.79167	1819.34	3.10801
13418	1184	30000	10465.3	10.2917	1368.75	3.0265
21067	2167	30000	9129.04	10.7083	1164.39	2.79757
25259	2688	30000	8445.5	11	1048.29	2.82843
28390	3428	30000	8093.62	11.0833	969.421	2.51109
30118	4065	30000	7959.67	11.2083	1007	2.88555
31417	4670	30000	7818.83	11.2917	905.646	2.91428
32182	4986	30000	7758.42	11.3333	846.533	2.74874
33952	5374	30000	7543.92	11.5	799.735	2.64575
35452	5762	30000	7430.79	11.5833	864.333	2.88194
37223	6155	30000	7230.5	11.5833	802.113	2.76385
39188	6547	30000	7079.75	11.8333	771.378	2.4267
41125	6982	30000	6995.58	11.8333	684.577	2.4267
45369	7453	30000	6750.79	11.9583	684.57	2.41379
50031	7936	30000	6531.17	12.125	660.121	2.25924
52327	8281	30000	6340	12.0833	632.525	2.22985
55206	8590	30000	6322.08	12.0833	633.304	2.30338
57448	8890	30000	6229.38	12.1667	649.77	2.28522
59430	9253	30000	6213.54	12.1667	576.625	2.28522
71370	9714	30000	5886.42	12.5	582.526	2.16025
74330	10107	30000	5820.88	12.5833	528.395	2.07498
79754	10635	30000	5629.62	12.8333	504.058	1.97203
82503	11044	30000	5661.88	12.7083	516.635	1.68119
84142	11399	30000	5672.5	12.875	516.076	1.94186
86524	11768	30000	5666.29	12.8333	463.217	1.79505
89174	12261	30000	5661.25	12.875	494.936	1.94186
92131	12635	30000	5588.5	12.875	483.243	1.76186
94046	13038	30000	5603.67	12.9167	521.045	1.90759
96713	13428	30000	5568.5	12.9583	492.235	1.86897
100509	13851	30000	5608.33	13	455.942	1.91485
103994	14272	30000	5615.21	12.9583	438.537	1.77756
107302	14726	30000	5608.25	13	444.387	1.91485
113879	15258	30000	5648.79	13	490.085	1.82574
117669	15746	30000	5614.42	13.0417	458.043	1.68119
130073	16230	30000	5501.17	12.9583	453.353	1.35144
133595	16615	30000	5513.54	12.9167	439.077	1.51841
