population	links	tests	detected	time	error	time_error
41467	1326	600000	339.964	30	268.092	0
56374	2008	600000	2601.58	25.8438	3639.03	6.40026
66207	2855	600000	2312.19	26.2188	3217.72	6.19938
78094	3503	600000	1948.4	26.8125	2689.11	5.68845
89892	4487	600000	1922.4	26.8073	2285.98	5.34503
100957	5445	600000	2109.87	26.3333	2077.84	4.81487
118504	6170	600000	2158.11	26.1979	1953.68	4.50089
131010	7074	600000	1956.84	26.5729	1752.48	4.38036
140801	7867	600000	1799.21	26.9115	1597.38	4.3125
150419	8726	600000	1974.17	26.4948	1609.17	4.00082
161711	9620	600000	2072.23	26.2083	1626.48	4.00999
175928	10536	600000	1913.39	26.5938	1506.13	3.90546
185463	11673	600000	1899.33	26.6146	1447.31	3.83611
195381	12555	600000	2564.62	25.1042	1569.88	3.37685
211475	13661	600000	2933.43	24.5729	1790.87	3.60347
221125	14743	600000	2800.21	24.7188	1696.73	3.57513
235255	15641	600000	2675.83	24.9375	1617.12	3.55391
245475	16684	600000	2594.18	25.0208	1551.99	3.51048
255030	17682	600000	2494.08	25.2083	1486.18	3.47539
265737	18757	600000	2416.65	25.349	1429.11	3.4172
276472	19866	600000	2346.31	25.4688	1374.71	3.41776
287258	21079	600000	2270.51	25.5833	1331.93	3.42611
298035	22103	600000	2312.12	25.4688	1371.74	3.48731
308078	23224	600000	2445.77	25.3125	1480.61	3.59867
323250	24050	600000	2376.32	25.4115	1446.73	3.66817
333024	25344	600000	2314.39	25.5052	1392.42	3.63392
350720	26143	600000	2236.05	25.6198	1338.17	3.58193
361272	27328	600000	2190.42	25.7188	1296.76	3.55268
372710	28367	600000	2122.47	25.8802	1259.4	3.52847
388951	29319	600000	2062.19	26.0104	1221.5	3.53338
399154	30356	600000	2000.67	26.151	1188.57	3.46084
409709	31190	600000	1952.28	26.25	1157.47	3.40659
420658	32161	600000	1906.93	26.3385	1121.67	3.40951
432407	32915	600000	1853.38	26.4792	1094.85	3.4414
443246	33759	600000	1856.82	26.4219	1063.08	3.28345
452846	34744	600000	1968.4	26.2031	1051.07	3.14097
463596	35934	600000	1952.57	26.1927	1034.77	3.11792
474804	37042	600000	1911.44	26.2865	1013.11	3.14786
484414	37928	600000	1874.43	26.375	991.167	3.14072
495650	39066	600000	1898.07	26.3177	990.094	3.07837
506152	40408	600000	1886.1	26.3438	975.787	2.99165
516387	41126	600000	1853.93	26.4635	957.986	3.00644
527050	42592	600000	1820.1	26.4896	931.648	3.0403
537140	43957	600000	1802.7	26.5312	915.631	3.01331
547166	44795	600000	1785.44	26.6198	901.427	2.93061
558098	46032	600000	1752.49	26.6823	893.738	3.03253
569148	47145	600000	1718.07	26.7708	861.325	2.91923
582000	47936	600000	1683.92	26.8698	855.633	2.92548
591622	48986	600000	1660.09	26.9323	845.668	2.9675
607841	50023	600000	1625.56	27.0365	809.529	2.83871
617936	50921	600000	1599.9	27.1458	805.822	2.80742
628961	51997	600000	1575.1	27.1875	786.869	2.81927
639164	53210	600000	1548.51	27.224	771.956	2.7768
648561	54582	600000	1520.4	27.3125	768.165	2.7979
659379	55753	600000	1522.72	27.3073	753.866	2.73871
670650	57124	600000	1500.27	27.375	735.99	2.68757
682366	58628	600000	1472.59	27.4844	723.927	2.77169
693434	60013	600000	1461.41	27.5312	711.427	2.64559
703253	61251	600000	1439.08	27.5573	713.514	2.76235
715831	62079	600000	1417.23	27.6823	698.088	2.62969
725129	64218	600000	1473.09	27.4844	725.712	2.71332
735321	65293	600000	1449.09	27.5625	708.417	2.69593
746537	66219	600000	1428.38	27.651	697.967	2.60677
757303	67349	600000	1416.09	27.651	688.001	2.63729
768210	68744	600000	1401.69	27.7396	674.953	2.62725
778218	70159	600000	1382.65	27.7969	670.904	2.60469
789477	71127	600000	1364.54	27.8021	661.642	2.55584
799229	72494	600000	1352.51	27.8802	653.252	2.56274
809181	73658	600000	1352.31	27.9271	648.096	2.41288
823781	74644	600000	1333.08	27.9583	636.167	2.56048
835488	75858	600000	1310.78	28.0625	631.847	2.51945
851120	77212	600000	1296.43	28.0885	627.389	2.44794
861210	78889	600000	1277.73	28.125	622.673	2.47033
873696	79726	600000	1263.04	28.1875	609.896	2.44694
883206	80876	600000	1248.68	28.2552	599.104	2.41087
895243	81862	600000	1231.29	28.3073	583.467	2.3706
904847	82988	600000	1224.21	28.3594	591.719	2.41795
914728	84188	600000	1214.46	28.401	584.509	2.32479
927369	85458	600000	1201.84	28.4896	573.217	2.28073
939978	86557	600000	1182.56	28.4948	568.038	2.25433
952503	88391	600000	1181.26	28.4948	564.191	2.31563
962628	89467	600000	1170.18	28.5833	556.95	2.24843
975435	90259	600000	1152.67	28.6302	547.356	2.23986
985229	91756	600000	1146.33	28.6927	547.593	2.14926
1001179	92754	600000	1133.03	28.7188	546.134	2.11142
1011553	94020	600000	1123.79	28.724	534.636	2.16549
1021325	95986	600000	1108.82	28.7812	521.278	2.01443
1035416	96758	600000	1098.3	28.8333	513.283	2.00375
1046705	97667	600000	1085.83	28.8802	507.787	2.04123
1056800	98703	600000	1081.54	28.8854	520.327	2.05702
1069644	99666	600000	1071.42	28.9062	508.386	2.00198
1081480	100699	600000	1059.85	28.9688	502.781	1.9488
1093041	102989	600000	1049.21	29	488.003	1.88719
1103239	104448	600000	1043.86	29.0104	490.733	1.855
1113726	106335	600000	1032.07	29.0625	488.026	1.8938
