population	links	tests	detected	time	error	time_error
42256	1503	600000	459.167	29.9896	353.257	0.198997
56374	2008	600000	1685.42	27.3854	2324.36	5.06362
66207	2855	600000	1507.69	27.724	2065.44	4.70921
78094	3503	600000	1283.46	28.1823	1712.17	4.19759
89892	4487	600000	1285.9	28.224	1486.03	3.92859
100957	5445	600000	1414.67	27.9583	1374.43	3.89354
118504	6170	600000	1457.16	27.8385	1303.7	3.73707
131010	7074	600000	1324.95	28.1771	1171.44	3.52204
140801	7867	600000	1229.05	28.4427	1083.45	3.20495
150419	8726	600000	1322.86	28.1823	1075.25	3.38484
161711	9620	600000	1375.38	28.0208	1076	3.33511
175928	10536	600000	1283.17	28.2656	999.549	3.17384
185463	11673	600000	1279.47	28.3073	970.002	3.13393
195381	12555	600000	1632.49	27.2865	995.794	3.02468
211475	13661	600000	1834.52	26.8125	1166.65	3.29082
221125	14743	600000	1751.31	26.9844	1110.48	3.16595
235255	15641	600000	1696.29	27.0833	1060.79	3.11406
245475	16684	600000	1654.18	27.1771	1016.94	3.02049
255030	17682	600000	1592.64	27.3438	962.725	2.89651
265737	18757	600000	1561.66	27.4479	923.867	2.87629
276472	19866	600000	1522.09	27.5625	885.523	2.7181
287258	21079	600000	1480.44	27.6615	856.304	2.75373
298035	22103	600000	1502.12	27.6354	891.113	2.85184
308078	23224	600000	1576.49	27.4115	982.796	3.03541
323250	24050	600000	1534.17	27.5625	953.992	2.91007
333024	25344	600000	1502.15	27.6458	902.866	2.82872
350720	26143	600000	1458.79	27.7604	877.163	2.8815
361272	27328	600000	1437.92	27.7917	857.727	2.84898
372710	28367	600000	1398.68	27.9479	829.187	2.80586
388951	29319	600000	1358.89	28.0208	796.684	2.74982
399154	30356	600000	1323.57	28.1354	776.923	2.70049
409709	31190	600000	1288.14	28.2604	753.733	2.58115
420658	32161	600000	1255.12	28.3646	735.418	2.55584
432407	32915	600000	1231.3	28.4635	720.792	2.4975
443246	33759	600000	1230.39	28.4688	700.752	2.4246
452846	34744	600000	1294.65	28.2135	714.195	2.451
463596	35934	600000	1286.42	28.2812	696.361	2.47766
474804	37042	600000	1255.43	28.3802	682.933	2.43051
484414	37928	600000	1246.56	28.401	674.486	2.47486
495650	39066	600000	1255.28	28.3542	668.778	2.40847
506152	40408	600000	1251.89	28.3802	665.498	2.41398
516387	41126	600000	1229.76	28.4896	653.936	2.33278
527050	42592	600000	1212.81	28.5417	634.442	2.32284
537140	43957	600000	1207.21	28.5312	631.28	2.26238
547166	44795	600000	1200.77	28.5677	614.188	2.23259
558098	46032	600000	1176.5	28.6823	602.878	2.15275
569148	47145	600000	1158.44	28.7292	587.366	2.1634
582000	47936	600000	1138.21	28.8073	574.592	2.11643
591622	48986	600000	1126.58	28.8021	571.037	2.06188
607841	50023	600000	1097.31	28.9323	556.57	2.02091
617936	50921	600000	1083.96	28.9583	543.993	1.99875
628961	51997	600000	1071.45	29.0104	536.047	1.94966
639164	53210	600000	1049.23	29.0729	530.114	1.9134
648561	54582	600000	1038.62	29.1406	518.752	1.85081
659379	55753	600000	1035.79	29.1302	527.632	1.88584
670650	57124	600000	1021.71	29.1771	501.909	1.8333
682366	58628	600000	1009.26	29.224	499.421	1.77446
693434	60013	600000	998.005	29.2708	490.949	1.74344
703253	61251	600000	987.312	29.349	495.494	1.65938
715831	62079	600000	971.417	29.3906	476.65	1.64778
725129	64218	600000	1002.77	29.2812	480.182	1.72554
735321	65293	600000	995.812	29.3177	481.876	1.65938
746537	66219	600000	978.193	29.3594	471.508	1.61405
757303	67349	600000	971.536	29.3802	466.479	1.57033
768210	68744	600000	963.844	29.4375	455.997	1.54467
778218	70159	600000	949.385	29.4531	452.092	1.50748
789477	71127	600000	936.917	29.5052	442.845	1.45629
799229	72494	600000	935.182	29.5312	439.804	1.44122
809181	73658	600000	937.885	29.474	442.413	1.4961
823781	74644	600000	919.005	29.5573	419.407	1.32217
835488	75858	600000	912.13	29.5469	433.081	1.45342
851120	77212	600000	900.224	29.6094	415.996	1.30949
861210	78889	600000	885.474	29.599	413.623	1.31267
873696	79726	600000	882.026	29.651	402.719	1.19708
883206	80876	600000	874.677	29.6458	408.08	1.21612
895243	81862	600000	865.573	29.6719	393.642	1.1345
904847	82988	600000	859.906	29.7083	396.547	1.14625
914728	84188	600000	851.38	29.7188	390.467	1.08478
927369	85458	600000	840.729	29.7292	387.943	1.13087
939978	86557	600000	831.333	29.7708	383.245	1.03864
952503	88391	600000	825.042	29.8021	368.776	0.943374
962628	89467	600000	819.781	29.7917	378.35	0.976591
975435	90259	600000	813.443	29.8177	368.758	0.923445
985229	91756	600000	810.099	29.8281	367.898	0.909344
1001179	92754	600000	802.76	29.8438	349.714	0.840562
1011553	94020	600000	794.406	29.8333	363.035	0.856527
1021325	95986	600000	788.276	29.8594	351.797	0.790141
1035416	96758	600000	783.359	29.8698	356.582	0.796969
1046705	97667	600000	775.391	29.8854	345.148	0.741493
1056800	98703	600000	767.677	29.8854	343.551	0.714
1069644	99666	600000	758.552	29.901	343.667	0.680139
1081480	100699	600000	757.839	29.8854	340.941	0.714
1093041	102989	600000	750.562	29.9062	341.581	0.668159
1103239	104448	600000	745	29.9115	332.026	0.624546
1113726	106335	600000	740.25	29.9323	321.547	0.567917
