population	links	tests	detected	time	error	time_error
112547	800	2400000	33857.6	31.6094	921.715	9.05964
124981	940	2400000	34225.3	30.8594	912.258	9.64495
151523	1369	2400000	31626.2	31.5885	886.624	9.45438
176396	1918	2400000	32101.7	31.0885	883.259	7.94446
193894	2262	2400000	31308.5	31.375	845.903	8.09449
216346	2728	2400000	32147.1	31.3177	832.808	7.22499
235069	3102	2400000	31590.4	31.7083	774.453	6.99057
250788	3479	2400000	31067.2	31.8073	768.839	6.79134
262405	3769	2400000	30541.1	32.0938	803.463	6.65882
273271	4081	2400000	30643	31.9479	739.475	6.41528
287581	4505	2400000	30286.7	32.1615	723.823	6.37703
303231	4973	2400000	30368.8	32.2396	729.742	6.00517
314554	5334	2400000	30225.7	32.4167	739.351	5.96285
326654	5838	2400000	30455.4	31.5521	746.153	5.48764
338560	6229	2400000	30482.4	31.2917	707.288	5.48419
350728	6646	2400000	30970.8	31.2292	703.836	5.19999
361590	7115	2400000	31377.1	31.0156	708.402	4.75866
373624	7625	2400000	31452.9	30.8958	722.535	4.71681
384889	8117	2400000	31986.5	30.7604	728.34	4.47907
394722	8479	2400000	32203.1	30.5	705.349	4.37798
405277	8872	2400000	32415.4	30.3906	674.363	4.36297
416078	9299	2400000	32832.4	30.2604	679.053	4.17577
426390	9818	2400000	33075.9	29.9115	681.321	4.07097
437075	10289	2400000	33034.7	29.8802	684.984	3.98498
447255	10783	2400000	32702.9	30.0156	603.419	3.93952
457589	11346	2400000	32743.7	29.9948	649.935	3.92374
467499	11872	2400000	32808.2	30.0625	687.08	3.81677
478070	12383	2400000	32974.4	29.8333	662.421	3.81517
488195	12953	2400000	32917	29.875	680.948	3.88641
498224	13497	2400000	33223.8	29.9062	698.774	3.81967
508363	14032	2400000	33509.7	29.776	669.712	3.7399
518342	14579	2400000	33642.3	29.8021	683.327	3.70945
528710	15127	2400000	33757.6	29.8333	629.108	3.73794
538718	15663	2400000	33858.7	29.7604	695.843	3.70523
548788	16265	2400000	33949.6	29.6562	680.663	3.57454
558784	16813	2400000	34163.2	29.6094	676.549	3.63348
568646	17419	2400000	34236.5	29.599	683.954	3.58271
578417	17982	2400000	34432	29.5104	628.318	3.49994
588315	18662	2400000	34478.1	29.4583	669.456	3.49305
598147	19257	2400000	34562.5	29.4792	652.272	3.4518
608054	19953	2400000	34566.2	29.4844	719.245	3.5354
618019	20576	2400000	34694.4	29.5104	642.142	3.4399
627829	21194	2400000	34856.1	29.5	669.12	3.41565
637595	21918	2400000	34823.4	29.5052	697.44	3.31661
647391	22673	2400000	35074.3	29.5104	684.897	3.3291
657075	23349	2400000	35226.4	29.4844	693.736	3.4094
666912	23967	2400000	35285.7	29.401	667.296	3.2791
676657	24670	2400000	35403.6	29.25	656.15	3.37268
686337	25386	2400000	35568.6	29.2188	641.103	3.39366
696091	26027	2400000	35533	29.1979	677.869	3.39877
705921	26686	2400000	35698.4	29.1302	666.277	3.3221
715663	27440	2400000	35840.9	29.1458	680.111	3.3414
725528	28249	2400000	35903.3	29.1406	687.493	3.33917
735190	29017	2400000	35974.2	29.1562	654.181	3.32074
744887	29829	2400000	35965.4	29.125	620.674	3.29457
754511	30697	2400000	36186.6	29.1042	685.911	3.36624
764275	31529	2400000	36164.1	29.1198	642.495	3.23472
774008	32352	2400000	36254.7	29.0469	639.032	3.24865
783706	33174	2400000	36294.5	29.0625	607.134	3.29536
793280	34155	2400000	36334.2	29.0469	642.405	3.28056
802962	35001	2400000	36384.9	29.0417	656.595	3.29667
812512	35944	2400000	36423.7	29.0573	668.712	3.24798
822116	36881	2400000	36369.1	29.0521	661.185	3.29608
831727	37809	2400000	36429.9	29.0521	646.485	3.21286
841322	38787	2400000	36459.4	29.0156	675.335	3.26902
850922	39754	2400000	36389.3	29.0417	690.602	3.29667
860421	40872	2400000	36408.7	29.026	645.96	3.27513
869976	41882	2400000	36346.1	29.0677	601.651	3.25998
879466	43031	2400000	36321.3	29.125	654.801	3.21131
889057	44168	2400000	36352	29.0938	655.416	3.22849
898667	45245	2400000	36286	29.1406	656.975	3.32667
908141	46505	2400000	36339.6	29.0938	638.235	3.31761
917724	47636	2400000	36235	29.1615	616.407	3.24678
927189	48850	2400000	36255.4	29.1146	616.643	3.27706
936653	50276	2400000	36253.3	29.151	656.893	3.27433
946074	51633	2400000	36239.7	29.1875	712.299	3.2508
955481	52950	2400000	36193.2	29.1875	619.226	3.28269
964915	54334	2400000	36191.2	29.1615	628.819	3.31032
974290	55870	2400000	36187.3	29.1823	643.273	3.29336
983646	57398	2400000	36166	29.2344	630.5	3.21602
992950	58995	2400000	36111.6	29.1771	628.44	3.33535
1002254	60678	2400000	36118.9	29.1979	594.353	3.26751
1011490	62455	2400000	36054.3	29.2188	688.091	3.26858
1020687	64263	2400000	36002.2	29.2292	615.363	3.2401
1029875	66090	2400000	35968.4	29.3021	656.036	3.25474
1039007	68135	2400000	35865.1	29.3073	629.323	3.30047
1048166	70172	2400000	35812.1	29.3594	660.223	3.24102
1057199	72396	2400000	35738.8	29.375	596.402	3.20481
1066209	74733	2400000	35677.7	29.3802	622.309	3.26358
1075202	77147	2400000	35597.5	29.3646	611.361	3.31184
1084039	79922	2400000	35540.6	29.4792	632.571	3.26572
1092788	82930	2400000	35426.5	29.4479	630.474	3.3024
1101299	86554	2400000	35360	29.4844	628.533	3.27857
1109639	90675	2400000	35291.5	29.4948	605.681	3.21453
1117628	95913	2400000	35238.5	29.5521	607.961	3.26432
1123750	107917	2400000	35135.7	29.5781	635.09	3.21075
