population	links	tests	detected	time	error	time_error
11384	47	30000	3572.29	18.7917	435.969	1.2883
21859	73	30000	4094.67	18.5417	504.426	1.15169
37448	134	30000	3285.79	19.375	361.667	1.39194
44003	165	30000	3168.29	19.2917	362.892	1.22191
49402	177	30000	3098.46	19.5	316.813	1.1547
59251	315	30000	2891.12	19.7083	308.288	1.22191
63796	334	30000	2898.92	19.5	250.793	1.1547
68273	343	30000	2865.21	19.5	267.051	1
76331	414	30000	3250.54	18.1667	328.067	0.942809
80148	444	30000	3239.71	18.4167	354.772	1.40436
86872	519	30000	3671.71	16.4167	388.109	1.72401
89989	560	30000	3593.38	16.5833	354.696	1.72401
93069	576	30000	3569.62	16.6667	318.474	1.69967
98949	645	30000	3406.04	16.9583	329.798	1.86897
101802	697	30000	3357.29	17.0417	344.719	1.4696
104652	731	30000	3340.08	16.9583	339.34	1.4696
109936	777	30000	3231.08	17.4167	317.73	1.72401
112547	800	30000	3197.04	17.5417	267.468	1.52525
115148	826	30000	3435.46	16.5	358.495	1.91485
120161	880	30000	3352.71	16.625	339.806	1.61374
122621	906	30000	3315.67	16.75	308.841	1.44338
127275	996	30000	3256.46	16.9583	316.284	1.4696
129479	1033	30000	3254.33	16.875	286.127	1.56125
131622	1090	30000	3229	16.9583	298.284	1.57894
135888	1132	30000	3167.79	17.2083	264.849	1.52525
137990	1171	30000	3132.29	17.2917	280.774	1.22191
140063	1191	30000	3138.21	17.375	291.768	1.50693
144034	1239	30000	3074.71	17.4583	278.286	1.63087
145919	1264	30000	3067	17.4167	278.358	1.72401
147793	1315	30000	3038.67	17.4167	276.47	1.72401
151523	1369	30000	3023.29	17.6667	251.988	1.49071
153352	1407	30000	3014.46	17.5	282.675	1.63299
156946	1442	30000	3005.58	17.5417	269.001	1.63087
158693	1480	30000	2991.62	17.5833	269.749	1.28019
160418	1506	30000	3051.5	17.5833	266.845	1.40436
163737	1604	30000	3032.12	17.6667	263.631	1.49071
165381	1633	30000	3032.5	17.75	262.127	1.04083
167003	1682	30000	3043.29	17.7083	288.788	1.77756
170219	1783	30000	3025.67	17.9167	286.821	1.40436
171822	1825	30000	3084	17.4167	266.55	1.40436
173348	1875	30000	3096.5	17.5833	320.708	1.28019
176396	1918	30000	3054.46	17.625	262.652	1.39194
177892	1949	30000	3056.04	17.5833	262.671	1.28019
180864	2034	30000	3014.5	17.7083	273.36	1.35144
182347	2062	30000	3007.5	17.7083	253.72	1.22191
183804	2125	30000	3022.29	17.7083	243.844	1.35144
186715	2182	30000	3001.75	17.7917	299.63	1.52525
188170	2194	30000	3017.12	17.7083	235.986	1.22191
189620	2206	30000	2998.79	17.7083	265.185	1.22191
192485	2249	30000	3002.25	17.7083	266.797	1.22191
193894	2262	30000	2980.17	17.7917	269.646	1.2883
195275	2329	30000	3014	17.6667	240.868	1.24722
198061	2368	30000	3004.71	17.75	280.245	1.32288
199423	2409	30000	3005.42	17.7917	248.036	1.2883
202129	2457	30000	3034.88	17.7083	253.154	1.22191
203472	2474	30000	3013.08	17.75	261.631	1.32288
204790	2490	30000	3001.75	17.7917	258.469	1.15169
207400	2525	30000	2992.08	17.6667	276.644	1.10554
208684	2575	30000	3015.54	17.6667	259.743	1.24722
209967	2620	30000	3047.75	17.6667	264.003	1.24722
212547	2666	30000	3042.88	17.7917	264.47	1.15169
213825	2697	30000	3062.58	17.625	285.952	1.26656
215110	2713	30000	3050.75	17.7083	275.749	1.22191
217582	2735	30000	3047.58	17.625	311.706	1.39194
218803	2755	30000	3064.5	17.7917	264.059	1.2883
221194	2810	30000	3067	17.6667	272.197	1.24722
222379	2838	30000	3044.08	17.9167	259.693	1.14261
223565	2861	30000	3040.62	17.6667	271.353	1.24722
225908	2941	30000	3041.62	17.8333	271.97	1.24722
227068	2969	30000	3030.21	17.875	278.011	1.45057
228227	2999	30000	3027.29	17.75	268	1.04083
230542	3031	30000	3008.71	17.9583	224.826	1.22191
231685	3055	30000	3011.21	17.875	268.972	1.33073
232831	3069	30000	3011.46	17.8333	270.217	1.37437
235069	3102	30000	2996.58	17.9167	232.508	1.14261
236166	3120	30000	2994.42	18	277.127	1
238343	3152	30000	2979.04	18	262.589	1.1547
239430	3166	30000	2967.29	18.0833	299.38	1.28019
240498	3195	30000	2951.17	18.0417	269.593	1.22191
242604	3261	30000	2950.38	18.0417	245.058	1.35144
243660	3278	30000	2925.29	17.9583	256.108	1.0769
244710	3297	30000	2927.21	18.0833	238.689	0.986013
246763	3368	30000	2919.21	18	194.767	1
247777	3415	30000	2955.25	18	253.734	1.1547
248785	3435	30000	2956.38	17.9167	219.606	1.14261
250788	3479	30000	2963.08	17.9583	276.284	1.0769
251783	3511	30000	2961.5	18.0417	216.106	0.909059
253761	3569	30000	2919.21	17.9583	269.735	1.0769
254738	3602	30000	2922.92	18.0417	258.792	1.22191
255716	3614	30000	2913.75	18	245.468	1.29099
257638	3682	30000	2918.83	18.0417	275.95	1.0769
258610	3687	30000	2918.46	18.0417	252.75	1.0769
259565	3708	30000	2915.79	18.0833	275.173	0.799305
261472	3746	30000	2899.21	18.0833	259.742	1.28019
262405	3769	30000	2891.96	18.125	246.694	1.05079
263338	3786	30000	2884.17	18.125	265.591	1.05079
265193	3819	30000	2900.08	18.125	246.458	0.877971
266113	3836	30000	2886.42	18.2083	233.615	1.41176
267948	3869	30000	2871.04	18.25	242.466	1.04083
268838	3921	30000	2870.12	18.1667	227.29	0.942809
269738	3949	30000	2886.42	18.2083	248.396	1.15169
271518	4024	30000	2893.92	18.1667	249.442	1.10554
272387	4067	30000	2906.67	18.125	223.328	0.877971
273271	4081	30000	2909.92	18.1667	244.115	0.942809
275025	4121	30000	2875.75	18.2083	246.525	1.2883
275903	4132	30000	2904.29	18.0833	253.539	0.986013
276774	4157	30000	2873.58	18.125	227.951	0.877971
278488	4212	30000	2868.83	18.1667	264.599	0.942809
279336	4238	30000	2862.42	18.1667	243.55	0.942809
281025	4292	30000	2879.46	18.1667	232.34	1.10554
281841	4358	30000	2903.25	18.2083	253.241	0.812233
282683	4374	30000	2897.54	18.0833	241.135	1.14261
284327	4421	30000	2897.75	18.125	240.999	0.877971
285140	4450	30000	2876.67	18.2083	233.944	1.15169
285960	4458	30000	2865.83	18.25	221.859	1.19024
287581	4505	30000	2850.92	18.25	227.555	1.19024
288382	4537	30000	2860.38	18.25	236.157	1.32288
289968	4580	30000	2843.67	18.2917	232.636	1.0769
290757	4603	30000	2848.58	18.2917	201.134	0.909059
291526	4629	30000	2841.96	18.1667	240.217	0.942809
293057	4657	30000	2859.21	18.2083	242.418	0.996522
293801	4705	30000	2860.62	18.2083	257.067	1.15169
294554	4727	30000	2864.71	18.2083	264.07	0.996522
296045	4775	30000	2866.79	18.1667	261.44	0.942809
296779	4798	30000	2874.88	18.1667	258.586	0.942809
297506	4823	30000	2868.25	18.3333	254.599	1.37437
298965	4862	30000	2880.54	18.125	221.442	0.877971
299683	4890	30000	2871.38	18.2083	236.25	0.996522
301110	4944	30000	2886.25	18.2083	275.745	1.2883
301818	4955	30000	2873.25	18.1667	223.245	0.942809
302523	4967	30000	2879.75	18.1667	228.595	1.10554
303927	4996	30000	2862.12	18.3333	226.131	1.10554
304622	5018	30000	2862.96	18.2083	231.537	1.15169
305311	5039	30000	2882.21	18.25	223.634	1.04083
306678	5087	30000	2857.46	18.3333	250.186	1.10554
307358	5106	30000	2850.17	18.25	232.34	1.04083
308023	5132	30000	2857.67	18.25	254.987	1.19024
309356	5169	30000	2859.38	18.2917	219.758	1.0769
310007	5196	30000	2865	18.2083	284.177	0.996522
311320	5227	30000	2846	18.25	215.904	1.04083
311963	5262	30000	2837.25	18.4167	219.352	0.986013
312611	5289	30000	2840.67	18.2917	255.58	0.909059
313908	5322	30000	2840.42	18.25	214.41	1.04083
314554	5334	30000	2850.08	18.375	209.411	0.968246
315187	5356	30000	2846.08	18.25	254.248	1.04083
316430	5406	30000	2858.38	18.2917	230.286	0.909059
317049	5436	30000	2848.25	18.3333	227.891	1.10554
317668	5473	30000	2853.04	18.2917	229.026	1.22191
318905	5502	30000	2828.04	18.4583	235.942	0.996522
319515	5540	30000	2853.5	18.2917	214.52	1.0769
320728	5606	30000	2861.75	18.3333	234.673	1.10554
321334	5634	30000	2840.04	18.2917	221.917	1.0769
321943	5641	30000	2892.62	18.2083	254.887	1.2883
323126	5695	30000	2872.79	18.2917	232.088	0.909059
323726	5711	30000	2893.25	18.0833	244.037	0.986013
324318	5732	30000	2886.83	18.2083	205.413	0.996522
325484	5803	30000	2896.62	18.1667	223.399	0.942809
326073	5819	30000	2883.71	18.2083	225.899	1.15169
326654	5838	30000	2864.75	18.1667	280.491	1.10554
327806	5885	30000	2880.04	18.0833	261.351	0.986013
328385	5898	30000	2879	18.0833	265.61	0.986013
329528	5947	30000	2883.29	18.0833	229.607	0.799305
330100	5973	30000	2872	18.2083	225.477	0.996522
330665	6007	30000	2882.5	18.1667	229.833	0.942809
331814	6037	30000	2884.92	18.1667	241.057	1.37437
332385	6052	30000	2883.83	18.0833	238.5	1.14261
332958	6060	30000	2866.08	18.1667	231.132	1.10554
334082	6109	30000	2853.25	18.3333	220.416	1.24722
334647	6129	30000	2857.75	18.2083	214.95	0.996522
335208	6154	30000	2870.83	18.125	249.549	1.05079
336344	6163	30000	2884.42	18.125	262.553	1.19896
336900	6182	30000	2881.21	18.0833	264.175	1.14261
338016	6197	30000	2888.21	18.1667	279.691	1.24722
338560	6229	30000	2888.29	18.1667	209.69	0.942809
339109	6245	30000	2887.92	18.125	212.648	0.877971
340206	6275	30000	2877.75	18.125	243.009	0.877971
340756	6286	30000	2882.5	18.1667	215.789	0.942809
341291	6324	30000	2894.5	18	233.283	1
342373	6353	30000	2891.67	17.9583	232.316	1.0769
342908	6373	30000	2901.79	18	224.986	1
343444	6387	30000	2896.04	18	253.919	1.1547
344480	6466	30000	2919.79	18.0417	249.933	1.0769
345008	6480	30000	2923.54	17.9583	218.171	0.909059
346062	6510	30000	2944.29	17.9583	267.159	1.0769
346576	6542	30000	2944.88	17.9167	248.171	1.14261
347097	6557	30000	2923.96	17.9167	214.049	0.986013
348140	6580	30000	2944.71	17.9583	254.478	1.0769
348664	6584	30000	2926.33	17.9167	218.218	0.986013
349183	6597	30000	2922.04	18	227.669	1.1547
350209	6641	30000	2925.5	18	245.892	1
350728	6646	30000	2911.54	18	211.422	1
351239	6665	30000	2926.75	17.9583	237.088	1.0769
352252	6710	30000	2915.42	18	268.87	1.1547
352763	6713	30000	2942.46	17.875	234.194	1.05079
353766	6749	30000	2942.54	17.9583	222.798	1.0769
354262	6771	30000	2947.46	17.9583	240.385	0.909059
354761	6784	30000	2941.75	17.9583	214.095	0.909059
355745	6842	30000	2959.33	18.0417	229.03	1.0769
356239	6857	30000	2965.54	17.7917	241.433	1.15169
356729	6889	30000	2983.21	17.7917	253.597	0.996522
357717	6914	30000	2967.25	17.8333	242.161	1.10554
358207	6931	30000	2951.67	17.7917	224.997	1.2883
358700	6943	30000	2964.54	17.7917	264.268	0.996522
359659	7027	30000	2999.75	17.875	227.909	1.05079
360142	7051	30000	2971	17.875	225.449	1.05079
361110	7090	30000	2966.46	18	233.502	1.1547
361590	7115	30000	2970.17	17.9583	234.333	1.0769
362066	7158	30000	2977.29	17.9167	238.236	1.14261
363025	7189	30000	2966.42	17.8333	245.912	0.942809
363498	7212	30000	2983.29	17.8333	233.283	1.10554
363973	7230	30000	2984.71	17.875	239.656	1.05079
364907	7285	30000	2988	17.875	227.653	1.05079
365382	7295	30000	2980.12	17.7917	244.897	1.15169
365849	7312	30000	2992.75	17.8333	258.946	0.942809
366784	7341	30000	2976.12	17.7917	242.199	0.996522
367254	7349	30000	2994.12	17.8333	245.919	0.942809
368157	7433	30000	2989.33	17.7917	247.644	0.996522
368613	7458	30000	2999.46	17.9167	236.778	1.14261
369079	7461	30000	2976.67	17.75	260.161	1.04083
369998	7489	30000	2985.17	17.875	249.852	1.05079
370454	7511	30000	2989.62	17.8333	285.323	1.10554
370916	7516	30000	2974.04	17.875	208.629	1.05079
371820	7563	30000	2982	17.7083	210.563	1.0769
372271	7581	30000	2998.04	17.7083	227.314	1.0769
372719	7601	30000	2992.62	17.875	242.506	1.19896
373624	7625	30000	2967.75	17.9167	237.627	0.986013
374074	7647	30000	2972.46	17.75	237.295	1.04083
374958	7704	30000	2987.67	17.8333	242.217	0.942809
375400	7733	30000	2964.12	17.875	245.942	1.05079
375835	7763	30000	2980.38	17.9583	219.609	0.909059
376726	7779	30000	2982.79	17.8333	287.215	0.942809
377169	7790	30000	2985.08	17.9167	223.853	1.14261
377612	7800	30000	2977.92	17.8333	262.838	1.24722
378478	7854	30000	3005.62	17.75	250.538	1.04083
378918	7861	30000	2994.96	17.6667	242.163	1.10554
379794	7879	30000	2996.46	17.75	253.639	1.04083
380230	7889	30000	2986.79	17.75	266.723	1.19024
380661	7907	30000	2991.54	17.8333	193.257	0.942809
381506	7960	30000	2998.42	17.7083	266.536	1.22191
