population	links	tests	detected	time	error	time_error
21795	1883	600000	1422.62	27.6406	1545.41	4.40592
43579	2587	600000	941.589	29.0729	920.239	2.86059
64701	3367	600000	710.698	29.6927	648.28	1.5422
75644	4382	600000	837.677	29.4375	706.632	1.99666
88874	5372	600000	832.833	29.4688	704.996	1.89677
99337	6018	600000	752.333	29.6562	624.565	1.58344
109140	6584	600000	690.344	29.8125	564.004	1.1426
129642	7315	600000	607.891	29.901	485.34	0.814047
139256	8205	600000	566.536	29.9531	447.477	0.540078
161425	9390	600000	520.016	29.9688	404.552	0.443093
170988	10494	600000	526.802	29.9635	390.67	0.418293
184984	10850	600000	686.797	29.7865	561.682	1.18553
195032	12005	600000	672.625	29.8281	519.382	0.993465
204705	12910	600000	651.432	29.8802	494.447	0.874765
216881	13574	600000	675.365	29.875	468.701	0.836834
228163	14440	600000	982.396	29.1823	715.128	2.2393
244854	15366	600000	975.5	29.1927	717.99	2.19987
255921	16578	600000	943.172	29.276	696.953	2.09982
265484	17632	600000	964.589	29.224	677.234	2.14227
275632	18641	600000	1009.12	29.0938	682.546	2.21998
285216	19763	600000	977.562	29.2292	649.774	2.11665
301697	20355	600000	945.391	29.2969	624.542	1.97058
312560	21387	600000	911.495	29.4323	600.645	1.80659
324147	22244	600000	891.526	29.4844	580.192	1.70888
334129	23179	600000	898.323	29.4583	593.826	1.75346
344748	24458	600000	957.839	29.2656	689.436	2.11446
354380	25456	600000	936.729	29.3333	653.995	2.00375
367007	26282	600000	908.536	29.401	649.125	1.92975
378457	27280	600000	879.891	29.474	616.77	1.70839
387985	28343	600000	856.958	29.526	598.394	1.72007
403197	29003	600000	836.698	29.5417	588.22	1.67167
412623	30251	600000	847.255	29.5521	566.446	1.5845
423231	31174	600000	832.422	29.5833	556.305	1.54088
432813	32267	600000	829.943	29.5938	550.216	1.55153
442677	33204	600000	817.406	29.6146	544.761	1.52005
457540	34411	600000	795.833	29.7083	515.393	1.36898
468764	35452	600000	775.438	29.75	514.191	1.34192
478394	36361	600000	762.26	29.7812	497.078	1.25575
490666	37120	600000	751.771	29.8125	487.673	1.1426
501654	38098	600000	734.401	29.8333	476.295	1.02653
511718	39253	600000	723.927	29.8333	476.056	1.02653
522864	40527	600000	709.167	29.8542	457.873	0.893681
533111	41262	600000	698.25	29.8698	447.76	0.869028
544454	42452	600000	689.203	29.8802	443.522	0.827757
554220	43745	600000	678.432	29.8802	438.188	0.827757
568380	44508	600000	667.891	29.8854	425.463	0.818451
583978	45379	600000	652.943	29.9062	417.696	0.752653
593494	46562	600000	650.849	29.9062	411.346	0.725582
603656	47615	600000	641.146	29.9271	398.513	0.647887
617037	48583	600000	629.911	29.9219	397.476	0.660866
627939	49568	600000	618.823	29.9375	386.765	0.552383
639311	50546	600000	611.583	29.9583	374.842	0.39166
652384	51769	600000	604.5	29.9531	385.62	0.460055
670843	52465	600000	586.542	29.9635	355.974	0.367358
681059	53828	600000	579.922	29.9635	355.997	0.367358
691384	55199	600000	572.781	29.9635	351.496	0.367358
703195	56405	600000	570.005	29.9688	346.963	0.341026
714942	57811	600000	560.526	29.9635	344.498	0.367358
726796	59164	600000	548.839	29.9688	337.854	0.341026
739365	60227	600000	541.812	29.9844	330.604	0.243078
750625	61437	600000	537.938	29.9844	326.023	0.243078
761217	62618	600000	529.938	29.974	327.667	0.312148
775159	63583	600000	526.036	29.9948	322.511	0.141082
785137	64914	600000	515.958	29.9948	309.967	0.141082
795424	65979	600000	508.859	30	307.469	0
807925	66978	600000	505.208	30	301.74	0
817738	67993	600000	499.344	30	307.403	0
828820	69072	600000	495.557	30	300.196	0
839508	70319	600000	490.849	30	296.751	0
850569	71331	600000	479.052	30	287.817	0
860995	72482	600000	480.589	30	280.44	0
872232	73671	600000	477.964	30	285.133	0
882267	74968	600000	471.599	30	285.763	0
892242	76136	600000	467.021	30	277.647	0
901925	77469	600000	473.755	30	273.355	0
912740	78688	600000	472.276	30	275.01	0
924627	80148	600000	469.089	30	273.227	0
934739	80858	600000	463.401	30	272.351	0
945440	82234	600000	464.365	30	265.504	0
954931	83749	600000	472.839	30	266.298	0
966217	84729	600000	469.073	30	261.474	0
979550	86243	600000	464.354	30	260.98	0
991742	87494	600000	457.87	30	250.497	0
1002841	88524	600000	456.995	30	246.737	0
1012850	90256	600000	450.828	30	244.965	0
1023860	91644	600000	444.885	30	244.344	0
1035282	92846	600000	442.219	30	242.07	0
1046821	94204	600000	441.115	30	243.195	0
1057049	95881	600000	436.76	30	242.594	0
1066578	97612	600000	437.052	30	239.851	0
1076799	98950	600000	436.016	30	242.154	0
1087142	100361	600000	433.234	30	232.75	0
1097198	102271	600000	427.609	30	235.862	0
1106843	103864	600000	426.656	30	236.678	0
1116331	106231	600000	424.609	30	232.674	0
