population	links	tests	detected	time	error	time_error
21795	1883	1200000	54817.4	23.6667	7895.89	5.1831
43579	2587	1200000	37794.7	25.6406	5702.28	4.83878
64701	3367	1200000	29058.2	26.9948	4482.1	4.73595
75644	4382	1200000	33735.1	26.0365	4099.45	4.40715
88874	5372	1200000	33596.1	26.0625	3703.62	4.284
99337	6018	1200000	30371.2	26.5677	3315.53	4.27434
109140	6584	1200000	27855.5	27.026	3068.41	4.22195
129642	7315	1200000	24469.9	27.6667	2698.31	4.27796
139256	8205	1200000	22809.5	28.0781	2498.9	4.24783
161425	9390	1200000	21009	28.4427	2320.37	4.19461
170988	10494	1200000	20643.6	28.3177	2238.91	3.95966
184984	10850	1200000	23009.1	26.75	2251.05	4.30438
195032	12005	1200000	23420.9	26.9062	2372.27	4.20638
204705	12910	1200000	22953.7	27.0833	2408.18	4.18337
216881	13574	1200000	22387.1	26.7812	2284.29	3.79766
228163	14440	1200000	24764.4	24.9635	2282.29	3.70143
244854	15366	1200000	24026.2	25	2148.9	3.80079
255921	16578	1200000	24051.8	25.1094	2345.27	3.84971
265484	17632	1200000	24899	25.0052	2378.61	3.54191
275632	18641	1200000	26238.5	24.7812	2335.82	3.22189
285216	19763	1200000	25756.6	24.901	2357.06	3.28434
301697	20355	1200000	24970.1	25.0938	2296.63	3.24509
312560	21387	1200000	24492	25.1927	2251.58	3.23137
324147	22244	1200000	24251.7	25.3438	2243.59	3.12255
334129	23179	1200000	24314.5	25.3177	2344.02	3.29195
344748	24458	1200000	24558.3	25.0677	2259.82	3.52811
354380	25456	1200000	23943.2	25.1719	2234.41	3.44551
367007	26282	1200000	23300.8	25.2969	2172.12	3.48233
378457	27280	1200000	22662.7	25.3906	2104.38	3.4755
387985	28343	1200000	22149	25.5365	2063.93	3.52705
403197	29003	1200000	21672.6	25.6302	2036.37	3.55811
412623	30251	1200000	22201.9	25.5208	2076.25	3.40634
423231	31174	1200000	21827	25.6146	1989.42	3.29759
432813	32267	1200000	21895.1	25.6927	2024.21	3.415
442677	33204	1200000	21643.7	25.7604	2029.24	3.32629
457540	34411	1200000	21118.2	25.8802	1938.26	3.37189
468764	35452	1200000	20749.1	26.0104	1928.65	3.34129
478394	36361	1200000	20499.7	26.0885	1924.92	3.3518
490666	37120	1200000	20089.5	26.1875	1927.81	3.39261
501654	38098	1200000	19779.3	26.3021	1893.21	3.3368
511718	39253	1200000	19554	26.3438	1860.42	3.28493
522864	40527	1200000	19191.2	26.4844	1813.07	3.32922
533111	41262	1200000	18890.3	26.5469	1778.39	3.32207
544454	42452	1200000	18821.7	26.6042	1819.1	3.34709
554220	43745	1200000	18773.2	26.6719	1808.09	3.35429
568380	44508	1200000	18453.8	26.75	1811.65	3.32936
583978	45379	1200000	18237	26.9115	1735.33	3.33984
593494	46562	1200000	18283.4	26.9375	1809.39	3.26028
603656	47615	1200000	18011.1	26.9844	1793.99	3.25937
617037	48583	1200000	17758	27.1198	1755.5	3.20768
627939	49568	1200000	17553	27.2031	1760.82	3.25975
639311	50546	1200000	17355.7	27.25	1693.01	3.18186
652384	51769	1200000	17129.3	27.3177	1702.32	3.40547
670843	52465	1200000	16862.2	27.4531	1701.81	3.31
681059	53828	1200000	16644.9	27.4583	1664.13	3.27991
691384	55199	1200000	16496.7	27.5521	1631.97	3.36367
703195	56405	1200000	16318.8	27.6198	1602.24	3.21702
714942	57811	1200000	16127.8	27.6615	1621.46	3.36223
726796	59164	1200000	15883.6	27.7656	1574.06	3.32471
739365	60227	1200000	15693.2	27.8854	1566.75	3.35772
750625	61437	1200000	15542.1	27.974	1569.88	3.30786
761217	62618	1200000	15347.2	28.0417	1536.44	3.20587
775159	63583	1200000	15149.1	28.0938	1524.44	3.20789
785137	64914	1200000	14992.6	28.0885	1491.9	3.19283
795424	65979	1200000	14825.1	28.1771	1499.84	3.24407
807925	66978	1200000	14651.2	28.2656	1499.17	3.18642
817738	67993	1200000	14511.2	28.3385	1439.96	3.27175
828820	69072	1200000	14351.2	28.3333	1456.67	3.28296
839508	70319	1200000	14212.3	28.4635	1406.89	3.24334
850569	71331	1200000	14112.8	28.5104	1436.31	3.25638
860995	72482	1200000	14180.6	28.5052	1460.05	3.29309
872232	73671	1200000	14069.5	28.6146	1454.47	3.27323
882267	74968	1200000	13938.8	28.6719	1411.35	3.26971
892242	76136	1200000	13949	28.6875	1426.99	3.16689
901925	77469	1200000	14483.3	28.6667	1431.43	3.20899
912740	78688	1200000	14503.3	28.6979	1480.86	3.13268
924627	80148	1200000	14454.8	28.7396	1478.64	3.22861
934739	80858	1200000	14344.7	28.7969	1470.41	3.20403
945440	82234	1200000	14233.4	28.8594	1433.71	3.13499
954931	83749	1200000	14471.6	28.6562	1499.66	3.01828
966217	84729	1200000	14354.3	28.6979	1399.01	3.01552
979550	86243	1200000	14204.2	28.7812	1436.63	2.99666
991742	87494	1200000	14070.2	28.8438	1411.37	2.95125
1002841	88524	1200000	13971.5	28.901	1426.56	3.02427
1012850	90256	1200000	13834.9	28.9531	1424.79	3.1202
1023860	91644	1200000	13757.4	29.0521	1385.11	3.02546
1035282	92846	1200000	13630.6	29.0781	1397.1	3.07904
1046821	94204	1200000	13517.2	29.1146	1365.45	3.07791
1057049	95881	1200000	13495.9	29.1667	1362.01	3.08177
1066578	97612	1200000	13701.3	29.1771	1393.04	2.95351
1076799	98950	1200000	13694.8	29.1719	1396.34	3.09686
1087142	100361	1200000	13615.1	29.2292	1381.81	3.01365
1097198	102271	1200000	13525.5	29.2865	1393.37	3.03788
1106843	103864	1200000	13416.8	29.3594	1363.51	3.04104
1116331	106231	1200000	13343.8	29.3906	1370.62	2.99296
