population	links	tests	detected	time	error	time_error
76877	28	1200000	109688	20.1146	2184.37	3.17392
95665	42	1200000	109689	20.0417	2274.26	3.19962
113116	56	1200000	109674	20.1146	2267.94	3.3338
124272	70	1200000	109616	20.1562	2327.05	3.2666
129247	84	1200000	109635	20.1354	2359.34	3.17077
130344	99	1200000	109071	20.2083	2227.32	3.23693
132850	113	1200000	107168	20.2083	2127.31	3.28601
133762	127	1200000	106453	20.2604	2103.51	3.2533
134041	141	1200000	106253	20.3021	2222.25	3.32478
134193	155	1200000	106106	20.2917	2108.23	3.31027
134409	169	1200000	105977	20.3125	2164.62	3.26641
139996	184	1200000	101928	20.4583	2118.74	3.32234
147378	198	1200000	96996.9	20.6771	1966.42	3.32929
150259	212	1200000	95200.4	20.7396	2035.95	3.49065
151336	226	1200000	94543.8	20.7812	1965.77	3.51303
151748	240	1200000	94335.1	20.7708	2011.63	3.44721
151943	254	1200000	94213.6	20.7604	1930.7	3.46187
172269	269	1200000	83523.7	21.3021	1726.44	3.20216
183735	283	1200000	78515.4	21.5312	1730.87	3.39427
186474	297	1200000	77437.3	21.6146	1726.39	3.39918
187659	311	1200000	76964.1	21.6771	1646.67	3.37703
188334	325	1200000	76669.7	21.6146	1740.06	3.33979
189855	339	1200000	76090.7	21.6875	1704.02	3.51428
205383	354	1200000	70629.9	22	1575.49	3.29917
214520	368	1200000	67744.1	22.1771	1556.98	3.39476
220892	382	1200000	65878.1	22.3438	1535.25	3.26047
224057	396	1200000	64987.1	22.4375	1482.73	3.30901
226284	410	1200000	64374.9	22.4479	1443.56	3.3338
227674	424	1200000	63985.4	22.4792	1412.42	3.37091
228058	439	1200000	63895	22.4479	1455.07	3.32177
230688	453	1200000	63148	22.5417	1403.56	3.34634
232710	467	1200000	62703	22.5521	1427.25	3.49781
234092	481	1200000	62312.2	22.5625	1433.22	3.49716
234653	495	1200000	62183.2	22.5833	1456.28	3.51831
237639	509	1200000	61439.1	22.6042	1412.14	3.41221
253283	524	1200000	57864.3	22.8854	1273.69	3.29759
258660	538	1200000	56694.4	22.9688	1260.4	3.36466
266784	552	1200000	55049.3	23.1042	1244.36	3.34111
269874	566	1200000	54499.5	23.1042	1271.68	3.30498
271119	580	1200000	54211.5	23.1771	1272.37	3.3711
271302	594	1200000	54170.4	23.1771	1193.66	3.3711
279132	609	1200000	52755.1	23.2812	1290.82	3.24664
284851	623	1200000	51699.7	23.3333	1151.3	3.40267
291416	637	1200000	50645.2	23.5104	1227.56	3.3353
296625	651	1200000	49781.8	23.5729	1211.82	3.40359
301793	665	1200000	48957.3	23.6354	1106.26	3.4314
303077	679	1200000	48766.3	23.625	1159.81	3.36225
303937	694	1200000	48690.8	23.6354	1108.78	3.45464
304306	708	1200000	48602.2	23.625	1173.36	3.43292
307314	722	1200000	48127	23.6979	1184	3.50067
309828	736	1200000	47753.2	23.7292	1108.46	3.47035
310595	750	1200000	47677.1	23.7188	1148.54	3.50733
310962	764	1200000	47639.8	23.7396	1211.07	3.46765
312426	779	1200000	47397.1	23.75	1104.02	3.43
315510	793	1200000	46987.9	23.75	1125.76	3.45325
316542	807	1200000	46861.7	23.8021	1138.06	3.44885
316771	821	1200000	46812.9	23.7917	1097.13	3.45229
318915	835	1200000	46531.5	23.8958	1091.35	3.35306
319793	849	1200000	46392.3	23.8646	1108.58	3.46043
320321	864	1200000	46311.2	23.8333	1098.2	3.40267
320446	878	1200000	46305.6	23.8229	1074.64	3.40653
326998	892	1200000	45464.5	23.9062	1097	3.3602
340423	906	1200000	43723.3	24.0625	1056.68	3.33311
349490	920	1200000	42653.9	24.25	1048.42	3.40659
355854	934	1200000	41934.9	24.2812	1041.03	3.46139
362131	949	1200000	41264.1	24.375	1071.49	3.37413
371697	963	1200000	40263.8	24.5	1042.07	3.34734
375118	977	1200000	39924.2	24.4792	1027.59	3.41807
375631	991	1200000	39844.5	24.5625	980.342	3.35704
375798	1005	1200000	39866	24.5521	1011.66	3.40506
381959	1019	1200000	39254.9	24.6042	1004.27	3.43559
391914	1034	1200000	38283.6	24.7396	949.568	3.3383
396292	1048	1200000	37858.2	24.7708	970.364	3.38867
399014	1062	1200000	37631.6	24.8125	897.483	3.27864
403466	1076	1200000	37231.9	24.7708	951.37	3.37685
404642	1090	1200000	37121.6	24.8021	986.843	3.39033
405122	1104	1200000	37096	24.8438	920.129	3.41044
405621	1119	1200000	37067.1	24.7604	956.545	3.40359
406348	1133	1200000	36982.9	24.8333	954.117	3.42611
407576	1147	1200000	36890.6	24.8646	933.41	3.29456
414006	1161	1200000	36331.1	24.9167	963.485	3.31933
420856	1175	1200000	35770.8	25.0104	908.295	3.38886
423290	1189	1200000	35591.3	24.9479	973.608	3.33979
427712	1204	1200000	35279.9	25.0625	950.088	3.2969
427907	1218	1200000	35244.2	25.0625	882.664	3.42781
438278	1232	1200000	34507.1	25.1562	894.574	3.36318
451215	1246	1200000	33521.3	25.2917	847.027	3.35828
458879	1260	1200000	33010.3	25.3333	849.353	3.31933
463621	1274	1200000	32672.1	25.4375	867.137	3.34509
467067	1289	1200000	32437	25.4271	869.774	3.28391
468332	1303	1200000	32410.3	25.5	795.76	3.35927
468534	1317	1200000	32374.7	25.4792	832.456	3.20041
476741	1331	1200000	31835.5	25.5625	800.191	3.45108
482808	1345	1200000	31435	25.625	750.179	3.44455
488715	1359	1200000	31142.3	25.6042	885.82	3.42392
493596	1374	1200000	30843.9	25.6562	849.552	3.42799
494613	1388	1200000	30748.4	25.6562	805.828	3.49733
495512	1402	1200000	30725.7	25.6667	820.006	3.42611
495890	1416	1200000	30692.4	25.6979	822.095	3.4314
497510	1430	1200000	30602.6	25.6979	772.507	3.38443
499435	1444	1200000	30467.8	25.7188	815.106	3.4031
500233	1459	1200000	30459.2	25.7604	820.19	3.48492
501550	1473	1200000	30360.2	25.7188	809.496	3.34379
505923	1487	1200000	30120	25.7917	819.762	3.35828
510331	1501	1200000	29889	25.7604	776.175	3.39181
512639	1515	1200000	29758.8	25.7708	780.773	3.42392
513146	1529	1200000	29728.6	25.8125	790.27	3.31505
513347	1544	1200000	29741.4	25.8646	855.602	3.40212
517208	1558	1200000	29510.9	25.8229	752.547	3.42994
518495	1572	1200000	29461.2	25.875	777.438	3.40952
519593	1586	1200000	29352.5	25.875	788.691	3.35032
519758	1600	1200000	29372.4	25.8438	806.318	3.30315
524499	1614	1200000	29112.2	25.9167	775.698	3.25849
532586	1629	1200000	28734.9	25.8646	762.764	3.39033
541765	1643	1200000	28273.3	26.0208	802.138	3.26233
549531	1657	1200000	27899.9	26.0729	782.138	3.31424
553528	1671	1200000	27705	26.1667	785.994	3.3553
556285	1685	1200000	27559.3	26.1667	722.075	3.28296
557476	1699	1200000	27520.6	26.1146	778.315	3.35772
557903	1714	1200000	27480	26.1667	724.52	3.41441
558678	1728	1200000	27489.7	26.2292	731.131	3.47035
562692	1742	1200000	27268.7	26.2812	730.967	3.20945
566516	1756	1200000	27160.3	26.2604	726.701	3.31424
567956	1770	1200000	27035.8	26.3229	777.764	3.30517
568938	1784	1200000	27014	26.2812	663.815	3.30769
569011	1799	1200000	27020.3	26.2917	747.781	3.40561
572798	1813	1200000	26847.8	26.2604	777.194	3.36219
577824	1827	1200000	26634.4	26.3646	748.766	3.31273
580959	1841	1200000	26497.3	26.3646	695.934	3.32478
583421	1855	1200000	26431.6	26.3958	713.847	3.36497
585799	1869	1200000	26295.8	26.375	717.576	3.3022
586024	1883	1200000	26282.5	26.4375	707.967	3.35704
587890	1898	1200000	26213.4	26.4688	749.14	3.34678
596055	1912	1200000	25885.8	26.5104	722.835	3.32328
601670	1926	1200000	25649.6	26.5208	704.506	3.40634
606093	1940	1200000	25459	26.5521	686.449	3.46332
608786	1954	1200000	25366.7	26.5417	707.106	3.39384
609396	1968	1200000	25341.3	26.5521	673.151	3.3097
609934	1983	1200000	25342.4	26.5104	756.896	3.3711
612669	1997	1200000	25218.3	26.5625	706.935	3.42781
621612	2011	1200000	24902.3	26.625	704.315	3.36225
626145	2025	1200000	24714.1	26.6875	729.257	3.45687
628870	2039	1200000	24646.7	26.6875	724.998	3.38671
635512	2053	1200000	24374.9	26.7188	647.138	3.42653
637972	2068	1200000	24275.8	26.75	705.524	3.39482
638390	2082	1200000	24283.7	26.7604	691.47	3.40359
639173	2096	1200000	24249.4	26.75	745.667	3.43
640787	2110	1200000	24179.6	26.7708	728.15	3.49334
640976	2124	1200000	24203	26.7812	683.963	3.38541
650029	2138	1200000	23882.7	26.7812	649.297	3.47869
652997	2153	1200000	23766.1	26.7917	710.651	3.44068
658475	2167	1200000	23572.4	26.8854	650.891	3.45175
661942	2181	1200000	23484.4	26.8854	654.058	3.36962
664673	2195	1200000	23351.5	26.9479	653.445	3.38738
665136	2209	1200000	23380.2	26.9167	700.16	3.39089
667019	2223	1200000	23302.9	26.9271	696.586	3.32629
673577	2238	1200000	23104.8	26.9688	651.18	3.25587
678024	2252	1200000	22921.9	27	684.249	3.27482
681446	2266	1200000	22851	27.0625	674.504	3.2969
682361	2280	1200000	22832.8	27.0208	683.249	3.31103
684540	2294	1200000	22762.4	27.0312	641.051	3.37654
685011	2308	1200000	22723.7	27.0417	644.606	3.29816
685714	2323	1200000	22690.3	27.1042	660.677	3.38867
685957	2337	1200000	22697	27.0625	657.009	3.36894
686318	2351	1200000	22701.6	27.0208	668.706	3.32309
696253	2365	1200000	22374.8	27.0625	611.449	3.33311
710224	2379	1200000	21971.6	27.2812	617.788	3.36764
718160	2393	1200000	21767.1	27.2708	656.439	3.41221
724059	2408	1200000	21595.6	27.3125	670.544	3.36299
730860	2422	1200000	21384.4	27.3333	624.764	3.41441
734794	2436	1200000	21313.6	27.3854	632.625	3.36367
738321	2450	1200000	21185.2	27.375	640.024	3.36225
741745	2464	1200000	21093.8	27.4167	633.702	3.33136
743064	2478	1200000	21059.9	27.4583	632.281	3.31027
743858	2493	1200000	21053.1	27.4167	602.511	3.33136
751611	2507	1200000	20834.5	27.5104	608.974	3.39476
755015	2521	1200000	20762.8	27.4896	601.982	3.42994
760626	2535	1200000	20612.9	27.5208	577.157	3.42976
761943	2549	1200000	20563.3	27.4896	648.299	3.42994
766012	2563	1200000	20478.6	27.5833	604.851	3.34335
766258	2578	1200000	20489.9	27.5208	599.263	3.34709
766901	2592	1200000	20466.7	27.5312	593.894	3.40604
767264	2606	1200000	20440.9	27.5625	584.355	3.42781
769075	2620	1200000	20398.1	27.5417	588.801	3.38203
775469	2634	1200000	20237.7	27.6042	593.152	3.37685
783599	2648	1200000	20045.1	27.625	629.258	3.43292
797413	2663	1200000	19742	27.7188	597.377	3.4031
807049	2677	1200000	19522.3	27.7292	598.725	3.4588
812022	2691	1200000	19383	27.8333	594.186	3.3672
820033	2705	1200000	19219.3	27.7708	606.997	3.44721
823565	2719	1200000	19113.1	27.8229	541.895	3.35921
829463	2733	1200000	19034.2	27.8542	528.466	3.31103
834253	2748	1200000	18932.3	27.9062	583.436	3.44256
841366	2762	1200000	18735.6	27.9271	602.445	3.43285
844802	2776	1200000	18681.6	27.9479	538.794	3.32779
847677	2790	1200000	18636.8	27.9896	594.326	3.37703
849953	2804	1200000	18548.2	27.9375	582.305	3.32108
850250	2818	1200000	18590.3	27.9271	555.086	3.32629
855616	2833	1200000	18491.1	27.9479	581.166	3.36367
861126	2847	1200000	18377.2	28.0208	598.205	3.31103
868884	2861	1200000	18198.7	28.0417	572.257	3.42903
871596	2875	1200000	18155.3	28.0729	521.793	3.2533
876197	2889	1200000	18048.6	28.0938	544.738	3.3602
879660	2903	1200000	18005	28.0833	543.309	3.30725
881321	2918	1200000	17950	28.125	550.996	3.33836
882983	2932	1200000	17933.1	28.1354	575.583	3.34279
883121	2946	1200000	17944.4	28.1042	532.03	3.36497
884876	2960	1200000	17908.9	28.125	534.644	3.33836
885681	2974	1200000	17895.4	28.1354	545.774	3.35474
888986	2988	1200000	17832.4	28.1667	562.952	3.29513
891714	3003	1200000	17768.6	28.1667	570.351	3.39089
897563	3017	1200000	17674.8	28.2396	513.113	3.40359
899862	3031	1200000	17602.6	28.2708	530.413	3.36497
901219	3045	1200000	17585.5	28.2708	573.715	3.32911
902864	3059	1200000	17539.8	28.2708	536.675	3.34111
903977	3073	1200000	17548.8	28.3125	516.911	3.26641
909243	3088	1200000	17458	28.3438	535.332	3.32127
912283	3102	1200000	17366.7	28.3438	542.419	3.26047
913481	3116	1200000	17389.8	28.3125	529.441	3.3985
915630	3130	1200000	17334.1	28.3333	563.387	3.39089
915943	3144	1200000	17333.8	28.3125	550.402	3.37487
922666	3158	1200000	17208.5	28.3333	543.323	3.41441
931374	3173	1200000	17038.1	28.3958	516.979	3.34111
936066	3187	1200000	16979.4	28.4479	527.67	3.28543
939624	3201	1200000	16909.3	28.4271	562.515	3.42702
940196	3215	1200000	16905.8	28.5	521.73	3.45325
941064	3229	1200000	16876.1	28.5104	486.19	3.41825
945910	3243	1200000	16793.4	28.4375	509.903	3.45108
946932	3258	1200000	16809.2	28.5	547.406	3.4993
947252	3272	1200000	16822.9	28.4583	502.288	3.33436
952275	3286	1200000	16700.7	28.4688	539.978	3.32278
959076	3300	1200000	16593.4	28.5208	484.849	3.41807
964336	3314	1200000	16513.6	28.5417	509.737	3.41734
970049	3328	1200000	16421.7	28.5625	501.103	3.36894
974721	3343	1200000	16351.8	28.5833	516.059	3.54098
976895	3357	1200000	16332.7	28.5938	491.848	3.41337
980873	3371	1200000	16255.2	28.6042	486.471	3.42392
982861	3385	1200000	16215.1	28.625	543.868	3.39777
984004	3399	1200000	16217.4	28.6042	509.339	3.40046
989352	3413	1200000	16114.6	28.5729	500.541	3.36813
994870	3428	1200000	16036.8	28.6562	492.696	3.34528
998038	3442	1200000	16003.3	28.6562	491.102	3.42799
1004797	3456	1200000	15882.7	28.6771	494.562	3.31725
1005158	3470	1200000	15903.3	28.6979	464.293	3.48922
1006617	3484	1200000	15862.8	28.6979	500.605	3.47773
1017813	3498	1200000	15699.7	28.8021	499.854	3.36665
1028302	3513	1200000	15554.9	28.8229	491.763	3.39476
1032168	3527	1200000	15498.7	28.8229	461.681	3.39476
1036367	3541	1200000	15458.4	28.7917	518.81	3.44068
1038600	3555	1200000	15410.5	28.8333	536.087	3.31933
1043133	3569	1200000	15362.3	28.8229	518.042	3.46476
