population	links	tests	detected	time	error	time_error
20876	177	200000	105	10	156.746	0
23878	213	200000	95.3333	10	132.371	0
26941	249	200000	87.625	10	118.147	0
27055	284	200000	87.6667	10	121.637	0
27170	320	200000	86.2917	10	116.993	0
27272	355	200000	86.7917	10	117.877	0
27361	391	200000	86.7917	10	116.048	0
27953	426	200000	84.5833	10	114.159	0
29046	462	200000	82.1667	10	103.805	0
29766	498	200000	82.9167	10	109.443	0
30757	533	200000	81.2083	10	108.02	0
45890	569	200000	62.875	10	73.3699	0
49502	604	200000	65.0417	10	69.7649	0
50258	640	200000	68.2917	10	64.9331	0
59243	675	200000	68.25	10	62.7768	0
60589	711	200000	67.3333	10	62.0572	0
61567	747	200000	71.4167	10	63.1395	0
62327	782	200000	69.125	10	65.9332	0
62899	818	200000	68.5	10	63.9933	0
63895	853	200000	68.7083	10	62.5167	0
64993	889	200000	67.375	10	64.0903	0
66147	924	200000	67.0417	10	56.9932	0
68548	960	200000	66.5417	10	54.7105	0
74201	996	200000	65	10	53.3958	0
80954	1031	200000	61.2083	10	48.1464	0
86394	1067	200000	60.7917	10	40.525	0
89994	1102	200000	55.625	10	43.808	0
91647	1138	200000	58.4583	10	48.7215	0
94555	1173	200000	55	10	44.4939	0
96660	1209	200000	57.2917	10	45.9921	0
97798	1245	200000	56.7917	10	54.2374	0
99741	1280	200000	56.1667	10	44.876	0
100646	1316	200000	53.375	10	42.4948	0
102215	1351	200000	54.4583	10	42.003	0
103043	1387	200000	55.1667	10	37.5255	0
117402	1422	200000	54.2083	10	41.5739	0
125510	1458	200000	54.5	10	42.5407	0
133042	1494	200000	52.2083	10	44.5154	0
136452	1529	200000	55.6667	10	42.5282	0
141397	1565	200000	58.0417	10	47.5829	0
145615	1600	200000	53.125	10	45.7473	0
148753	1636	200000	50.7917	10	43.1051	0
152977	1671	200000	52	10	38.7524	0
155414	1707	200000	50.625	10	37.6028	0
158059	1743	200000	49.3333	10	35.9215	0
161105	1778	200000	51.9583	10	40.8378	0
165376	1814	200000	52.1667	10	39.991	0
169803	1849	200000	50.7083	10	36.8793	0
172680	1885	200000	49.2083	10	34.8324	0
178321	1920	200000	51.0833	10	36.3698	0
183619	1956	200000	47.5833	10	34.9926	0
187768	1992	200000	47.4167	10	32.4532	0
189906	2027	200000	49.0833	10	34.0279	0
190803	2063	200000	48.2083	10	33.0401	0
192218	2098	200000	44.2083	10	26.3811	0
194864	2134	200000	47.4583	10	32.8311	0
198534	2169	200000	45	10	33.5784	0
205707	2205	200000	47.875	10	33.7131	0
210041	2241	200000	46.5	10	28.2052	0
213809	2276	200000	45.5	10	32.1613	0
217390	2312	200000	44.5417	10	25.5238	0
220011	2347	200000	43	10	25.3919	0
224009	2383	200000	42.1667	10	24.2483	0
227513	2419	200000	45.3333	10	26.6689	0
231873	2454	200000	45.0833	10	29.2795	0
235928	2490	200000	43.7083	10	24.2536	0
242890	2525	200000	44.625	10	27.6423	0
246907	2561	200000	44.9167	10	28.2444	0
255202	2596	200000	40.5833	10	25.7295	0
262060	2632	200000	42.4167	10	28.0168	0
264726	2668	200000	41.5417	10	22.1603	0
265989	2703	200000	39.7917	10	20.2979	0
267646	2739	200000	42.5833	10	26.6464	0
269899	2774	200000	40.6667	10	22.7215	0
271267	2810	200000	40.5417	10	23.1771	0
274266	2845	200000	44.4167	10	25.6672	0
276593	2881	200000	42.0833	10	25.4606	0
278542	2917	200000	39.4167	10	22.0149	0
280218	2952	200000	39.9583	10	16.5393	0
282242	2988	200000	42.25	10	22.922	0
283488	3023	200000	40.75	10	19.3307	0
285035	3059	200000	42.3333	10	19.0254	0
285917	3094	200000	40.4583	10	23.0871	0
287322	3130	200000	41.9583	10	21.9243	0
290207	3166	200000	43.9583	10	25.1924	0
291308	3201	200000	44.1667	10	17.8265	0
