population	links	tests	detected	time	error	time_error
20876	177	2400000	117861	17.151	1412.96	9.75972
23878	213	2400000	108557	17.4479	1308.7	9.65963
26941	249	2400000	98859.4	17.776	1212.03	9.65123
27055	284	2400000	98585.5	17.7917	1225.99	9.63909
27170	320	2400000	98250.4	17.7865	1254.07	9.64176
27272	355	2400000	97980.8	17.8073	1219.13	9.62892
27361	391	2400000	97728.5	17.8125	1198.89	9.6511
27953	426	2400000	97517.1	17.8281	1207.96	9.4225
29046	462	2400000	95392.4	17.9531	1194.37	9.42171
29766	498	2400000	93618.7	18.0365	1170.93	9.39424
30757	533	2400000	92563.9	18.0208	1184.21	9.03949
45890	569	2400000	72348.7	19.1094	993.257	8.53958
49502	604	2400000	74918.6	18.776	959.998	7.23389
50258	640	2400000	74972.2	18.7812	913.023	7.07086
59243	675	2400000	80510.4	18.526	922.737	5.86956
60589	711	2400000	79889.4	18.5885	931.257	5.82272
61567	747	2400000	79366.5	18.6146	959.891	5.79341
62327	782	2400000	78721.3	18.6354	937.408	5.78477
62899	818	2400000	78190.4	18.6823	919.108	5.88616
63895	853	2400000	77748.4	18.7083	926.19	5.79373
64993	889	2400000	77098.1	18.7344	904.064	5.80371
66147	924	2400000	76431.3	18.7448	932.39	5.83987
68548	960	2400000	77055.4	18.8073	861.904	5.69657
74201	996	2400000	75709.5	18.9479	890.511	5.46645
80954	1031	2400000	72101.5	19.2552	794.786	5.41314
86394	1067	2400000	69698.1	19.401	799.229	5.39764
89994	1102	2400000	68066.2	19.5208	786.629	5.47456
91647	1138	2400000	67747.3	19.5625	792.078	5.39603
94555	1173	2400000	67043.3	19.625	816.896	5.38071
96660	1209	2400000	66274.5	19.6823	712.435	5.36324
97798	1245	2400000	65965.8	19.6979	709.769	5.35738
99741	1280	2400000	65194.4	19.776	707.184	5.38512
100646	1316	2400000	64750.1	19.8385	713.492	5.37884
102215	1351	2400000	64140.3	19.8802	734.05	5.42745
103043	1387	2400000	63802.5	19.8698	799.203	5.31099
117402	1422	2400000	60618.5	20.1667	693.181	5.22156
125510	1458	2400000	60721.1	20.2031	697.71	5.07861
133042	1494	2400000	60411.5	20.2292	685.235	5.1195
136452	1529	2400000	61271.7	20.1458	668.655	4.9405
141397	1565	2400000	61009	20.1823	672.658	4.97018
145615	1600	2400000	60143.3	20.276	664.199	4.97772
148753	1636	2400000	59502.7	20.3542	664.484	4.92427
152977	1671	2400000	58522.6	20.4219	713.002	4.98667
155414	1707	2400000	57826.1	20.4844	669.493	4.88354
158059	1743	2400000	57229.2	20.5729	659.975	4.91423
161105	1778	2400000	56608.8	20.6458	656.093	4.9202
