population	links	tests	detected	time	error	time_error
23878	213	600000	9303.75	22.625	18997.6	11.8998
27970	427	600000	7972.75	23.0833	16261.8	11.3125
50258	640	600000	4751.04	24.4167	9170.72	9.69393
63932	854	600000	4128.42	24.5833	7366.69	8.99846
86394	1067	600000	3191.88	25.375	5457.74	8.18153
99743	1281	600000	2811.46	25.625	4788.52	7.87004
133177	1495	600000	2314	26.25	3682.83	6.91014
155459	1708	600000	2082.5	26.5	3227.59	6.65833
178373	1922	600000	1825.58	26.875	2827.33	5.98087
194929	2135	600000	1674.46	27.0833	2576.54	5.7999
220369	2349	600000	1503.96	27.4167	2295.79	5.19348
247021	2562	600000	1394.54	27.6667	2055.08	4.78423
270029	2776	600000	1310.75	27.8333	1872.3	4.57044
282290	2990	600000	1282.96	28	1775.95	4.24264
291342	3203	600000	1293.96	27.7917	1776.54	4.5453
296499	3417	600000	1271.33	27.9167	1704.31	4.2785
315036	3630	600000	1238.33	27.9583	1620.65	4.48996
351989	3844	600000	1135.75	28.3333	1441.45	3.81517
369559	4058	600000	1116.75	28.375	1407.32	3.7333
392362	4271	600000	1058.25	28.5417	1313.07	3.5109
410317	4485	600000	1025.25	28.5833	1263.92	3.50793
429152	4698	600000	1017.67	28.7083	1203.94	3.2393
458653	4912	600000	1051.29	28.6667	1164.28	3.49603
488578	5125	600000	1053.08	28.6667	1120.49	3.14466
515666	5339	600000	1071.92	28.625	1079.58	3.15238
534985	5553	600000	1039.29	28.7083	1052.9	3.13471
567328	5766	600000	970.125	28.9583	962.262	2.48188
603338	5980	600000	927.583	29.0833	932.828	2.37463
630243	6193	600000	901.833	29.125	894.064	2.40226
651685	6407	600000	861.875	29.2083	843.848	2.3079
675426	6620	600000	843.542	29.25	823.972	2.17945
698113	6834	600000	822.833	29.3333	824.49	1.88562
736728	7048	600000	777.333	29.5417	761.041	1.73004
772126	7261	600000	744.25	29.5833	731.307	1.62447
814412	7475	600000	717.875	29.625	681.441	1.61374
848727	7688	600000	708.458	29.625	679.073	1.61374
871790	7902	600000	692.042	29.75	655.092	1.19024
898511	8116	600000	677.708	29.75	635.022	1.32288
924219	8329	600000	664.417	29.7917	603.433	0.996522
947351	8543	600000	640.5	29.7917	578.752	0.996522
971787	8756	600000	632.792	29.8333	564.866	0.942809
995984	8970	600000	634.542	29.8333	570.831	0.745356
1014566	9183	600000	622.583	29.7917	569.096	0.996522
1037821	9397	600000	622.458	29.8333	556.409	0.942809
1064230	9611	600000	630.083	29.8333	557.099	0.745356
1094101	9824	600000	607.583	29.8333	550.264	0.942809
1129309	10038	600000	604.208	29.875	538.662	0.877971
1162215	10251	600000	584.083	29.9583	501.613	0.399653
1190909	10465	600000	570.417	29.9583	499.609	0.399653
1222180	10678	600000	552.083	29.9583	477.072	0.399653
1248519	10892	600000	550.208	30	462.239	0
1271395	11106	600000	531	30	448.226	0
1295857	11319	600000	526.625	30	438.184	0
1322299	11533	600000	519.75	30	433.64	0
1347160	11746	600000	507.708	29.9583	452.591	0.399653
1380306	11960	600000	496.917	30	439.114	0
1415078	12174	600000	487.333	30	422.329	0
1446709	12387	600000	470.875	30	406.707	0
1464052	12601	600000	473.333	30	393.576	0
1481625	12814	600000	473.292	30	410.089	0
1504865	13028	600000	469.5	30	402.44	0
1525835	13241	600000	460.375	30	411.872	0
1546707	13455	600000	455.958	30	399.435	0
1569002	13669	600000	453.333	30	374.275	0
