population	links	tests	detected	time	error	time_error
9870	53	30000	3174.67	21.6667	3200.2	7.65216
15708	107	30000	3177.42	21.5833	3234.92	7.87224
19928	160	30000	3178.38	21.5	3226.28	7.83156
23880	214	30000	2845.83	21.8333	2898.63	7.71722
26998	267	30000	2527.04	22.125	2567.31	7.44564
27172	321	30000	2496.29	22.25	2534.78	7.5111
27321	374	30000	2492.62	22.2917	2533.51	7.44937
28005	428	30000	2437.12	22.2917	2454.09	7.35933
29423	481	30000	2349.62	22.4583	2379.14	7.32528
31638	535	30000	2175.62	22.6667	2185.59	7.18022
49247	589	30000	1477.46	23.875	1440.19	6.33279
50274	642	30000	1468.92	23.75	1413.87	6.48717
59966	696	30000	1367.58	24.0417	1228.65	5.78732
61597	749	30000	1332.79	24.0417	1183.76	5.84463
62642	803	30000	1305.75	24.1667	1178.11	5.76387
63968	856	30000	1289.21	24.25	1155.33	5.86657
65746	910	30000	1252.12	24.2083	1134.03	5.88725
68561	963	30000	1205.71	24.25	1077.3	5.83809
78719	1017	30000	1083.62	24.8333	957.731	5.28099
86890	1071	30000	991.792	25.125	874.05	5.14174
91073	1124	30000	935.667	25.375	826.756	5.06006
94648	1178	30000	911.917	25.4583	803.915	5.09834
97423	1231	30000	894.75	25.4583	776.626	4.89827
99751	1285	30000	876.708	25.625	767.896	4.96026
102078	1338	30000	849	25.7083	747.479	4.81245
106737	1392	30000	812.917	25.8333	713.784	4.60676
121245	1445	30000	743.375	26	645.322	4.39697
133511	1499	30000	719.958	26.375	612.855	4.19573
138565	1552	30000	726.542	26.375	614.164	4.15582
146225	1606	30000	686.75	26.4583	566.866	4.08163
152019	1660	30000	669.875	26.5417	543.51	3.87209
155887	1713	30000	647.542	26.7083	535.527	4.01992
160403	1767	30000	630.375	26.7083	512.319	4.06116
166295	1820	30000	607.917	27.0417	500.922	3.62763
171891	1874	30000	597.333	27.0833	508.641	3.78227
178519	1927	30000	577.042	27.2083	500.655	3.78502
186707	1981	30000	541.625	27.5	457.847	3.41565
190121	2034	30000	538.25	27.4583	464.682	3.60459
191932	2088	30000	533.375	27.5417	441.745	3.31558
195264	2142	30000	522.375	27.7083	435.087	2.97092
201704	2195	30000	507.417	27.7917	418.062	3.05391
211070	2249	30000	489.375	27.9167	394.951	3.0505
216240	2302	30000	473.792	28.0833	408.934	3.15788
220807	2356	30000	468.125	28.0833	390.078	3.15788
226291	2409	30000	458.708	28.2083	373.875	2.99884
232990	2463	30000	447.667	28.375	384.351	2.98957
240464	2516	30000	432.333	28.4583	367.982	2.99884
250350	2570	30000	428.917	28.5833	355.059	2.76385
261061	2624	30000	410.083	28.7083	333.461	2.54815
264934	2677	30000	402.5	28.75	326.837	2.32737
267007	2731	30000	404.542	28.7083	320.969	2.41379
270512	2784	30000	398.667	28.9583	327.507	2.34373
273390	2838	30000	402.5	28.8333	322.134	2.4267
277040	2891	30000	391.917	28.875	315.395	2.25924
279976	2945	30000	388.875	28.875	310.328	2.25924
282595	2998	30000	385	28.9583	297.039	2.03954
284705	3052	30000	388.292	28.875	311.723	2.47066
286431	3105	30000	386	29	299.868	2.23607
290080	3159	30000	393.417	28.875	307.652	2.33184
291501	3213	30000	389.25	28.9167	303.97	2.37463
292987	3266	30000	399.625	28.8333	312.537	2.35702
293971	3320	30000	386.417	29	285.575	2.16025
295749	3373	30000	390.75	28.9167	294.037	1.90759
296599	3427	30000	393.542	28.9583	307.833	2.11968
297524	3480	30000	382.083	29.0417	299.348	2.2715
300029	3534	30000	393.167	29	310.536	2.3094
304293	3587	30000	375.167	29.0417	285.79	2.11968
317858	3641	30000	366.333	29.125	280.101	1.94186
328050	3695	30000	367.542	29.2083	270.506	1.91304
335854	3748	30000	350	29.3333	259.241	1.59861
344819	3802	30000	343.208	29.4167	257.994	1.51841
352922	3855	30000	344.333	29.5	252.076	1.52753
358259	3909	30000	342.958	29.5	252.131	1.29099
362463	3962	30000	334.875	29.5417	246.38	1.2883
366241	4016	30000	336.542	29.5417	238.919	1.15169
370628	4069	30000	328.958	29.5833	242.304	1.14261
374908	4123	30000	325.917	29.625	241.084	1.26656
382234	4176	30000	328.125	29.5417	234.725	1.2883
388172	4230	30000	323.75	29.6667	232.823	1.10554
393524	4284	30000	319.583	29.625	230.796	1.12731
400941	4337	30000	316.083	29.7083	234.115	1.35144
405483	4391	30000	309.75	29.75	227.208	1.04083
408388	4444	30000	312.708	29.7917	218.879	0.996522
411196	4498	30000	305.625	29.7083	220.313	1.22191
414980	4551	30000	302.5	29.7917	219.845	0.996522
