population	links	tests	detected	time	error	time_error
12965	41	5000	0.666667	1	1.49071	0
21725	82	5000	1.125	1	2.10654	0
26821	123	5000	0.916667	1	2.51109	0
30852	164	5000	0.625	1	1.39194	0
32790	205	5000	0.583333	1	1.62447	0
49705	246	5000	0.625	1	1.61374	0
82304	287	5000	0.5	1	1.63299	0
102466	328	5000	0.75	1	1.32288	0
118116	369	5000	0.791667	1	2.23451	0
128718	410	5000	0.791667	1	1.63087	0
135466	451	5000	0.583333	1	1.62447	0
136605	492	5000	1.125	1	2.53722	0
136779	533	5000	1.04167	1	2.03954	0
150307	574	5000	0.708333	1	2.34373	0
178240	615	5000	0.791667	1	1.52525	0
194273	656	5000	0.666667	1	1.69967	0
201589	697	5000	0.666667	1	1.59861	0
204096	738	5000	0.666667	1	1.79505	0
205950	779	5000	0.833333	1	1.49071	0
206578	820	5000	0.583333	1	1.14261	0
207970	861	5000	0.958333	1	1.77756	0
222678	902	5000	0.708333	1	1.68119	0
234989	943	5000	0.416667	1	1.14261	0
248240	984	5000	0.208333	1	1.2883	0
257515	1025	5000	0.916667	1	1.72401	0
268563	1066	5000	0.458333	1	1.41176	0
272951	1108	5000	0.5	1	1.29099	0
278744	1149	5000	0.5	1	1.29099	0
279952	1190	5000	0.625	1	1.80854	0
280440	1231	5000	0.625	1	1.80854	0
296208	1272	5000	0.833333	1	2.13437	0
306866	1313	5000	0.625	1	1.61374	0
310211	1354	5000	0.666667	1	1.59861	0
311819	1395	5000	0.583333	1	2.15381	0
312446	1436	5000	0.375	1	0.968246	0
314837	1477	5000	0.75	1	1.32288	0
319863	1518	5000	0.791667	1	1.52525	0
324033	1559	5000	0.75	1	1.65831	0
324739	1600	5000	0.541667	1	1.2883	0
325167	1641	5000	0.5	1	1.29099	0
330020	1682	5000	0.541667	1	1.2883	0
355602	1723	5000	0.625	1	1.39194	0
372764	1764	5000	0.708333	1	1.68119	0
379286	1805	5000	0.333333	1	1.24722	0
383672	1846	5000	0.75	1	1.44338	0
385233	1887	5000	0.375	1	0.968246	0
390982	1928	5000	0.416667	1	1.28019	0
395668	1969	5000	0.625	1	1.26656	0
399062	2010	5000	0.416667	1	1.40436	0
401477	2051	5000	0.625	1	1.80854	0
403515	2092	5000	0.666667	1	1.69967	0
403950	2133	5000	0.5	1	1.41421	0
405221	2175	5000	0.833333	1	1.79505	0
406298	2216	5000	0.208333	1	0.996522	0
414837	2257	5000	0.375	1	0.968246	0
417795	2298	5000	0.5	1	1.63299	0
419028	2339	5000	0.541667	1	1.15169	0
419599	2380	5000	0.5	1	1.82574	0
423887	2421	5000	0.541667	1	1.15169	0
443842	2462	5000	0.333333	1	1.10554	0
449905	2503	5000	0.541667	1	1.41176	0
457538	2544	5000	0.75	1	1.55456	0
460140	2585	5000	0.541667	1	1.73004	0
461156	2626	5000	0.75	1	1.84842	0
465156	2667	5000	0.5	1	1.1547	0
467527	2708	5000	0.416667	1	1.40436	0
470397	2749	5000	0.75	1	1.75594	0
471853	2790	5000	0.541667	1	1.41176	0
475843	2831	5000	0.541667	1	1.2883	0
481778	2872	5000	0.625	1	1.71391	0
482434	2913	5000	0.375	1	0.968246	0
482789	2954	5000	0.666667	1	1.59861	0
488715	2995	5000	0.541667	1	1.41176	0
494922	3036	5000	0.75	1	1.55456	0
497169	3077	5000	0.583333	1	1.81812	0
497798	3118	5000	0.75	1	1.04083	0
499488	3159	5000	0.291667	1	1.0769	0
500031	3200	5000	0.708333	1	1.57894	0
501081	3242	5000	0.916667	1	1.72401	0
501290	3283	5000	0.5	1	1.29099	0
513657	3324	5000	0.541667	1	1.41176	0
530483	3365	5000	0.541667	1	1.41176	0
539252	3406	5000	0.333333	1	1.37437	0
541114	3447	5000	0.541667	1	1.52525	0
542221	3488	5000	0.541667	1	1.41176	0
542583	3529	5000	0.458333	1	1.41176	0
559229	3570	5000	0.583333	1	1.72401	0
576503	3611	5000	0.583333	1	1.62447	0
582678	3652	5000	0.458333	1	1.52525	0
583705	3693	5000	0.625	1	1.50693	0
595643	3734	5000	0.666667	1	1.79505	0
603849	3775	5000	0.5	1	1.29099	0
618883	3816	5000	0.541667	1	1.41176	0
627982	3857	5000	0.791667	1	1.73004	0
631387	3898	5000	0.583333	1	2.22985	0
633837	3939	5000	0.666667	1	1.49071	0
635020	3980	5000	0.583333	1	0.986013	0
638446	4021	5000	0.75	1	1.04083	0
641797	4062	5000	0.583333	1	1.81812	0
642810	4103	5000	0.625	1	1.61374	0
645122	4144	5000	0.541667	1	1.15169	0
656048	4185	5000	0.583333	1	1.40436	0
667810	4226	5000	0.666667	1	1.69967	0
672787	4267	5000	0.541667	1	1.2883	0
676677	4308	5000	0.541667	1	1.63087	0
680378	4350	5000	0.375	1	1.12731	0
680908	4391	5000	0.583333	1	1.62447	0
688895	4432	5000	0.5	1	1.82574	0
689756	4473	5000	0.75	1	1.55456	0
700609	4514	5000	0.375	1	1.50693	0
705311	4555	5000	0.5	1	1.1547	0
707127	4596	5000	0.375	1	1.39194	0
708526	4637	5000	0.333333	1	1.10554	0
711649	4678	5000	0.708333	1	1.86897	0
729220	4719	5000	0.541667	1	1.41176	0
743176	4760	5000	0.5	1	1.63299	0
754699	4801	5000	0.5	1	1.29099	0
764690	4842	5000	0.458333	1	1.2883	0
772216	4883	5000	0.666667	1	1.59861	0
774588	4924	5000	0.5	1	1.52753	0
776307	4965	5000	0.291667	1	1.0769	0
777610	5006	5000	0.416667	1	1.72401	0
779003	5047	5000	0.541667	1	1.2883	0
779381	5088	5000	0.666667	1	1.49071	0
780990	5129	5000	0.5	1	1.1547	0
788864	5170	5000	0.25	1	1.32288	0
805520	5211	5000	0.416667	1	1.14261	0
819160	5252	5000	0.416667	1	1.28019	0
829020	5293	5000	0.5	1	1.41421	0
834032	5334	5000	0.416667	1	1.51841	0
840375	5375	5000	0.333333	1	1.10554	0
841038	5417	5000	0.75	1	2.17945	0
849449	5458	5000	0.5	1	1.52753	0
852036	5499	5000	0.625	1	1.89846	0
856976	5540	5000	0.5	1	1.41421	0
858570	5581	5000	0.291667	1	1.0769	0
863695	5622	5000	0.75	1	1.44338	0
