population	links	tests	detected	time	error	time_error
30764	163	1200000	116718	17.4167	3438.45	9.32575
47894	245	1200000	116721	16.3438	2475.04	4.29813
102321	327	1200000	116811	16.1354	1405.57	2.69307
128406	409	1200000	116796	16.1354	1241.3	2.57145
136595	491	1200000	116193	16.1771	1219.12	2.66881
149666	572	1200000	114435	16.3438	1321.16	2.52763
193660	654	1200000	107720	16.8958	2285.23	2.40847
204067	736	1200000	104161	17.0417	2412.67	2.38237
206570	818	1200000	103149	17.0833	2420.23	2.39494
222177	900	1200000	101058	17.25	2710.25	2.33287
247381	982	1200000	96500.8	17.5312	2869.78	2.36613
268003	1063	1200000	91416.1	17.75	2869.52	2.54611
278360	1145	1200000	88214.2	17.875	2780.34	2.38796
280412	1227	1200000	87598.4	17.875	2739.81	2.42125
306487	1309	1200000	81989.2	18.1354	2780.56	2.37738
311717	1391	1200000	80701.9	18.2188	2715.32	2.30184
313731	1473	1200000	80292.4	18.25	2670.99	2.41711
321011	1554	1200000	79071.3	18.3438	2735.21	2.36402
325120	1636	1200000	78090.6	18.3854	2696.92	2.50444
352886	1718	1200000	73813	18.6354	2683.6	2.43558
379035	1800	1200000	70387.6	18.8333	2805.39	2.41159
385223	1882	1200000	69572.3	18.9062	2733.62	2.38508
395083	1964	1200000	68070.2	18.9583	2681.03	2.33144
401269	2045	1200000	67130.6	19.0312	2646.71	2.25352
403923	2127	1200000	66720.5	19.0208	2639.85	2.31529
406275	2209	1200000	66467.1	19.0417	2689.63	2.31421
417638	2291	1200000	65279.4	19.125	2683.39	2.26763
419560	2373	1200000	64930	19.1458	2640.9	2.2272
438829	2455	1200000	62772.1	19.2812	2594.58	2.41219
457133	2536	1200000	60694.1	19.4271	2634.68	2.39624
461080	2618	1200000	60161.6	19.4375	2557.31	2.32965
467438	2700	1200000	59478.3	19.5417	2710.8	2.46493
471025	2782	1200000	59147.9	19.5417	2659.08	2.44864
478267	2864	1200000	58503.7	19.5625	2468.33	2.41401
482752	2946	1200000	58010.4	19.6458	2606.67	2.49819
493561	3027	1200000	56905.7	19.7083	2546.48	2.43224
497718	3109	1200000	56494.6	19.75	2503.29	2.49852
500000	3191	1200000	56355.4	19.6979	2516.85	2.4191
501265	3273	1200000	56232.6	19.7188	2469.48	2.44515
528455	3355	1200000	54004.2	19.9167	2506.17	2.44455
540724	3437	1200000	52958.3	19.9583	2482.62	2.34854
542536	3518	1200000	52755.9	19.9792	2510.23	2.29794
572522	3600	1200000	50616.7	20.1667	2422.54	2.23951
583501	3682	1200000	49889	20.2292	2455.94	2.30663
600625	3764	1200000	48707.8	20.3438	2393.28	2.36402
625668	3846	1200000	47017.3	20.4792	2300.45	2.57703
633221	3928	1200000	46542.3	20.5	2309.65	2.4005
637478	4009	1200000	46278.2	20.5625	2256.37	2.46324
642678	4091	1200000	45949.2	20.5938	2274.18	2.47564
652470	4173	1200000	45417.4	20.6562	2275.09	2.43078
672148	4255	1200000	44333.6	20.6979	2245.97	2.4025
680095	4337	1200000	43858.9	20.7396	2200.57	2.53422
688325	4419	1200000	43424	20.7812	2272.91	2.40388
696839	4501	1200000	42967.3	20.8229	2206.07	2.41703
706261	4582	1200000	42581.5	20.8854	2283.28	2.43147
709086	4664	1200000	42443	20.8854	2224.08	2.39833
738126	4746	1200000	41182	21.0104	2152.06	2.28949
759211	4828	1200000	40289.7	21.1042	2169.45	2.28922
773774	4910	1200000	39591.7	21.1458	2116.08	2.31529
777277	4992	1200000	39498.2	21.2083	2180.99	2.38237
779259	5073	1200000	39368	21.1771	2177.76	2.29821
