population	links	tests	detected	time	error	time_error
30764	163	120000	11719.2	25.0833	283.788	8.4245
102321	327	120000	11658.3	24	192.111	2.82843
136595	491	120000	11643.3	23.9583	208.03	3.0265
193660	654	120000	10725.5	25.125	301.372	2.84678
206570	818	120000	10314	25.375	299.129	3.09906
247381	982	120000	9654.88	25.9167	331.041	2.82351
278360	1145	120000	8798	26.4167	267.138	3.10466
306487	1309	120000	8194.96	26.7917	360.839	2.88555
313731	1473	120000	8020.5	26.875	308.414	3.01731
325120	1636	120000	7831.71	27.0833	267.963	2.76385
379035	1800	120000	7004.62	27.75	274.154	3.1225
395083	1964	120000	6802.29	27.875	275.006	2.78762
403923	2127	120000	6625.25	27.9583	240.083	2.91428
417638	2291	120000	6492.04	28.0833	270.703	2.70288
438829	2455	120000	6282.17	28.2917	331.13	3.13471
461092	2618	120000	5977.21	28.5	287.497	2.88675
471025	2782	120000	5897	28.75	301.832	2.95804
482752	2946	120000	5787.17	28.7083	291.433	2.79757
497718	3109	120000	5630.21	29.0417	345.55	2.97092
501265	3273	120000	5580.96	28.9583	334.705	2.79757
540724	3437	120000	5257.04	29.4167	289.819	2.99537
572522	3600	120000	5048.33	29.625	281.693	2.93329
600625	3764	120000	4866.33	29.9167	258.921	2.9392
633221	3928	120000	4632.21	30.2083	282.275	3.10801
642678	4091	120000	4604	30.25	310.03	2.95804
672148	4255	120000	4427	30.5833	222.143	3.0505
688325	4419	120000	4291.92	30.6667	207.147	2.98142
706261	4582	120000	4236.54	30.7917	254.214	2.88555
738126	4746	120000	4098.96	31.0417	272.714	3.0265
773774	4910	120000	3950.54	31.2917	195.757	3.0265
779259	5073	120000	3904.92	31.4167	281.924	2.9392
814421	5237	120000	3774.12	31.75	269.617	2.90115
840944	5401	120000	3654.21	32	279.081	2.94392
858290	5564	120000	3593.29	32.0417	220.793	2.79757
892610	5728	120000	3485	32.3333	183.686	2.98142
903477	5892	120000	3441.25	32.4167	219.436	3.10466
912762	6055	120000	3412.12	32.4583	210.789	3.21347
933985	6219	120000	3353.33	32.7083	194.01	3.08108
944566	6383	120000	3336.96	32.6667	191.921	2.92499
959106	6546	120000	3258.67	32.7917	235.929	3.10801
974134	6710	120000	3227.92	33.0417	204.796	2.85652
990086	6874	120000	3167.92	33.0833	174.125	2.76385
1011196	7037	120000	3101.67	33.4583	214.57	3.26492
1030383	7201	120000	3053.17	33.375	213.595	3.15238
1053100	7365	120000	3009.42	33.625	200.594	2.98957
