population	links	tests	detected	time	error	time_error
39752	575	2400000	70564.5	25.2396	3260.85	17.5211
46692	863	2400000	73129.4	24.7604	5625.61	15.2314
58297	1151	2400000	78964	24.4688	8895.09	13.4101
69719	1439	2400000	76196	24.8854	8421.08	12.3504
80362	1727	2400000	71764.1	25.1667	8062.19	11.8908
91122	2015	2400000	70584.3	25.5938	8400.44	11.1363
113989	2303	2400000	63464.8	26.3646	8017.52	10.7619
172731	2591	2400000	43455.1	28.3542	5603.93	11.0295
182147	2879	2400000	41248.1	28.5625	5265.03	11.0615
191095	3167	2400000	39591.4	28.8438	5069.92	11.1175
198726	3455	2400000	38221.1	29.0417	4911.5	11.1663
216650	3743	2400000	35905.9	29.4583	4787.66	11.0292
256355	4031	2400000	31070.3	30.3021	4182.66	11.0626
262576	4319	2400000	30504.4	30.3854	4108.8	11.2358
282757	4607	2400000	28717.9	30.7604	3905.6	11.1297
301655	4894	2400000	27191.6	31.0521	3815.09	11.0852
307468	5182	2400000	26771.8	31.1042	3718.21	10.9913
348457	5470	2400000	24285.4	31.7917	3473.71	11.0943
401016	5758	2400000	21668.6	32.5104	3151.26	11.0513
436397	6046	2400000	20182.9	32.9583	3049.28	11.1842
457907	6334	2400000	19306.3	33.2083	2888.08	11.1375
463037	6622	2400000	19112.8	33.2396	2872.3	11.2584
479420	6910	2400000	18694.7	33.4792	2837.4	11.0801
508290	7198	2400000	17720.8	33.7812	2660.66	11.3908
548311	7486	2400000	16769.1	34.1042	2609.36	11.2433
595702	7774	2400000	15731.6	34.6562	2439.64	11.4105
679881	8062	2400000	14031.9	35.4167	2239.28	11.4625
685886	8350	2400000	13919.8	35.5208	2198.39	11.554
694011	8638	2400000	13803.7	35.5938	2213.64	11.3499
734078	8926	2400000	13178.7	35.8542	2123.57	11.4426
749233	9214	2400000	13028.1	35.9479	2106.55	11.43
770488	9502	2400000	12718	36.1875	2070.04	11.4752
776003	9789	2400000	12656.2	36.1354	2060.11	11.3993
791977	10077	2400000	12466	36.2396	2025.24	11.5011
811029	10365	2400000	12212.2	36.5208	2002.46	11.5227
827065	10653	2400000	12061	36.6042	2008.02	11.4268
835568	10941	2400000	12009.5	36.6562	2016.94	11.3119
853014	11229	2400000	11792	36.8542	1955.94	11.623
858422	11517	2400000	11747.6	36.7917	1995.3	11.4214
868573	11805	2400000	11675.7	36.8854	1977.88	11.4562
885367	12093	2400000	11596.1	36.9792	1984.96	11.3548
903877	12381	2400000	11470.3	37.1562	1965.33	11.5135
926326	12669	2400000	11339.6	37.2188	1974.46	11.3556
934788	12957	2400000	11251.9	37.25	1957.24	11.4006
940383	13245	2400000	11249.4	37.3229	1954.65	11.4409
954710	13533	2400000	11150.8	37.4479	1980.04	11.4072
968186	13821	2400000	11122.7	37.5417	1941.23	11.4703
986356	14109	2400000	11055.5	37.7083	2001.07	11.2733
990691	14396	2400000	11022	37.7083	1981.86	11.2874
1008804	14684	2400000	10962.1	37.7292	1976.64	11.3354
1023458	14972	2400000	10846	37.9062	1959.05	11.3022
1047043	15260	2400000	10773.8	38.0208	1950.83	11.474
1070880	15548	2400000	10595.1	38.0833	1924.53	11.251
1093453	15836	2400000	10500.6	38.3125	1964.41	11.2177
1098616	16124	2400000	10444.8	38.2396	1932.92	11.262
1116181	16412	2400000	10325.5	38.3542	1929.67	11.2699
1121422	16700	2400000	10282.4	38.4792	1917.57	11.3337
1139535	16988	2400000	10138.7	38.6667	1895.07	11.417
1171992	17276	2400000	9945.85	38.7604	1857.39	11.4488
1205128	17564	2400000	9735.74	38.9583	1824.65	11.4738
1230182	17852	2400000	9560.06	39.1146	1812.85	11.358
1248616	18140	2400000	9429.27	39.2292	1777.97	11.5175
1256290	18428	2400000	9380.1	39.3229	1802.61	11.4479
1264477	18716	2400000	9327.34	39.3542	1748.62	11.2415
1279632	19004	2400000	9238.68	39.4167	1742.49	11.3431
1293590	19291	2400000	9139.98	39.5417	1710.81	11.7291
1318141	19579	2400000	9020.29	39.6562	1702.63	11.4456
1328327	19867	2400000	8991.25	39.7083	1747.13	11.5572
1341127	20155	2400000	8894.21	39.8229	1674.08	11.4286
1364418	20443	2400000	8769.28	39.9271	1675.86	11.454
1386985	20731	2400000	8635.32	40.1354	1631.7	11.6218
1412459	21019	2400000	8491.02	40.1667	1599.85	11.6357
1427139	21307	2400000	8432.67	40.3021	1604.65	11.7161
1439690	21595	2400000	8341.77	40.3646	1609.73	11.3624
1481514	21883	2400000	8146.79	40.6771	1537.32	11.6145
1512828	22171	2400000	7994.43	40.8542	1551.33	11.5123
1537331	22459	2400000	7878.88	40.8958	1488.33	11.5937
1562819	22747	2400000	7765.44	41.0104	1451.49	11.6145
1576533	23035	2400000	7693.64	41.1667	1452.42	11.5598
1590494	23323	2400000	7642.82	41.2917	1464.02	11.6915
1601094	23611	2400000	7573.89	41.2708	1429.8	11.7207
1624648	23898	2400000	7486.79	41.4375	1444.11	11.715
1636538	24186	2400000	7434.42	41.4688	1427.75	11.7462
1666564	24474	2400000	7319.04	41.6979	1419.19	11.9662
1691491	24762	2400000	7216.31	41.7917	1403.59	12.0156
1705497	25050	2400000	7161.14	41.8854	1363.64	11.7596
1711850	25338	2400000	7126.91	41.9271	1357.27	11.7948
1752015	25626	2400000	6972.5	42.1875	1369.43	11.9165
1796309	25914	2400000	6823.24	42.4583	1319.6	11.7393
1825432	26202	2400000	6705.82	42.5938	1290.48	11.8568
1873573	26490	2400000	6553.25	42.8854	1271.66	11.962
1900438	26778	2400000	6471.71	43.0104	1250.61	12.0208
1909098	27066	2400000	6448.76	43.0625	1246	11.9048
1929315	27354	2400000	6381.54	43.1667	1219.69	12.0081
1942551	27642	2400000	6332.01	43.25	1211.41	11.9624
2020740	27930	2400000	6107.04	43.7917	1200.31	12.2268
2052793	28218	2400000	6006.54	43.8854	1163.11	12.2136
2070155	28506	2400000	5965.5	43.9479	1164.15	12.3034
2102993	28793	2400000	5886.1	44.1667	1150.94	12.2391
2111999	29081	2400000	5854.48	44.2396	1154.28	12.2524
2126453	29369	2400000	5809.92	44.375	1099.07	12.4324
2155348	29657	2400000	5743.45	44.4896	1084.07	12.2369
2173964	29945	2400000	5696.8	44.6354	1123.67	12.4609
2231438	30233	2400000	5538.82	44.9583	1051.24	12.3246
2248492	30521	2400000	5496.58	45.0625	1053.7	12.4084
2258385	30809	2400000	5494.79	45.125	1057.41	12.5732
2296040	31097	2400000	5388.85	45.3333	1028.92	12.5331
2315857	31385	2400000	5347.31	45.5	1048.76	12.6612
2334107	31673	2400000	5305.57	45.6146	1035.11	12.6117
2341783	31961	2400000	5294.29	45.5417	1005.38	12.6546
2354331	32249	2400000	5263.28	45.6042	1004.67	12.5899
2378661	32537	2400000	5216.8	45.6979	981.283	12.5346
2433750	32825	2400000	5112.99	46.0938	973.488	12.8901
2459511	33113	2400000	5054.97	46.2708	990.783	13.116
2496703	33401	2400000	4959.61	46.5	956.719	12.9209
2507413	33688	2400000	4971.24	46.4479	967.426	13.0377
2521820	33976	2400000	4929.09	46.6667	936.74	13.1013
2545902	34264	2400000	4885.91	46.7396	940.217	13.0786
2574160	34552	2400000	4834.02	47.0208	955.955	13.1571
2589332	34840	2400000	4813.41	47.0833	922.426	13.1288
2628798	35128	2400000	4738.62	47.2396	915.36	13.2926
2668258	35416	2400000	4682.72	47.5312	904.807	13.2721
2720800	35704	2400000	4588.96	47.7812	887.785	13.4079
2734693	35992	2400000	4559.61	47.9479	875.8	13.7357
2746026	36280	2400000	4555.01	47.9688	887.54	13.6042
2757626	36568	2400000	4540.07	48.0521	869.73	13.8575
2764913	36856	2400000	4500.74	48.1667	871.609	13.4122
2789415	37144	2400000	4476.86	48.2604	891.213	13.5918
2811473	37432	2400000	4450.1	48.4271	865.185	13.7804
2827007	37720	2400000	4424.4	48.5208	852.226	13.8852
2848743	38008	2400000	4402.76	48.4583	866.229	13.629
2892002	38295	2400000	4318.06	48.8125	852.622	13.592
2907527	38583	2400000	4302.41	48.9167	840.899	14.0248
2942175	38871	2400000	4265.97	49.0625	849.476	14.068
2950283	39159	2400000	4231.85	49.1667	820.446	13.9332
2972718	39447	2400000	4210.91	49.2292	811.619	14.1125
3006017	39735	2400000	4168.19	49.4792	796.237	14.1479
