population	links	tests	detected	time	error	time_error
12965	41	150000	15326.5	19.2083	12132.7	5.56714
21725	82	150000	15363.8	19.1667	12135.8	5.58768
26821	123	150000	15383.1	19.1667	12090.4	5.58768
30852	164	150000	15393.2	19.1667	12211.6	5.58768
32790	205	150000	15333.2	19.0833	12193.6	5.74214
49705	246	150000	14674	18.9583	8681.6	3.80697
82304	287	150000	14121.5	18.9583	6560.65	2.67577
102466	328	150000	13896.7	18.9583	6047.25	2.67577
118116	369	150000	13816.6	18.9167	6008.9	2.6405
128718	410	150000	13783.5	19.0833	5842.55	2.51109
135466	451	150000	13761.6	19.0417	5887.75	2.34373
136605	492	150000	13691.8	19.125	5855.57	2.60208
136779	533	150000	13681.6	19.0833	5863.42	2.51109
150307	574	150000	12528.9	19.4167	5324.34	2.6405
178240	615	150000	10708.8	19.9167	4540.36	2.37463
194273	656	150000	9900.92	20.0417	4203	2.48188
201589	697	150000	9600.88	20.2083	4052.02	2.58064
204096	738	150000	9478.17	20.25	3919.58	2.46644
205950	779	150000	9373.75	20.3333	3875.58	2.56038
206578	820	150000	9355.08	20.2917	3869.57	2.54815
207970	861	150000	9298.92	20.2917	3819.92	2.54815
222678	902	150000	8740.29	20.5833	3528.91	2.44381
234989	943	150000	8321.79	20.75	3461.82	2.46644
248240	984	150000	7898.17	20.8333	3310.32	2.4267
257515	1025	150000	7640.92	20.8333	3164.46	2.4267
268563	1066	150000	7331.88	21.125	2978.92	2.40226
272951	1108	150000	7191.04	21.2083	2969.87	2.44807
278744	1149	150000	7036.17	21.2917	2901.88	2.73734
279952	1190	150000	7015.75	21.3333	2903.5	2.62467
280440	1231	150000	6997.83	21.25	2903.95	2.53311
296208	1272	150000	6655.54	21.5417	2710.57	2.58064
306866	1313	150000	6432.62	21.625	2638.3	2.36731
310211	1354	150000	6344.5	21.6667	2620.92	2.62467
311819	1395	150000	6323.54	21.5833	2631.8	2.5766
312446	1436	150000	6285.96	21.7083	2542.1	2.34373
314837	1477	150000	6243.83	21.7083	2565.08	2.34373
319863	1518	150000	6164.38	21.75	2559.47	2.46644
324033	1559	150000	6104.04	21.7917	2470.07	2.51523
324739	1600	150000	6070.79	21.7917	2449.29	2.51523
325167	1641	150000	6045.83	21.7917	2476.13	2.3079
330020	1682	150000	5984	21.8333	2488.51	2.4267
355602	1723	150000	5571.71	22.0833	2258.11	2.37463
372764	1764	150000	5283.17	22.2917	2169.86	2.54815
379286	1805	150000	5223.17	22.25	2144.14	2.66145
383672	1846	150000	5152.42	22.2917	2065.88	2.67577
385233	1887	150000	5134.46	22.375	2137.26	2.50416
390982	1928	150000	5056.5	22.5	2132.29	2.44949
395668	1969	150000	5012.38	22.5	2095.1	2.44949
399062	2010	150000	4960.12	22.5417	2009.56	2.44807
401477	2051	150000	4938.58	22.625	2037.99	2.4367
403515	2092	150000	4902.25	22.5833	2026.08	2.44381
403950	2133	150000	4916.25	22.5417	2046.16	2.58064
405221	2175	150000	4885.08	22.5833	1996.41	2.5766
406298	2216	150000	4903.04	22.625	1999.92	2.4367
414837	2257	150000	4789	22.5833	1967.8	2.51109
417795	2298	150000	4764.67	22.7083	1938.93	2.2715
419028	2339	150000	4727.29	22.6667	1940.07	2.4267
419599	2380	150000	4733.62	22.6667	1967.39	2.62467
423887	2421	150000	4655.92	22.7917	1905.3	2.37902
443842	2462	150000	4451.08	22.9167	1808.29	2.51109
449905	2503	150000	4398.83	22.9583	1823.53	2.41379
457538	2544	150000	4360	22.9583	1786.15	2.41379
460140	2585	150000	4323.17	22.9583	1777.55	2.48188
461156	2626	150000	4283.79	23.0417	1755.58	2.67577
465156	2667	150000	4262.71	23.0417	1732.79	2.48188
467527	2708	150000	4256.79	22.9167	1713.12	2.5766
470397	2749	150000	4215.17	23.0833	1733.07	2.5766
471853	2790	150000	4219.5	23.0417	1776.5	2.85652
475843	2831	150000	4174.71	23.0833	1709.47	2.5766
