population	links	tests	detected	time	error	time_error
30764	163	60000	5845.33	25.5417	139.811	3.78502
102321	327	60000	5854.79	26.1667	94.5339	2.13437
136595	491	60000	5840.67	26.2917	138.937	1.95612
193660	654	60000	5378.38	27.5	105.734	2.08167
206570	818	60000	5186.04	27.75	145.484	2.02073
247381	982	60000	4838.17	28.6667	140.645	2.13437
278360	1145	60000	4434.62	29.0833	158.982	1.99304
306487	1309	60000	4097.75	29.7083	135.797	2.2715
313731	1473	60000	4014.79	29.7917	125.634	2.08
325120	1636	60000	3913.62	30.0417	139.091	2.11968
379035	1800	60000	3532.62	30.9167	147.14	2.22985
395083	1964	60000	3407	31.0833	158.958	1.99304
403923	2127	60000	3345.38	31.25	158.91	2.17945
417638	2291	60000	3260.25	31.4583	145.21	1.91304
438829	2455	60000	3143.88	31.875	156.194	2.25924
461092	2618	60000	3005.71	32.25	150.661	2.02073
471025	2782	60000	2948.08	32.2917	174.764	1.95612
482752	2946	60000	2924.88	32.375	139.245	1.89846
497718	3109	60000	2846.92	32.6667	140.588	2.21108
501265	3273	60000	2808.54	33.0417	156.136	2.2715
540724	3437	60000	2650.04	33.4167	185.991	2.07498
572522	3600	60000	2535.5	33.875	163.745	2.18422
600625	3764	60000	2455.67	34.375	130.996	1.98431
633221	3928	60000	2326.12	34.9583	115.449	2.03954
642678	4091	60000	2303.62	35.0833	145.36	2.22985
672148	4255	60000	2212.54	35.75	158.893	2.32737
688325	4419	60000	2172.08	35.9583	118.127	2.1969
706261	4582	60000	2115.62	36.2917	133.107	2.34373
738126	4746	60000	2087.21	36.6667	126.715	1.97203
773774	4910	60000	1971.88	37.5833	139.41	2.07498
779259	5073	60000	1972.79	37.625	141.03	1.98431
814421	5237	60000	1885.33	38.375	122.462	1.71391
840944	5401	60000	1829.29	38.7917	127.481	2.58064
858290	5564	60000	1808.08	38.875	107.652	2.66536
892610	5728	60000	1762.12	39.5	110.501	1.91485
903477	5892	60000	1734.33	39.9583	110.257	2.48188
912762	6055	60000	1707.17	40.25	115.676	2.02073
933985	6219	60000	1685.54	40.5833	107.199	2.15381
944566	6383	60000	1648.08	40.875	127.958	2.53722
959106	6546	60000	1643.58	40.8333	108.692	2.4267
974134	6710	60000	1612.29	41.4583	112.227	2.64444
990086	6874	60000	1597.46	41.4583	112.195	1.99826
1011196	7037	60000	1550.83	42.4167	139.401	2.88194
1030383	7201	60000	1529.08	42.625	100.686	2.50416
1053100	7365	60000	1498.75	43.5417	133.267	3.10801
1075276	7528	60000	1493.42	43.5833	117.493	2.51109
1089072	7692	60000	1461.12	44.0417	109.618	2.79757
1123942	7856	60000	1413.71	45	117.886	2.70801
1131460	8019	60000	1429.25	44.8333	120.976	3.03681
1151886	8183	60000	1396.67	45.4167	106.964	3.31243
1164910	8347	60000	1387.62	45.6667	94.0812	3.03681
1192114	8511	60000	1349.04	46.5417	81.5771	2.88555
1208669	8674	60000	1338.96	46.7917	107.541	3.16118
1245868	8838	60000	1296.25	47.7917	94.0961	3.36547
1260398	9002	60000	1291.71	48.125	100.076	3.71091
1267030	9165	60000	1271.54	48.5417	115.75	4.04059
1288696	9329	60000	1266	48.7917	104.54	3.41463
1301142	9493	60000	1256.38	49.0417	90.996	3.29035
1311875	9656	60000	1249.5	49.3333	78.3411	3.29983
1323233	9820	60000	1228.25	49.6667	67.5802	2.98142
1342555	9984	60000	1222.58	50	104.684	3.78594
1376835	10147	60000	1180.29	51.625	89.6149	3.68838
1394551	10311	60000	1173.54	51.8333	90.3899	3.63624
1413967	10475	60000	1165.62	52	75.8393	3.05505
1424622	10638	60000	1154.42	52.5	92.4102	3.74166
1431853	10802	60000	1149.08	52.625	74.4041	3.35721
1449180	10966	60000	1123.62	53.625	86.4365	3.90779
1469766	11129	60000	1123	53.9167	106.83	4.82758
1478654	11293	60000	1119	54	85.1939	3.60555
1492502	11457	60000	1110.42	54.1667	72.9221	3.34996
1508533	11620	60000	1096.5	54.9583	72.6338	3.34062
1523545	11784	60000	1102.46	54.625	89.1833	4.11552
1536204	11948	60000	1078.42	55.75	97.2418	4.62781
1546399	12111	60000	1083.21	55.5	87.8104	3.95811
1555595	12275	60000	1079.79	55.5833	84.299	3.82608
1571862	12439	60000	1053.08	56.9583	75.8505	3.53455
1587018	12602	60000	1048.21	57	81.7924	3.91578
1604280	12766	60000	1034.08	57.75	74.962	3.7081
1612707	12930	60000	1027	57.875	74.5162	3.43086
1621980	13093	60000	1032.46	57.5833	98.8095	4.2785
1645803	13257	60000	1020.08	58.4583	43.3663	2.3079
1662754	13421	60000	1001.42	58.7917	81.117	3.10801
1682638	13584	60000	1000.21	58.875	83.6361	3.28189
1704443	13748	60000	998	58.875	86.6333	3.01731
1723931	13912	60000	973.667	59.4583	82.3846	1.91304
1742800	14075	60000	963.292	59.75	70.1557	1.44338
1751565	14239	60000	957.125	59.6667	74.7402	1.49071
1758270	14403	60000	954.083	59.7917	77.5348	1.63087
1769258	14566	60000	944.792	59.9583	66.0706	0.399653
1777100	14730	60000	947.292	59.8333	83.663	1.24722
1781713	14894	60000	943.625	59.8333	78.0957	1.10554
1796639	15057	60000	939.167	60	51.2076	0
1805131	15221	60000	916.75	60	70.487	0
1838272	15385	60000	923.667	60	66.4446	0
1853183	15548	60000	916	59.9583	80.5771	0.399653
1870135	15712	60000	910.583	59.9583	67.3843	0.399653
1879039	15876	60000	897.125	60	79.3207	0
1896877	16039	60000	904.333	60	79.7092	0
1909858	16203	60000	898.917	60	95.1839	0
1918728	16367	60000	891.833	60	70.3791	0
1932422	16530	60000	899.25	60	71.6572	0
1950392	16694	60000	877.833	60	86.6096	0
1965048	16858	60000	864.625	60	64.7555	0
1986617	17022	60000	858.833	60	93.3589	0
2002828	17185	60000	855	60	72.6154	0
2011336	17349	60000	852.583	60	85.0214	0
2028065	17513	60000	851.333	60	73.7963	0
2042372	17676	60000	837.208	60	61.663	0
2055590	17840	60000	839.25	60	74.807	0
2072367	18004	60000	826.417	60	80.9278	0
2086771	18167	60000	833.625	60	76.9238	0
2099348	18331	60000	817.208	60	57.492	0
2112224	18495	60000	809.208	60	69.3709	0
2123431	18658	60000	806.167	60	82.6008	0
2130449	18822	60000	802.583	60	74.3391	0
2142294	18986	60000	805.583	60	72.6772	0
2160590	19149	60000	801.667	60	74.8124	0
2174212	19313	60000	800.917	60	77.5176	0
2185337	19477	60000	791.75	60	72.8726	0
2197413	19640	60000	796.417	60	68.4103	0
2215105	19804	60000	777.708	60	60.8618	0
2239763	19968	60000	777.5	60	82.454	0
2249248	20131	60000	762.125	60	75.8646	0
2262344	20295	60000	764	60	48.6038	0
2271594	20459	60000	758.25	60	70.0863	0
2285825	20622	60000	754.5	60	64.5859	0
2298920	20786	60000	750.5	60	54.6778	0
2306151	20950	60000	749.125	60	68.8072	0
2329112	21113	60000	754.833	60	58.1483	0
2340790	21277	60000	742.917	60	74.4825	0
2353204	21441	60000	729.208	60	74.6033	0
2363553	21604	60000	738.75	60	69.6354	0
